LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_0,0,0,13,0,0,0,0,0,12.0,0.0,12.0,222.91866053432122,1455.2825528401986,1447.220580846828,0.0,26.515467379574062,140.90449650274363,11.829569070646647,13.389643078759875,36.747911602352985,45626.07692307692,318.1856085548887,246.68244279310335,0.7005931586496207,18.576555044526767,0.7005931586496205,1.2205763846814353
Track_1,1,1,13,0,0,0,0,0,12.0,0.0,12.0,235.6372381246992,630.5089694181377,1430.6668058310413,0.0,24.84713823212721,107.94005735080968,0.9836089321445092,15.051687155790443,28.990872363789613,122043.0,298.1656587855265,237.06874623505286,0.7902896634189365,19.6364365103916,0.7902896634189365,0.9693095152114168
Track_2,2,2,13,0,0,0,0,0,12.0,0.0,12.0,178.11476182528958,962.8263970826229,878.1435590950707,0.0,15.639703508423477,35.21246870794377,3.4675830174183107,14.623693438677408,9.746686672256196,21198.53846153846,187.6764421010817,178.11476182528958,0.9490523148843463,14.84289681877413,0.9490523148843462,0.47145946296148183
Track_3,3,3,13,0,0,0,0,0,12.0,0.0,12.0,97.22129077916073,612.6204207446007,1762.5667542609187,0.0,21.81358103648527,89.43027702958815,7.701490003859315,15.6858046317342,22.723001542427728,51341.230769230766,261.76297243782324,113.5472499113192,0.3714096377869249,8.101774231596726,0.3714096377869248,1.8158714322319625
Track_4,4,4,11,1,0,0,0,1,11.0,1.0,12.0,12.040509635875312,1027.834934091037,1815.1854885056578,0.0,34.07783010476901,112.19820572120804,2.5107482565589034,30.530321703082368,31.014501480277296,60861.545454545456,343.2890493042491,66.27274970044263,0.03507396947347449,1.0945917850795739,0.032120348675791756,1.4939338659187122
Track_5,5,5,5,0,0,0,0,0,4.0,0.0,4.0,50.33965621876731,1439.7134448708553,477.6124570747153,0.0,41.54311848942092,66.9088650359969,20.65864652988279,40.9758226848807,19.106921270694517,56454.6,166.17247395768368,66.9088650359969,0.3029361904522554,12.584914054691827,0.3029361904522554,2.3075837180706227
Track_6,6,6,12,0,0,0,0,0,11.0,1.0,12.0,42.23907014389636,1407.505189968011,1855.1582636550202,0.0,22.476874515897613,48.44399232099752,1.8609292347304325,12.32893897964758,17.71467587595057,67640.58333333333,247.24561967487375,78.571693408908,0.17083849735918655,3.839915467626942,0.17083849735918655,1.6269107909379532
Track_7,7,7,13,0,0,0,0,0,12.0,0.0,12.0,129.22395361006394,1052.5553461747384,509.2175380883556,0.0,15.005518881331517,31.308359499397742,2.690135281788497,15.016594675777853,9.054162869465285,62011.230769230766,180.0662265759782,129.53536815810972,0.7176468128826948,10.768662800838662,0.7176468128826947,1.0748811776243947
