LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2433,2433,0,43669.0,1479.769047182636,1472.7389833356244,0.0,2.0,2,117.8683727400092,1,,25.996565069042113,26.0,21.0,42.0,1135244.0,0.22897455713303233,-0.022702644450376352,-5.274829912644065,-4.897642879995052,-0.6158030009036783,156.49275262620233,95.40347961990621,0.3948018467026744,1.6403254184195362,43646.00000000006,900.83544833348,0.6758703229278694,0.9124949039858684,4.3119453049664855
ID2178,2178,0,44812.0,1435.6809244297638,1430.2106897885699,0.0,7.0,7,119.42442279680881,1,,18.016471375962503,18.0,0.0,35.0,807228.0,0.48409771376931066,-0.26069989297662116,-26.24742986266329,-4.335380983343052,-2.8587579996044217,152.00706856659824,98.3802714057271,0.5217297263124996,1.5450970646310833,44806.00000000007,845.2013091806507,0.788180555185696,0.9691450819228912,3.9929334676540877
ID2309,2309,0,39294.0,1472.9583306840966,1461.5397555072334,0.0,3.0,3,111.87397181562636,1,,30.98820388966569,31.0,20.0,40.0,1218921.0,0.38215809716299093,0.019975924288150246,3.176144826046701,-3.810590004419478,-1.1432128282838863,137.63211532316876,94.78993493586701,0.3228992547721547,1.4519697203747204,39319.500000000015,830.8269777855176,0.7158082020841858,0.9685560153709729,4.189928354108715
ID2405,2405,0,42372.0,1480.3096289300752,1487.6887144374925,0.0,1.0,1,116.11208046243262,1,,40.969473758764785,41.0,0.0,41.0,1735344.0,0.9472030087378366,0.3962983930733443,24.55225496977481,0.7005477885911011,-0.9226731928039005,163.88973400220704,86.91651891829969,0.2754390015582502,1.8855993779072202,42354.99999999991,875.3447309967397,0.6946344310681667,0.9742716827492593,4.253307470462206
ID2409,2409,0,36547.0,1435.5638888509031,1442.627030143905,0.0,6.0,6,107.88198887432982,1,,16.00415686703495,16.0,0.0,29.0,585208.0,0.8081251572791713,-0.14800103804773526,-6.880339434875628,-8.66960197662334,-6.635582526506919,126.67429148441826,95.35505494584066,0.26053876038816703,1.328448623477446,36563.49999999998,833.9916562104809,0.6605933752011366,0.9035275220856239,4.361519565122291
ID2442,2442,0,66779.0,1602.3350728761106,1558.1434386542876,0.0,0.0,0,145.79689365467812,1,,37.9820776187339,38.0,0.0,39.0,2536747.0,0.7130116182055902,0.3951058692926321,30.17299504310343,10.622511069717504,-2.367805665882101,227.1767551782045,99.50216314336896,0.019739010693193868,2.2831338334913784,66779.99999999991,1205.8525675247017,0.5771222974998529,0.9024568231573814,4.666282256349875
ID2640,2640,0,55684.0,1435.4374418528125,1410.3668844475158,0.0,12.0,12,133.16965812038632,1,,19.013603977099372,19.0,19.0,35.0,1059419.0,0.41234599778783443,-0.22540871316024363,-26.83680114963656,-6.550612655124424,2.9600711272447726,172.38627735889267,109.93592247516311,3.1263599367088535,1.5680614077517605,55713.49999999985,1057.9049090452143,0.6255716249336778,0.8524097307221521,4.481943848859188
