PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 24, filenames: A:[24]MAX_1202204_TgUtrmcherry_K4K8MO010.avi & B:[25]MAX_1202204_TgUtrmcherry_K4K8MO010.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,1.433994055,-0.1505987644,1
47,65,1.410906315,0.7613910437,1
47,97,0.8960571289,1.080644727,1
47,129,0.4114770889,0.4002715945,1
47,161,0.5308768749,0.4451689422,1
47,193,0.2833463848,-0.01958367229,1
47,225,-0.8947141767,0.3849287033,1
47,257,-0.5359931588,1.62546277,1
47,289,-0.7444592714,1.882418156,1
47,321,-0.9929832816,1.757440805,1
47,353,-0.3024802506,0.6347434521,1
47,385,-0.1961237192,-1.07669878,1
47,417,-0.7448613644,-2.027457237,1
47,449,-1.241414785,-2.333336115,1
47,481,-1.28166008,-2.190943241,1
47,513,-1.2914083,-2.009421349,1
47,545,-2.895931721,-2.609856367,1
47,577,-14.87919044,-16.97078133,1
47,609,-0.6664686203,-2.065525532,1
47,641,-1.429904938,-2.851138592,1
47,673,-0.919131279,-1.894303799,1
47,705,-0.7385571003,-1.070349455,1
47,737,2.065061569,17.80599976,1
47,769,-0.02003931999,-0.9386439323,1
47,801,-0.8014822006,-4.458789825,1
47,833,1.091192245,-1.857023239,1
47,865,1.602844238,-2.058790207,1
47,897,0.9656763077,-3.008590221,1
47,929,-0.02950155735,-1.763477325,1
47,961,-0.649081707,-2.300918579,1
47,993,-1.08251214,-2.177780151,1
47,1025,-1.227022171,-2.690870762,1
47,1057,-1.318167567,-2.744031191,1
47,1089,-1.267683983,-2.654978037,1
47,1121,-1.357761145,-1.282331586,1
47,1153,-0.5433285236,0.4686965942,1
47,1185,0.4942802191,0.7322041988,1
47,1217,0.3285809755,0.5993533134,1
47,1249,-0.1232381761,0.8528319597,1
47,1281,-0.5164117813,0.1007780433,1
47,1313,-0.8128302097,-1.957931519,1
47,1345,-0.5285863876,-3.457206726,1
47,1377,-0.729855895,-1.20724535,1
47,1409,-0.6227316856,0.8030357957,1
47,1441,-0.8622089624,-0.7144793272,1
47,1473,-1.210613608,-2.037775993,1
47,1505,-0.5949870944,-2.869860172,1
47,1537,-0.06414169073,-3.282627344,1
47,1569,0.4960118532,-2.340314388,1
47,1601,0.4347972274,-1.837833643,1
47,1633,-0.003968834877,-1.580485344,1
47,1665,-0.251685977,-1.474289656,1
47,1697,-0.1606868505,-0.3712409139,1
47,1729,0.06053215265,-0.157697171,1
47,1761,0.3194463849,-0.4222624302,1
47,1793,0.1088230014,-0.1519396305,1
47,1825,0.1050781012,0.6968041658,1
47,1857,0.149124831,0.9487917423,1
47,1889,0.05182671547,0.6456292868,1
47,1921,0.2692525983,-0.03362545371,1
47,1953,0.3602724075,-0.4312724471,1
47,1985,-0.04412192106,-0.2427887022,1
47,2017,-1.520729065,0.2978444099,1
79,33,0.6472878456,0.498031199,1
79,65,0.3323909044,1.008402467,1
79,97,0.1679654121,1.857834339,1
79,129,0.4098595977,0.7211254239,1
79,161,0.1495304704,-0.05769371986,1
79,193,0.02989551425,-0.2631252706,1
79,225,0.5504270196,-0.1267750263,1
79,257,0.5417443514,-0.2665938735,1
79,289,0.005556970835,-0.7856549025,1
79,321,-1.042914152,-0.5098397732,1
79,353,-1.622825384,-0.5906872153,1
79,385,-1.91278851,-0.9351748228,1
79,417,-0.9975452423,-1.248072863,1
79,449,0.3186962605,-1.713188171,1
79,481,-1.174750328,-1.712743402,1
79,513,-1.440442801,-1.807486415,1
79,545,-1.493463635,-2.145886421,1
79,577,-0.9734625816,-2.272488594,1
79,609,-1.254718304,-2.873205185,1
79,641,-1.12670517,-2.460003138,1
79,673,-0.3783370256,-0.9597070217,1
79,705,-20.70138359,-0.1369316578,1
79,737,-0.1246754527,-0.08090209961,1
79,769,-1.385920048,-0.9781579971,1
79,801,-0.9959901571,-2.596281528,1
79,833,0.6645531654,-1.485319614,1
79,865,1.825775981,-1.702800274,1
79,897,1.290226221,-3.860582352,1
79,929,0.7865689993,-3.603905201,1
79,961,0.2027657032,-4.022603989,1
79,993,-0.4284079969,-3.918901682,1
79,1025,-0.5241005421,-3.426971674,1
79,1057,-0.8824067116,-1.88663888,1
79,1089,-0.643450141,-1.331440687,1
79,1121,-0.7898271084,-1.203600287,1
79,1153,-0.2128641307,-0.8697476983,1
79,1185,0.3060302436,-0.2820923924,1
79,1217,-0.5164706707,-0.08808195591,1
79,1249,-0.873554647,0.07607147098,1
79,1281,-1.151099801,-0.4873196781,1
79,1313,-0.9294012785,-0.7919051647,1
79,1345,-0.8552910686,-0.7874970436,1
79,1377,-1.39522779,-0.8243819475,1
79,1409,-1.656571269,-0.05165433884,1
79,1441,-1.535465598,-0.4729880095,1
79,1473,-1.453089476,-0.9517454505,1
79,1505,-0.2896634042,-0.7838763595,1
79,1537,0.2799819708,-1.064038754,1
79,1569,-0.266849637,-1.088334203,1
79,1601,-0.8504108191,-1.068748832,1
79,1633,-1.145023584,-1.353969693,1
79,1665,-1.652222514,-1.860156059,1
79,1697,-1.918203712,-2.778575182,1
79,1729,0.06020361185,-0.2480757535,1
79,1761,-0.1426123977,0.09965628386,1
79,1793,-0.1837291867,-0.05008029938,1
79,1825,0.1687822491,-0.1142354906,1
79,1857,0.3316341639,-0.1145423651,1
79,1889,0.06537178159,0.06249281764,1
79,1921,-0.1897521615,0.3216860294,1
79,1953,0.03557811677,0.1941742599,1
79,1985,0.1462596953,-0.2126572281,1
79,2017,0.09627723694,-0.6808160543,1
111,33,0.2899748087,0.2922525406,1
111,65,0.69701159,0.4385442734,1
111,97,0.6382137537,0.9494937658,1
111,129,0.2298651338,1.015093088,1
111,161,-0.3812251389,-0.1784768105,1
111,193,-0.3771280944,-0.2432599664,1
111,225,0.9056288004,-0.4048728943,1
111,257,1.566429496,-0.429020822,1
111,289,1.440748096,-1.145368457,1
111,321,0.06223146617,-1.77592659,1
111,353,-1.140373468,-2.166688442,1
111,385,-16.71388435,-3.6445086,1
111,417,-1.084340811,-1.092384696,1
111,449,-0.6336812377,-1.197789073,1
111,481,-0.659019351,-1.422867298,1
111,513,-0.7692540288,-2.065816879,1
111,545,-0.9182825685,-2.888007879,1
111,577,-1.203060389,-2.909234524,1
111,609,-0.969201386,-2.029560328,1
111,641,-0.882766366,-1.870857239,1
111,673,0.0265032649,-1.091325283,1
111,705,-0.2021656036,-0.9857457876,1
111,737,-1.457573652,-1.709088564,1
111,769,-1.848925471,-2.534941912,1
111,801,-1.377073765,-2.738381863,1
111,833,18.6467514,1.037824988,1
111,865,0.2805254161,-2.287432432,1
111,897,0.7613202929,-5.302798271,1
111,929,1.35379076,-4.14256382,1
111,961,1.094170451,-4.996064186,1
111,993,0.05247294903,-5.656816483,1
111,1025,0.01703755558,-3.096696854,1
111,1057,-0.06877811253,-0.6663818359,1
111,1089,0.07491143048,-1.2286551,1
111,1121,-0.4502232075,-1.046043873,1
111,1153,-0.3996224999,-1.377578616,1
111,1185,-0.506375432,-1.063457727,1
111,1217,-0.8651332855,-0.8885070682,1
111,1249,-1.021104336,-1.057785034,1
111,1281,-0.7489465475,-0.7754533291,1
111,1313,-0.3239589036,-0.158162728,1
111,1345,-0.8485742807,0.2614713907,1
111,1377,-3.23897171,-0.8227692246,1
111,1409,-2.977508068,-1.316639066,1
111,1441,-2.359636784,-1.150393724,1
111,1473,-1.892778158,-1.06774497,1
111,1505,-0.3578283787,0.281701535,1
111,1537,-0.3162440658,0.1353999972,1
111,1569,-0.6200423241,-0.5664976835,1
111,1601,-0.9869050384,-0.7817513943,1
111,1633,-1.745323896,-0.9491254687,1
111,1665,-2.60665369,-0.647546351,1
111,1697,-2.616615295,-0.9038430452,1
111,1729,-0.4869982004,0.2152734548,1
111,1761,-0.5071953535,0.2492047548,1
111,1793,-0.210080266,0.04001952708,1
111,1825,0.254350245,-0.234857142,1
111,1857,0.4687104821,-0.1853295565,1
111,1889,0.2490490228,0.25863868,1
111,1921,-0.146386981,0.3844053149,1
111,1953,-0.3650426269,0.3063258529,1
111,1985,-0.3611256778,0.06309514493,1
111,2017,0.08902001381,-0.986287117,1
143,33,0.4000776708,0.394041121,1
143,65,0.6368430257,0.05838300288,1
143,97,0.8067076206,-0.8896795511,1
143,129,0.2921144962,0.158839196,1
143,161,0.1666689813,0.276555568,1
143,193,0.1463524103,0.29135409,1
143,225,0.5572402477,-0.8248038888,1
143,257,1.118528605,-0.7925283909,1
143,289,2.022040844,-2.093314171,1
143,321,1.466971159,-3.21254158,1
143,353,-0.1955053806,-2.15601325,1
143,385,-2.021075726,-0.7913297415,1
143,417,-1.277498722,-0.9944359064,1
143,449,-0.7161169648,-0.8746679425,1
143,481,-0.788158536,-1.64863801,1
143,513,-0.4867740273,-2.498238564,1
143,545,0.03309816122,-3.296636581,1
143,577,-0.1959527135,-3.258174658,1
143,609,-0.2511765957,-2.272957325,1
143,641,-0.85698843,-2.025572062,1
143,673,-1.362765312,-2.299180984,1
143,705,-1.652088404,-2.263639688,1
143,737,-2.187344551,-2.034242153,1
143,769,-2.209950447,-2.218469858,1
143,801,-1.832752466,-2.193386078,1
143,833,-1.189656734,-1.24989152,1
143,865,-0.2852813601,-2.300115108,1
143,897,0.3673113585,-3.777518511,1
143,929,1.051358342,-4.230512619,1
143,961,1.102075696,-5.617907524,1
143,993,0.2696866989,-5.819252491,1
143,1025,0.6018197536,-2.5879426,1
143,1057,0.3329019845,-1.122741699,1
143,1089,0.3921562135,-1.115806341,1
143,1121,0.03980708122,-0.9621891975,1
143,1153,-0.5596708059,-0.7497230768,1
143,1185,-0.7342700362,-1.26621151,1
143,1217,-1.018582344,-1.649868131,1
143,1249,-1.232774258,-0.4470847845,1
143,1281,-0.7359098196,0.5204870701,1
143,1313,1.294121146,0.1303752065,1
143,1345,1.115116954,-0.2391155362,1
143,1377,-2.729040623,-1.896257877,1
143,1409,-2.477021694,-2.364714384,1
143,1441,-1.993897676,-1.376033187,1
143,1473,-1.366991162,-0.4677490294,1
143,1505,-0.2114276886,0.892816782,1
143,1537,-0.4334290028,0.9714027047,1
143,1569,-0.75857234,-0.2186809778,1
143,1601,-1.152567863,-0.7797822356,1
143,1633,-1.888364911,-0.7457303405,1
143,1665,-1.812686682,-0.1139867306,1
143,1697,-1.154576778,0.09272897243,1
143,1729,-1.06207943,-0.12277852,1
143,1761,-0.7638056278,0.04959234595,1
143,1793,-0.3271070719,0.05854633451,1
143,1825,-0.02754618227,-0.09839403629,1
143,1857,0.183105126,0.001433759928,1
143,1889,0.1550267935,0.1070805788,1
143,1921,-0.1486434489,0.1138694882,1
143,1953,-0.4869592786,0.2381291538,1
143,1985,-0.3930412531,0.2064075619,1
143,2017,0.2653608024,-0.7841625214,1
175,33,0.3319606781,0.3218788803,1
175,65,-0.2609698772,0.1768686026,1
175,97,-0.7259776592,0.2036085725,1
175,129,0.5300000906,0.5526950359,1
175,161,0.8688554764,0.5949236751,1
175,193,0.8289524913,0.4513040185,1
175,225,0.8984159231,-0.08022522926,1
175,257,0.6231203675,-0.7286229134,1
175,289,0.7982365489,-2.781607628,1
175,321,0.321277678,-3.374303818,1
175,353,-0.4294443429,-1.766822457,1
175,385,-1.527481318,-0.9014882445,1
175,417,-2.007964134,-0.3838289976,1
175,449,-1.072509766,0.4803718925,1
175,481,-1.141562939,-0.9332257509,1
175,513,-0.6005839109,-2.424813032,1
175,545,-0.07700502872,-4.393827915,1
175,577,-0.2636348605,-4.414104462,1
175,609,-0.5182015896,-3.525607824,1
175,641,-1.447078705,-2.731119633,1
175,673,-19.49838638,-0.8015589714,1
175,705,-2.583416224,-2.24244976,1
175,737,-2.162308455,-0.5234657526,1
175,769,-4.657197475,1.757940769,1
175,801,-1.841791868,0.3054767251,1
175,833,-1.297996759,0.1127710342,1
175,865,-0.7240626216,-2.024503231,1
175,897,0.2837891877,-3.399327755,1
175,929,1.199445009,-4.008939743,1
175,961,1.251235604,-5.546602249,1
175,993,-0.5444107056,-5.490711689,1
175,1025,-0.427844137,-4.337047577,1
175,1057,0.5381274223,-3.090670586,1
175,1089,0.4564262331,-1.634763837,1
175,1121,0.08938929439,-0.9397718906,1
175,1153,-0.1779877841,-0.594217062,1
175,1185,-0.5213844776,-0.9756963253,1
175,1217,-0.6230746508,-0.9578011632,1
175,1249,-0.3604874015,0.01979655027,1
175,1281,0.01484076679,0.7701290846,1
175,1313,2.316266537,-0.158195436,1
175,1345,0.9006533027,-1.352236986,1
175,1377,-1.41288352,-2.777650595,1
175,1409,-2.651147366,-2.714281559,1
175,1441,-1.725478053,-1.297244191,1
175,1473,-1.455543995,-0.2131359577,1
175,1505,-0.9586539865,0.357298553,1
175,1537,-0.4725783467,0.1305360496,1
175,1569,0.0236775279,-0.6355115771,1
175,1601,-0.8194402456,-0.934812963,1
175,1633,-0.9586784244,-1.010765314,1
175,1665,-0.1147486567,-1.364433765,1
175,1697,-0.5508615971,0.6815715432,1
175,1729,-1.51982522,0.3506607115,1
175,1761,-1.229575753,0.1733165979,1
175,1793,-0.3554086685,0.3604949415,1
175,1825,-0.1719825566,0.1717337817,1
175,1857,-0.0777310729,0.04286842048,1
175,1889,0.2100156397,-0.1483891904,1
175,1921,0.1257567406,-0.1393794566,1
175,1953,-0.1290447265,-0.04047169536,1
175,1985,-0.2469952554,0.1188211739,1
175,2017,0.1420618296,-0.1671032608,1
207,33,-0.607783556,0.3047354221,1
207,65,-0.2140725255,-0.06522746384,1
207,97,-0.009779363871,0.5617952347,1
207,129,0.6946061254,1.166113853,1
207,161,2.03994894,0.8250883222,1
207,193,1.680789709,0.2716192305,1
207,225,0.926386714,0.2429062724,1
207,257,0.5246161222,0.3815720081,1
207,289,1.010798812,-2.520228863,1
207,321,0.7971726656,-3.162387848,1
207,353,-0.05642104149,-1.855546951,1
207,385,-0.8810794353,-1.326552153,1
207,417,-1.434145927,0.3669815063,1
207,449,0.07217931747,1.926373482,1
207,481,-0.3450825214,-0.1009168625,1
207,513,-0.2515768409,-2.340489864,1
207,545,-0.5592083931,-4.786851883,1
207,577,-0.4432298541,-4.829237938,1
207,609,-0.3795684576,-4.240924358,1
207,641,-3.066211462,-16.31747055,1
207,673,-3.230925083,-2.223544598,1
207,705,-2.534926891,-1.859234214,1
207,737,-1.264670849,-0.3994135857,1
207,769,-2.674617767,1.548953772,1
207,801,-1.531947851,1.005643487,1
207,833,-2.105648994,0.9929404259,1
207,865,-2.514144421,-2.362011433,1
207,897,-1.206112385,-3.541244268,1
207,929,0.2127870321,-3.619188547,1
207,961,0.2213345766,-5.045671463,1
207,993,-0.03165134788,-4.816013336,1
207,1025,0.1056071818,-4.775650978,1
207,1057,0.4427203238,-5.031215668,1
207,1089,-0.1910432726,-2.499590635,1
207,1121,-0.357042402,-1.065843582,1
207,1153,-0.1329161227,-1.013763428,1
207,1185,-0.5326633453,-0.5538927317,1
207,1217,-0.7155072689,-0.4139793515,1
207,1249,-0.2535951138,-0.4580875635,1
207,1281,1.077183366,-0.1121454835,1
207,1313,2.015996456,-0.7128520608,1
207,1345,-0.2143061161,-2.164416313,1
207,1377,-1.13604331,-3.786608696,1
207,1409,-1.860356808,-2.845839024,1
207,1441,-1.645353556,-0.762979269,1
207,1473,-1.526178241,-0.3777851462,1
207,1505,-1.014920592,0.06146755815,1
207,1537,-0.3563805223,-0.4586251378,1
207,1569,-0.285574913,-1.166947603,1
207,1601,-0.4364808798,-0.9945324063,1
207,1633,-0.06338405609,-0.877674222,1
207,1665,0.7967356443,-0.616759181,1
207,1697,0.2156383991,-0.02516272664,1
207,1729,-1.04861629,-0.01986506581,1
207,1761,-2.22959733,0.0159509033,1
207,1793,-1.52825439,0.4445330501,1
