 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Skew,%Area
1,5392.674,118.186,89.195,140.589,377.974,140.950,48.714,0.871,3.248,100
2,3900.062,118.895,88.958,135.897,332.242,123.948,40.063,178.391,3.554,100
3,2492.605,122.017,89.792,131.080,274.107,106.564,29.782,178.279,2.612,100
4,2044.295,123.993,89.067,129.217,251.702,97.594,26.670,178.174,2.185,100
5,1933.461,124.754,89.743,128.161,244.876,95.596,25.752,177.788,2.068,100
6,1749.367,125.497,89.587,127.665,237.568,93.297,23.874,178.073,1.948,100
7,1588.794,126.322,89.582,127.334,229.287,88.978,22.735,178.655,1.830,100
8,1367.571,127.365,88.415,126.931,220.631,86.128,20.217,179.014,1.714,100
9,1275.413,128.062,85.921,126.594,213.156,81.860,19.838,179.389,1.635,100
10,1070.286,129.853,87.084,126.144,201.053,76.325,17.854,179.569,1.460,100
11,932.330,131.387,87.574,125.883,189.293,72.091,16.466,179.956,1.345,100
12,760.623,133.255,88.920,125.734,175.034,65.568,14.770,0.675,1.229,100
13,563.027,137.031,88.381,125.019,162.831,56.536,12.680,0.848,0.997,100
14,545.091,136.009,91.219,124.304,153.115,58.547,11.854,2.073,0.906,100
15,467.068,136.100,91.142,123.819,134.898,53.271,11.163,0.055,0.882,100
