PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 49, filenames: A:[49]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi & B:[50]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-2.484319687,4.375671387,1
47,65,-2.253938675,-1.809358597,1
47,97,-2.545336246,-1.941342115,1
47,129,-2.321825743,-1.704341292,1
47,161,-1.821493149,-0.2906205654,1
47,193,-1.021995783,0.03265786171,1
47,225,0.7984138727,0.15008533,1
47,257,0.4081970453,0.2179900408,1
47,289,-1.079560161,0.1057007313,1
47,321,-0.9654655457,0.539542079,1
47,353,-0.2494881153,0.2437796593,1
47,385,0.5854023099,-1.080088735,1
47,417,0.9001522064,-2.190756798,1
47,449,0.9004144669,-5.675448895,1
47,481,2.549730062,-5.486640453,1
47,513,0.4487171173,-0.2667157054,1
47,545,0.1345877051,0.4856034517,1
47,577,-0.1405219734,0.3291423917,1
47,609,-0.6851390004,0.1064268351,1
47,641,-1.213600397,0.2110010982,1
47,673,-1.632663012,-0.1615490913,1
47,705,-2.963833332,-1.539995909,1
47,737,-0.9780458212,-3.422421455,1
47,769,0.6010425091,-0.2683540583,1
47,801,0.3483723998,-1.265463114,1
47,833,-1.077856183,-2.940813065,1
47,865,-1.844080329,-0.82725811,1
47,897,-0.9796978235,-0.2050195932,1
47,929,-3.585251808,5.811357498,1
47,961,-0.5285134315,2.872028351,1
47,993,-2.152062893,4.12354517,1
47,1025,-3.164205551,4.686595917,1
47,1057,-1.605926991,4.759739399,1
47,1089,-1.777651787,2.372004509,1
47,1121,-1.613546729,0.8103662729,1
47,1153,-0.7048277855,-0.1256035566,1
47,1185,-2.715224266,-0.6040029526,1
47,1217,-7.757890701,-0.07207262516,1
47,1249,-9.219308853,0.3878027201,1
47,1281,-7.978138924,1.832452416,1
47,1313,-7.686995029,2.55147171,1
47,1345,-8.713748932,3.193873167,1
47,1377,-9.00321579,3.497983217,1
47,1409,-10.07290745,5.383505821,1
47,1441,-9.477283478,5.057171822,1
47,1473,12.46768379,-0.9136157036,1
47,1505,-5.55906868,1.726975441,1
47,1537,-7.132727623,-0.8176782131,1
47,1569,-8.099630356,-1.872921944,1
47,1601,-9.04471302,-0.827067852,1
47,1633,-1.132923603,-0.1794432998,1
47,1665,-9.087646484,0.5050187111,1
47,1697,-8.611127853,0.4366633892,1
47,1729,-0.6265683174,0.4862938523,1
47,1761,-8.857609749,0.5994024873,1
47,1793,-4.177402496,-0.8536710143,1
47,1825,-2.92929697,-0.4787647724,1
47,1857,-2.214833736,-0.4069749117,1
47,1889,-1.042909503,-0.6243980527,1
47,1921,-0.2172780037,-0.3565061092,1
47,1953,0.06081414223,-0.3064689636,1
47,1985,1.0162673,-0.005496561527,1
47,2017,-0.62104702,0.08932852745,1
79,33,-1.517929435,2.505260944,1
79,65,-0.5711965561,-2.918547392,1
79,97,-1.3934865,-1.359887004,1
79,129,-1.286042094,-1.553366899,1
79,161,-0.7301623225,-1.203574419,1
79,193,-0.1453607976,-1.170776367,1
79,225,0.08790266514,-0.8871837258,1
79,257,-0.587032795,-0.7651045322,1
79,289,-0.8394665718,-1.175018072,1
79,321,0.4544436932,-1.635502577,1
79,353,0.2338670939,-1.199238658,1
79,385,0.650703609,-2.038223028,1
79,417,0.9494903088,-2.121908665,1
79,449,1.686273813,-5.449663162,1
79,481,1.526805401,-1.682747006,1
79,513,0.4818680882,-0.3659345508,1
79,545,0.1496112645,-0.2564995587,1
79,577,-0.2408415228,-2.273792028,1
79,609,-0.6011984348,-1.962926984,1
79,641,-1.054922223,-1.25530982,1
79,673,-1.718945265,-1.145305991,1
79,705,-1.794139862,-1.110344768,1
79,737,-0.8832205534,-1.150136948,1
79,769,-0.1770258844,-0.7588601112,1
79,801,0.2370056808,-1.521442175,1
79,833,1.030562878,-5.557926178,1
79,865,-0.2308875918,-0.7627568245,1
79,897,0.2689356804,-0.1924931258,1
79,929,-17.09750938,5.501810074,1
79,961,-1.634821177,2.973176241,1
79,993,-2.647077084,3.314481735,1
79,1025,-3.038076639,3.906932116,1
79,1057,-2.286889315,3.035862684,1
79,1089,-2.922074556,1.814520597,1
79,1121,-2.596410751,0.985555172,1
79,1153,-2.126449347,0.2847135067,1
79,1185,-3.911341667,-0.5946336985,1
79,1217,-5.538565636,0.1838200092,1
79,1249,-7.076616287,0.3575179577,1
79,1281,-12.65500259,16.71565437,1
79,1313,-8.630632401,1.882693529,1
79,1345,-9.761302948,2.5990839,1
79,1377,-9.652994156,3.347858906,1
79,1409,-8.817978859,5.84013176,1
79,1441,-8.741195679,4.311883926,1
79,1473,-8.468889236,4.165662766,1
79,1505,-7.877943993,3.200969219,1
79,1537,-8.074914932,1.604400873,1
79,1569,-8.564723015,-1.38089788,1
79,1601,-8.402591705,-0.1009555459,1
79,1633,-4.931970596,2.854191065,1
79,1665,-5.449547768,0.8744422197,1
79,1697,-6.196811676,0.7601544857,1
79,1729,-0.7180700302,0.1147719622,1
79,1761,-2.671510935,0.08145599067,1
79,1793,-2.935352802,-0.3842235208,1
79,1825,-2.912691355,-0.4651129544,1
79,1857,-2.882131338,-0.5993033051,1
79,1889,-2.174066782,-0.3764714301,1
79,1921,-1.663183928,-0.4527690411,1
79,1953,-0.9192349911,0.006432682276,1
79,1985,0.3867058456,-0.1108042896,1
79,2017,0.1570771933,-0.54576689,1
111,33,-2.195910454,0.7719658613,1
111,65,-2.692414045,-1.750547886,1
111,97,-2.363518715,-3.505628109,1
111,129,-0.9866931438,-1.454346538,1
111,161,-0.6119493246,-1.772684574,1
111,193,-0.2371538281,-2.065799713,1
111,225,-0.3958112597,-1.905462742,1
111,257,-1.493950844,-1.658025861,1
111,289,-0.1663329005,-1.996846318,1
111,321,1.347710967,-4.396941185,1
111,353,0.4664694667,-4.802504063,1
