PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 35, filenames: A:[35]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi & B:[36]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-1.268444896,-0.3459844589,1
47,65,-0.8982484341,0.1161859632,1
47,97,-0.876458168,-18.85722542,1
47,129,-1.497318506,-0.7059406638,1
47,161,-1.615131855,-2.109659672,1
47,193,-1.737495422,-3.857199669,1
47,225,-1.586372137,-2.358242989,1
47,257,-4.063850403,-4.191182137,1
47,289,-2.719301701,-3.948805332,1
47,321,0.3595649004,-1.731321573,1
47,353,-0.314691335,-0.3035057187,1
47,385,0.3416960239,0.8188503981,1
47,417,0.9886232615,0.4722900391,1
47,449,0.1423432827,-0.6042128801,1
47,481,0.1103105843,-0.3437820673,1
47,513,-0.02128100395,-0.08363996446,1
47,545,0.3518611789,0.2441537678,1
47,577,0.6061810255,0.2944206595,1
47,609,0.07909116149,0.289591074,1
47,641,-0.2908557057,1.827631593,1
47,673,-0.6685073376,1.250310421,1
47,705,-0.2361862659,0.5586902499,1
47,737,-0.1042940617,-0.410754025,1
47,769,-0.5415672064,-1.027107,1
47,801,-0.6480123401,0.444439292,1
47,833,0.05255740881,0.8473817706,1
47,865,0.2604807615,0.2122008502,1
47,897,-0.02985644341,-0.6059730053,1
47,929,0.6293350458,-1.023062706,1
47,961,0.7190122604,-0.8700231314,1
47,993,0.3795930147,0.4214572906,1
47,1025,0.6978362799,0.8511064053,1
47,1057,0.3346813321,0.9412202835,1
47,1089,0.1776624918,0.344394207,1
47,1121,0.6190375686,-0.0283510685,1
47,1153,0.1383926272,0.4197081029,1
47,1185,-0.1281696558,-0.2003499866,1
47,1217,-1.374031067,-1.203426957,1
47,1249,-1.693549395,-2.116299152,1
47,1281,-0.8064029217,-0.9840666652,1
47,1313,-2.449202776,0.6498798728,1
47,1345,-3.674041271,0.1204262227,1
47,1377,-2.339016914,0.00517219305,1
47,1409,-1.143669844,-0.6443616748,1
47,1441,-1.225212336,-1.32547617,1
47,1473,-1.373429775,-0.9605882168,1
47,1505,-1.033335209,-0.6741559505,1
47,1537,-0.6989321709,-0.5799120069,1
47,1569,-1.54502058,-1.128834724,1
47,1601,-2.836682796,-1.974982738,1
47,1633,-2.729167938,-3.309388876,1
47,1665,-1.566624403,-1.990912914,1
47,1697,-1.4229877,-1.330780506,1
47,1729,-0.8418624401,-2.089353323,1
47,1761,0.1824034154,-1.49547863,1
47,1793,0.01114806533,-2.74610424,1
47,1825,0.4497719407,-2.505441189,1
47,1857,1.033449411,-2.32488966,1
47,1889,1.14041245,-1.572314739,1
47,1921,0.5225615501,-1.015560627,1
47,1953,0.4433176517,-0.5549501181,1
47,1985,0.8508080244,-0.726528883,1
47,2017,-0.2901049256,0.01943212748,1
79,33,-0.2767981887,1.260518789,1
79,65,-1.057236671,-0.2827818692,1
79,97,-1.547701955,-0.8995813727,1
79,129,-0.7898081541,-1.280398726,1
79,161,-0.7732279301,-1.987182856,1
79,193,-0.7056213617,-2.177707672,1
79,225,-0.4011607468,-2.008838654,1
79,257,-0.1779418588,-2.426308393,1
79,289,-0.5154753923,-1.768594027,1
79,321,-0.6207947135,-1.299296379,1
79,353,-0.5260213017,-0.9584732056,1
79,385,0.2577193081,-0.8664232492,1
79,417,0.6191931963,-0.6823306084,1
79,449,-0.7011835575,-0.3629842997,1
79,481,-0.2655569911,-0.1984525919,1
79,513,-0.04894658923,0.1231164336,1
79,545,0.3447697759,0.3511570096,1
79,577,0.08318978548,0.01693511009,1
79,609,-0.1577337086,0.1165222526,1
79,641,-0.3552968502,0.59656322,1
79,673,-0.6855466366,0.5188935995,1
79,705,-0.6956940889,-0.1162490547,1
79,737,-0.5193661451,-0.6551843286,1
79,769,-0.1034690142,-0.1905597001,1
79,801,0.6048579216,-0.06671351939,1
79,833,0.5434137583,0.08798511326,1
79,865,-0.0298640132,-0.04919515923,1
79,897,-1.060589194,0.2715185881,1
79,929,-1.018887162,0.1661457717,1
79,961,-0.2676831782,-0.1529086828,1
79,993,0.8036541343,1.045526624,1
79,1025,1.156157494,1.40428412,1
79,1057,0.1892404556,0.4454163909,1
79,1089,-0.0118034482,0.4488627911,1
79,1121,0.4175020456,0.1395165324,1
79,1153,0.1498977542,-0.4025172293,1
79,1185,0.2439059317,-1.927190542,1
79,1217,0.6440812349,-1.116145253,1
79,1249,0.2812222242,-0.9996985197,1
79,1281,0.3356383145,-0.5608810782,1
79,1313,0.1452401876,0.2942304909,1
79,1345,-0.3938395977,0.4902735054,1
79,1377,-2.330443621,0.3126300573,1
79,1409,-2.981419563,-0.270403415,1
79,1441,-2.050718546,-0.6716953516,1
79,1473,-1.140654087,-1.185802102,1
79,1505,-1.421753526,-0.9913003445,1
79,1537,-0.550996542,-0.3389508724,1
79,1569,-1.037014365,-0.8814880252,1
79,1601,-2.998316765,-1.847170115,1
79,1633,-2.258091688,-2.890497208,1
79,1665,-0.7848043442,-4.565829754,1
79,1697,-0.6113852262,-1.367316246,1
79,1729,-0.4925144315,-1.525194764,1
79,1761,0.1702296734,-0.8268618584,1
79,1793,0.5551009774,-1.405484438,1
79,1825,0.9618954659,-1.427935481,1
79,1857,0.9885854721,-1.685688734,1
79,1889,0.7263936996,-1.143779635,1
79,1921,-0.07905423641,-1.115003824,1
79,1953,-0.5629593134,-0.2239130735,1
79,1985,-0.4872533083,-0.6145151854,1
79,2017,-0.2366710752,-0.3264323473,1
111,33,-0.2792528272,2.138198614,1
111,65,-0.803814292,-0.9576610327,1
111,97,-1.206079483,-1.123623371,1
111,129,-0.749579668,-1.544950485,1
111,161,-0.4154865146,-1.796777844,1
111,193,-0.1178020686,-1.588934302,1
111,225,0.3941556513,-1.495450139,1
111,257,0.4366014302,-1.938607335,1
111,289,0.3034344912,-0.9504425526,1
111,321,0.3136572242,-0.9800871015,1
111,353,-0.5830485821,-1.373818755,1
111,385,-0.2548691034,-1.915863395,1
111,417,-0.3172159195,-1.533816576,1
111,449,-1.006290674,-0.7846146822,1
111,481,-0.3220185935,-0.5115345716,1
111,513,0.2457684278,-0.116422981,1
111,545,-0.1560296714,0.1711613089,1
111,577,-0.5036679506,-0.06098855287,1
111,609,-0.4708156586,-0.1110958755,1
111,641,-0.771120429,-0.129219234,1
111,673,-0.9994294047,0.1983040869,1
111,705,-0.7507390976,-0.01066204906,1
111,737,-0.4536167979,0.119487673,1
111,769,0.1564444304,0.07642247528,1
111,801,0.5471869111,-0.4753984213,1
111,833,0.05016902089,-0.4779040813,1
111,865,-0.2569570541,-0.3146954179,1
111,897,-1.142302632,1.220411181,1
111,929,-3.286085606,2.606664658,1
111,961,-0.6201796532,0.186612606,1
111,993,0.1131226718,0.6453284025,1
111,1025,0.2790924311,0.8121518493,1
111,1057,-0.4323807359,0.4571725428,1
111,1089,-0.3667272925,0.01384583116,1
111,1121,-0.1562635601,-0.6310860515,1
111,1153,-0.2262293994,-1.285750985,1
111,1185,0.7443064451,-2.238776445,1
111,1217,1.133914709,-1.005615711,1
111,1249,0.6314770579,-0.2210915089,1
111,1281,1.260656714,-0.2706800699,1
111,1313,2.121526241,-0.05678090453,1
111,1345,0.3777614534,0.8095830679,1
111,1377,-3.094701767,0.3940623403,1
111,1409,-3.295929432,-0.1983548403,1
111,1441,-2.558161974,-0.3434215784,1
111,1473,-1.808650851,-1.006835699,1
111,1505,-1.102135539,-1.137204051,1
111,1537,-0.3792962432,0.1290808916,1
111,1569,0.07631522417,-0.3534943461,1
111,1601,-0.5475978851,-0.7950932384,1
111,1633,-0.9037997127,-1.074155688,1
111,1665,-0.6476657391,-1.225769162,1
111,1697,0.1500632465,-1.431241632,1
111,1729,-0.7910132408,-1.491495967,1
111,1761,-0.5728129148,-1.396769643,1
111,1793,0.6491385698,-0.7370063066,1
111,1825,0.8364405036,-0.5562503338,1
111,1857,0.8439426422,-1.371055484,1
111,1889,0.5953904986,-1.024403453,1
111,1921,-0.01523454487,-0.8931264877,1
111,1953,-0.6505683661,-0.5934948921,1
111,1985,-0.8963312507,-0.3682399988,1
111,2017,-0.502779007,-0.3243395686,1
143,33,-0.620647192,1.778459787,1
143,65,-0.5378358364,-1.20018208,1
143,97,-0.7896726131,-0.959980011,1
143,129,-1.312425733,-1.786811471,1
143,161,-0.4905371666,-2.052175522,1
143,193,0.07140873373,-1.802457094,1
143,225,0.4330081344,-1.711189628,1
143,257,0.3768061399,-1.76715827,1
143,289,0.4123194814,-1.049330711,1
143,321,0.5991271734,-1.278191447,1
143,353,-0.4662811756,-1.845073223,1
143,385,-0.5042418838,-2.390079498,1
143,417,-0.1008313894,-2.18674469,1
143,449,-0.815977335,-0.977060616,1
143,481,-0.4654050469,-0.6755852103,1
143,513,-0.001444429159,0.01518280804,1
143,545,-0.5677870512,0.3308762312,1
143,577,-0.8842400312,0.3623067439,1
143,609,-1.14906466,0.2580917776,1
143,641,-1.412007093,0.2167520821,1
143,673,-0.982196331,0.2864646614,1
143,705,-0.8480235338,0.3613052964,1
143,737,-0.6198929548,0.3142586052,1
143,769,-0.2525205612,0.2925204039,1
143,801,-0.4035824537,-0.6689558029,1
143,833,-0.8139047623,-0.8440406322,1
143,865,-0.620238483,-0.3556354046,1
143,897,-4.398748398,2.640506029,1
143,929,-3.976715803,2.325703859,1
143,961,-0.4026018381,0.7133003473,1
143,993,-0.4401356578,1.032739282,1
143,1025,-0.6417632103,0.9012075663,1
143,1057,-1.092954636,0.9010893106,1
143,1089,-1.638973475,0.8225613832,1
143,1121,-0.4963598251,-2.992228508,1
143,1153,0.4232462645,-1.464378834,1
143,1185,1.393572092,-0.8406395316,1
143,1217,1.311190128,-0.3742489815,1
143,1249,0.8417741656,-0.3226646185,1
143,1281,1.098037243,-1.108855247,1
143,1313,0.5476781726,-2.232923508,1
143,1345,-0.1816571355,-0.6394015551,1
143,1377,-1.377916336,-0.1647968888,1
143,1409,-1.175895452,-0.762031734,1
143,1441,-1.86940217,-0.7294365168,1
143,1473,-2.130786896,-0.6405807734,1
143,1505,-0.5214340687,-0.1031375527,1
143,1537,-0.3304289579,0.6222419739,1
143,1569,0.2974634767,0.3469094038,1
143,1601,0.6710896492,-0.1389136314,1
143,1633,-0.3984296322,-1.065675974,1
143,1665,-0.6286969185,-1.112051249,1
143,1697,0.006084144115,-1.469256639,1
143,1729,-0.1062504202,-1.28412962,1
143,1761,0.001554608345,-0.864372015,1
143,1793,0.4900595546,-0.7878015041,1
143,1825,0.6545526385,-0.7399563193,1
143,1857,0.3235273361,-1.277110815,1
143,1889,-0.1971380115,-1.126557827,1
143,1921,-0.6734041572,-0.987195015,1
143,1953,-0.7934959531,-0.9891988039,1
143,1985,-0.8662748337,-0.3098763824,1
143,2017,-0.4818060994,-0.09558618069,1
175,33,-0.3603755236,0.8227586746,1
175,65,-1.370406508,-5.927617073,1
175,97,-0.4400242865,-0.8827056289,1
175,129,-3.294618845,-8.036941528,1
175,161,-1.387311697,-5.92883873,1
175,193,0.119314298,-2.736767054,1
175,225,0.01606056094,-1.930180311,1
175,257,-0.1058549881,-0.8880211115,1
175,289,-0.3636794388,-1.573538542,1
175,321,-0.5581399202,-2.618654251,1
175,353,-1.165920138,-2.260487795,1
175,385,-0.9601202011,-2.344866753,1
175,417,-0.138967067,-1.349509478,1
175,449,-0.2165664136,-0.4647176862,1
175,481,-0.608669579,-0.3994840086,1
175,513,-0.7197549343,-0.09383966029,1
175,545,-0.3859267235,0.2660437524,1
175,577,-0.53243047,0.1584051847,1
175,609,-1.108550072,0.5011765957,1
175,641,-1.359725237,0.6661704779,1
175,673,-1.098448157,0.4157240987,1
175,705,-0.9077870846,0.5874319077,1
175,737,-0.7317894697,0.4242411852,1
175,769,-0.6039517522,0.2288831323,1
175,801,-0.699468255,-0.641941905,1
175,833,-3.145673752,-2.588289499,1
175,865,-1.000189781,-0.5342509747,1
175,897,-0.873816371,0.1610970348,1
175,929,-0.5172584057,0.8224580884,1
175,961,0.3688347042,1.082694292,1
175,993,-0.3664163947,1.126271725,1
175,1025,-0.8636994362,0.8545202613,1
175,1057,-1.329450846,1.155487299,1
175,1089,-0.7544062138,1.456944823,1
175,1121,0.2263831794,0.5518348217,1
175,1153,0.9721882343,-0.1750063002,1
175,1185,0.3773052096,-0.4042050242,1
175,1217,0.08977892995,0.2497034073,1
175,1249,0.5305609107,0.1545743793,1
175,1281,0.104930222,-0.5984280109,1
175,1313,-0.7841362953,-2.426166534,1
175,1345,-0.9203708172,-1.347878456,1
175,1377,-0.5634771585,-0.1179924011,1
175,1409,0.2012326717,-1.100795746,1
175,1441,-0.716524601,-1.347801805,1
175,1473,-0.6323634982,0.05964231491,1
175,1505,-0.3018490076,0.5744436979,1
175,1537,-0.7269295454,-0.02409735322,1
175,1569,-0.5573421717,0.3602655232,1
175,1601,-0.5049136877,-0.2855315804,1
175,1633,-0.3779012263,-0.9666748047,1
175,1665,-0.3456353545,-1.176347971,1
175,1697,0.08751490712,-1.373881578,1
175,1729,0.005775660276,-1.300981283,1
175,1761,0.269320637,-0.9849809408,1
175,1793,0.5405777097,-1.041906714,1
