 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,7751.863,112.780,108.107,139.371,403.127,153.698,64.217,10.030,0.599,100,2.393,0.418,0.911
2,7107.693,112.728,108.786,140.212,368.885,143.121,63.232,10.150,0.656,100,2.263,0.442,0.933
3,5734.643,112.680,108.884,140.059,328.683,130.412,55.988,8.689,0.667,100,2.329,0.429,0.956
4,4567.331,112.671,110.420,140.727,297.986,122.851,47.336,8.906,0.646,100,2.595,0.385,0.956
5,3552.579,112.687,109.767,140.739,274.404,111.397,40.605,7.287,0.593,100,2.743,0.365,0.923
6,2695.281,112.769,109.027,141.054,257.607,107.420,31.947,8.505,0.510,100,3.362,0.297,0.901
7,2172.421,112.818,109.293,141.053,231.785,100.410,27.547,7.218,0.508,100,3.645,0.274,0.937
8,1908.967,112.904,110.392,140.889,214.495,91.184,26.656,7.195,0.521,100,3.421,0.292,0.946
9,1637.383,113.013,109.612,140.998,188.315,80.662,25.846,5.632,0.580,100,3.121,0.320,0.961
10,1146.549,113.216,108.907,141.408,158.574,70.034,20.845,5.561,0.573,100,3.360,0.298,0.980
11,984.345,113.365,109.856,141.691,143.058,63.453,19.752,5.607,0.604,100,3.213,0.311,0.977
12,831.361,113.489,110.483,142.149,135.164,60.787,17.414,6.869,0.572,100,3.491,0.286,0.993
13,650.435,113.676,110.969,142.293,122.507,54.705,15.139,5.379,0.545,100,3.614,0.277,1.000
14,532.926,113.687,111.170,141.665,116.637,53.026,12.796,5.540,0.492,100,4.144,0.241,0.988
15,462.399,113.656,111.879,141.484,107.076,48.752,12.076,4.012,0.507,100,4.037,0.248,0.988
