 ,Area,X,Y,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,584.045,124.164,106.460,32.059,549,428,114.316,24.887
2,494.642,102.795,99.041,29.971,465,525,75.362,22.295
3,958.095,106.702,137.154,41.634,410,662,22.299,32.307
4,985.726,87.323,77.609,60.608,456,250,91.228,37.943
5,662.770,73.729,96.969,47.826,311,357,129.308,25.933
6,583.998,52.640,79.995,38.940,201,297,108.133,25.226
7,1220.355,65.967,116.837,79.195,123,490,168.813,29.163
8,540.398,108.958,67.671,34.908,459,251,109.558,23.637
9,625.586,128.106,80.797,38.562,526,445,31.460,28.963
10,571.869,142.882,102.270,44.226,652,575,81.275,19.483
11,539.227,160.506,111.544,37.916,662,572,36.412,21.366
12,808.231,189.070,91.041,40.761,802,486,41.987,30.719
13,1400.332,165.152,73.840,64.210,694,503,59.632,37.922
14,385.289,169.572,45.694,29.849,709,224,170.401,17.529
15,846.540,138.732,54.727,42.450,643,155,98.502,29.193
16,1109.831,115.350,37.425,44.300,437,139,175.236,38.423
17,594.723,86.769,44.697,30.728,382,269,71.948,26.537
18,756.388,60.072,56.667,43.894,183,225,167.471,28.010
19,612.707,36.288,94.770,36.172,89,461,177.600,29.988
20,852.207,19.056,76.510,43.829,2,348,13.419,33.733
21,800.504,25.742,137.337,40.445,39,662,18.726,25.846
22,616.922,24.538,117.015,49.656,6,494,154.440,20.009
23,1245.645,65.073,143.147,52.219,188,667,174.053,34.842
24,768.237,90.327,162.087,43.263,316,745,9.792,25.536
25,1358.979,128.722,160.826,55.867,591,595,91.998,36.513
26,340.611,143.402,138.878,26.976,613,600,138.252,17.482
27,839.375,154.502,177.677,47.567,704,689,99.162,28.550
28,960.530,169.835,159.844,55.724,705,620,119.552,23.100
29,644.318,183.845,148.443,51.439,743,591,136.705,20.532
30,1257.634,187.335,122.510,49.279,737,582,4.534,35.686
31,583.530,210.403,147.099,35.969,961,601,111.161,25.965
32,895.105,199.276,60.214,39.177,906,189,102.117,29.557
33,641.555,26.623,56.201,42.580,13,290,12.624,22.212
34,613.550,11.104,40.336,43.104,11,289,74.568,25.555
35,865.367,36.477,29.849,44.181,65,97,177.754,31.184
36,724.683,68.686,30.941,41.957,236,189,17.407,25.724
37,799.380,159.150,27.905,38.480,644,153,174.514,30.619
