 ,Area,X,Y,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,899.389,172.964,17.864,43.472,1457,328,51.474,32.104
2,1127.099,113.396,34.143,62.499,973,70,104.759,29.306
3,901.243,71.790,63.163,46.887,702,830,83.367,28.794
4,728.774,165.335,67.200,51.495,1256,637,9.443,26.327
5,1029.720,193.755,76.579,46.944,1551,771,27.629,32.982
6,994.914,144.026,84.778,46.749,1123,712,171.607,27.286
7,920.998,172.762,103.494,39.615,1402,970,14.568,33.426
8,783.921,134.326,107.289,38.883,1128,819,112.779,27.725
9,1366.340,59.688,114.034,49.783,331,988,148.523,37.334
10,1143.980,157.033,135.231,57.001,1412,996,100.178,33.158
11,825.355,187.885,131.096,39.432,1741,1401,88.898,30.191
12,236.754,86.862,125.513,20.373,723,1229,45.431,17.221
13,583.791,133.684,137.562,39.964,1155,1112,125.068,20.102
14,1189.730,55.944,146.315,44.302,354,1223,139.064,37.424
15,600.778,109.056,151.026,46.162,906,1218,120.295,21.236
16,368.950,120.947,145.692,34.053,1014,1213,117.054,14.130
17,1085.771,86.105,157.068,56.639,839,1731,85.063,25.456
18,512.549,176.048,154.974,30.348,1602,1275,97.176,22.754
19,1138.759,141.793,173.013,44.339,1224,1412,120.700,35.421
20,724.234,105.278,178.145,40.857,908,1439,91.975,26.820
21,1033.709,85.137,206.470,40.286,717,1749,129.983,35.742
22,628.240,123.026,194.262,39.139,917,1819,171.085,29.703
23,607.288,111.419,116.807,34.950,950,1202,65.659,25.446
24,964.214,98.213,78.625,50.135,703,832,26.011,29.864
25,629.143,96.312,53.707,34.762,762,432,155.911,25.458
26,1789.699,77.431,23.682,64.196,514,434,39.249,43.054
27,759.627,137.030,55.701,49.835,1113,707,49.142,25.745
28,753.010,169.197,43.847,52.379,1369,575,36.846,23.926
