PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 1, filenames: A:[1]AVI_Pos002_TimeSrs0002_TgUtrmcherry_K4K8MO.avi & B:[2]AVI_Pos002_TimeSrs0002_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
237,127,14.24396515,10.85255432,1
237,159,13.70828438,8.368196487,1
237,191,NaN,NaN,2
237,223,NaN,NaN,2
237,255,NaN,NaN,2
237,287,NaN,NaN,2
237,319,15.5583992,9.943486214,1
237,351,13.67273903,11.43833828,1
237,383,13.07556534,11.46674061,1
237,415,NaN,NaN,2
237,447,16.18072891,11.81336212,1
237,479,13.60761642,7.948223114,1
237,511,15.51465034,8.897074699,1
237,543,16.85654831,7.017800331,1
237,575,NaN,NaN,2
237,607,NaN,NaN,2
237,639,12.73255539,4.708125114,1
237,671,13.5539465,4.042279243,1
237,703,13.94296932,2.765640736,1
237,735,13.1289463,1.591551542,1
237,767,16.99042702,0.8821504116,1
237,799,20.00230408,0.3138587475,1
237,831,20.48441124,-0.7565844059,1
237,863,18.06400681,0.4743115902,1
237,895,18.35976791,-2.211492062,1
237,927,18.32679749,-4.809485912,1
237,959,19.46104431,-7.040763855,1
237,991,18.37631226,-8.626046181,1
237,1023,17.3490696,-8.634707451,1
237,1055,17.39370728,-9.212426186,1
237,1087,17.55239868,-11.65456772,1
237,1119,17.50789833,-14.69421005,1
237,1151,18.24204636,-15.80842876,1
237,1183,18.33823013,-15.47750282,1
237,1215,18.62854385,-13.39846516,1
237,1247,17.65675163,-11.88526249,1
237,1279,16.2810936,-11.92302895,1
237,1311,15.99065399,-12.21207809,1
237,1343,17.73440933,-12.53322029,1
237,1375,18.20605659,-12.8449173,1
237,1407,17.4478035,-12.50012302,1
237,1439,16.79933357,-14.22127247,1
237,1471,17.60309029,-15.43147373,1
237,1503,17.53199196,-16.05623627,1
237,1535,15.28197289,-17.72585297,1
237,1567,12.87484932,-17.23218918,1
237,1599,13.93776608,-16.50821304,1
