 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Skew,%Area,AR,Round,Solidity
1,2836.792,124.413,100.473,101.420,250.094,95.964,37.638,52.866,0.570,2.362,100,2.550,0.392,0.835
2,2543.002,124.936,100.393,101.509,240.018,91.763,35.285,52.823,0.555,2.255,100,2.601,0.385,0.838
3,2012.504,126.143,99.267,101.580,215.597,80.821,31.705,52.706,0.544,2.047,100,2.549,0.392,0.837
4,1676.025,126.629,98.791,101.790,197.987,73.423,29.064,53.623,0.537,1.928,100,2.526,0.396,0.847
5,1356.685,126.718,97.457,103.016,192.092,64.458,26.798,52.373,0.462,1.956,100,2.405,0.416,0.770
6,1208.136,126.893,97.816,101.903,186.238,61.132,25.163,50.354,0.438,1.916,100,2.429,0.412,0.750
7,1116.635,127.418,98.021,102.501,177.088,58.302,24.386,50.603,0.447,1.859,100,2.391,0.418,0.742
8,1097.243,128.045,98.878,101.904,176.727,57.320,24.373,50.784,0.441,1.827,100,2.352,0.425,0.744
9,1011.689,127.134,98.637,100.889,175.916,57.270,22.492,48.569,0.411,1.933,100,2.546,0.393,0.719
10,975.933,127.224,98.674,101.339,169.042,56.574,21.964,49.113,0.429,1.903,100,2.576,0.388,0.753
11,851.386,128.647,98.596,101.392,161.911,51.317,21.124,44.401,0.408,1.780,100,2.429,0.412,0.724
12,779.416,129.318,99.439,100.544,161.268,50.210,19.765,44.442,0.377,1.738,100,2.540,0.394,0.683
13,709.453,129.619,100.223,100.073,153.385,50.626,17.843,44.230,0.379,1.752,100,2.837,0.352,0.682
14,692.279,129.755,100.457,100.154,153.160,50.945,17.302,44.561,0.371,1.734,100,2.945,0.340,0.668
15,585.574,129.884,101.316,100.298,146.622,47.436,15.717,44.413,0.342,1.793,100,3.018,0.331,0.640
