PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 1, filenames: A:[1]AVI_Pos004_TimeSrs0004_TgUtrmcherry_K4K8MO.avi & B:[2]AVI_Pos004_TimeSrs0004_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,NaN,NaN,0
47,65,NaN,NaN,0
47,97,NaN,NaN,0
47,129,NaN,NaN,0
47,161,NaN,NaN,0
47,193,NaN,NaN,0
47,225,NaN,NaN,2
47,257,20.28838921,12.14354515,1
47,289,NaN,NaN,2
47,321,NaN,NaN,2
47,353,25.93583679,13.80300236,1
47,385,NaN,NaN,2
47,417,NaN,NaN,2
47,449,36.74837112,13.35816479,1
47,481,35.59932327,14.32616329,1
47,513,33.73760223,14.98829269,1
47,545,NaN,NaN,2
47,577,25.91604996,14.38468838,1
47,609,27.83938599,12.6734972,1
47,641,31.2427597,11.71653175,1
47,673,28.81318092,11.72603798,1
47,705,NaN,NaN,2
47,737,NaN,NaN,2
47,769,34.07103729,9.652698517,1
47,801,NaN,NaN,2
47,833,37.53660583,10.33490753,1
47,865,39.31352615,8.766153336,1
47,897,38.95037842,8.586440086,1
47,929,36.43927765,7.259760857,1
47,961,NaN,NaN,2
47,993,37.60134506,7.995139122,1
47,1025,38.23468399,10.41425896,1
47,1057,39.1722641,7.425629616,1
47,1089,NaN,NaN,2
47,1121,NaN,NaN,0
47,1153,NaN,NaN,0
47,1185,NaN,NaN,0
47,1217,NaN,NaN,0
47,1249,NaN,NaN,0
47,1281,NaN,NaN,0
47,1313,NaN,NaN,0
47,1345,NaN,NaN,0
47,1377,NaN,NaN,0
47,1409,NaN,NaN,0
47,1441,NaN,NaN,0
47,1473,NaN,NaN,0
47,1505,NaN,NaN,0
47,1537,NaN,NaN,0
47,1569,NaN,NaN,0
47,1601,NaN,NaN,0
47,1633,NaN,NaN,0
47,1665,NaN,NaN,0
47,1697,NaN,NaN,0
47,1729,NaN,NaN,0
47,1761,NaN,NaN,0
47,1793,NaN,NaN,0
47,1825,NaN,NaN,0
47,1857,NaN,NaN,0
47,1889,NaN,NaN,0
47,1921,NaN,NaN,0
47,1953,NaN,NaN,0
47,1985,NaN,NaN,0
47,2017,NaN,NaN,0
79,33,NaN,NaN,0
79,65,NaN,NaN,0
79,97,NaN,NaN,0
