 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Skew,%Area,AR,Round,Solidity
1,4057.163,117.584,133.768,127.240,347.714,124.201,41.592,164.046,0.422,1.818,100,2.986,0.335,0.750
2,3242.648,117.701,133.348,126.523,309.893,115.509,35.743,164.148,0.424,1.884,100,3.232,0.309,0.751
3,2680.512,117.755,133.647,126.778,281.869,106.574,32.024,163.903,0.424,1.964,100,3.328,0.300,0.764
4,2432.930,117.929,132.504,126.586,260.768,101.616,30.484,163.510,0.450,1.984,100,3.333,0.300,0.786
5,2108.100,117.979,132.874,127.553,244.368,92.557,29.000,162.549,0.444,2.013,100,3.192,0.313,0.762
6,1835.930,118.097,132.006,126.993,234.908,87.918,26.588,162.385,0.418,2.011,100,3.307,0.302,0.741
7,1697.774,118.141,132.463,127.095,229.059,83.229,25.973,161.605,0.407,2.015,100,3.205,0.312,0.720
8,1536.521,118.162,133.074,126.886,214.479,80.768,24.222,162.400,0.420,2.026,100,3.334,0.300,0.753
9,1518.256,118.136,133.490,127.064,210.517,79.826,24.216,162.535,0.431,2.021,100,3.296,0.303,0.767
10,1355.254,118.129,133.656,127.203,197.843,74.744,23.086,162.604,0.435,2.060,100,3.238,0.309,0.766
11,1279.566,118.118,133.802,127.623,193.369,72.343,22.520,161.947,0.430,2.048,100,3.212,0.311,0.766
12,1223.515,118.036,134.998,127.918,190.970,69.349,22.464,161.763,0.422,2.100,100,3.087,0.324,0.749
13,1119.696,117.946,134.991,127.468,185.401,68.096,20.936,162.371,0.409,2.163,100,3.253,0.307,0.754
14,1101.079,117.810,135.605,127.661,181.768,66.416,21.108,162.322,0.419,2.174,100,3.146,0.318,0.754
15,1066.027,117.697,135.265,127.542,178.970,66.038,20.553,161.544,0.418,2.131,100,3.213,0.311,0.756
