PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 1, filenames: A:[1]AVI_Pos011_TimeSrs0011_TgUtrmcherry_K4K8MO.avi & B:[2]AVI_Pos011_TimeSrs0011_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,21.21380043,19.7812252,1
47,65,NaN,NaN,2
47,97,NaN,NaN,2
47,129,18.68293762,24.30713654,1
47,161,21.11916542,25.7389431,1
47,193,21.31199837,26.13496971,1
47,225,NaN,NaN,2
47,257,24.14211845,22.77032661,1
47,289,26.32984352,22.03129005,1
47,321,28.02311325,24.58681297,1
47,353,26.84397507,27.25720978,1
47,385,27.38897133,25.35431862,1
47,417,28.06498528,21.08933258,1
47,449,28.47429848,19.58154297,1
47,481,30.7154007,19.45102882,1
47,513,NaN,NaN,2
47,545,37.04639816,23.29949188,1
47,577,38.61693954,20.6477375,1
47,609,37.76721191,18.47452545,1
47,641,38.43179703,16.60826111,1
47,673,40.49250031,18.53829765,1
47,705,41.2015152,20.35563087,1
47,737,43.17444992,19.58279228,1
47,769,NaN,NaN,2
47,801,51.66519165,27.54066086,1
47,833,53.33499146,24.85876465,1
47,865,NaN,NaN,2
47,897,50.95538712,16.77469826,1
47,929,49.52539825,11.7840004,1
47,961,47.55396652,7.269918442,1
47,993,NaN,NaN,2
47,1025,45.90272522,6.127155304,1
47,1057,46.48073959,5.398365021,1
47,1089,47.67949677,7.295455933,1
47,1121,49.07406235,7.923802853,1
47,1153,NaN,NaN,2
47,1185,NaN,NaN,2
47,1217,45.05176926,-0.7457542419,1
47,1249,47.5328331,1.709593296,1
47,1281,51.62273407,2.046061516,1
47,1313,NaN,NaN,2
47,1345,38.86998749,-6.321328163,1
47,1377,NaN,NaN,2
47,1409,38.96893311,-7.171278,1
47,1441,36.56980896,-7.949560165,1
47,1473,33.9029007,-10.19351387,1
47,1505,31.85419655,-14.04000568,1
47,1537,32.77748108,-15.7368784,1
47,1569,33.29827118,-15.10211372,1
47,1601,NaN,NaN,2
47,1633,NaN,NaN,2
47,1665,26.83004189,-19.22492981,1
47,1697,23.70249557,-18.917202,1
47,1729,22.39543533,-15.99037743,1
47,1761,22.15812302,-16.62002373,1
47,1793,21.79820061,-18.18088913,1
47,1825,17.84418488,-16.84392357,1
47,1857,14.31950855,-17.16305542,1
47,1889,NaN,NaN,2
47,1921,NaN,NaN,2
47,1953,NaN,NaN,2
47,1985,NaN,NaN,2
47,2017,NaN,NaN,2
79,33,18.8889389,19.43844604,1
79,65,17.05696106,23.23223114,1
79,97,16.87790298,22.83398247,1
79,129,19.75147629,22.39066696,1
79,161,20.80782318,21.93067551,1
79,193,21.73375702,22.62504578,1
79,225,22.81051064,23.66231346,1
79,257,23.67175674,22.95161819,1
79,289,24.09054565,21.09196091,1
79,321,26.38025475,22.63764572,1
79,353,26.38051033,23.69831276,1
79,385,26.88087654,23.55404854,1
79,417,27.66590881,22.08634567,1
79,449,29.1995945,21.94250679,1
79,481,NaN,NaN,2
79,513,NaN,NaN,2
79,545,37.93781662,23.23713493,1
79,577,38.92887497,22.40719414,1
79,609,39.99494553,20.4420681,1
79,641,40.98684692,18.95898819,1
79,673,41.47182846,19.0792408,1
79,705,39.05106354,17.69611931,1
79,737,NaN,NaN,2
79,769,41.90635681,16.97440147,1
79,801,NaN,NaN,2
79,833,NaN,NaN,2
79,865,NaN,NaN,2
79,897,48.7462883,17.89826202,1
79,929,49.64025497,14.7401104,1
79,961,48.60400772,12.15621948,1
79,993,NaN,NaN,2
79,1025,NaN,NaN,2
79,1057,47.62176132,4.812301159,1
79,1089,47.70859146,3.068734169,1
79,1121,50.55629349,10.57379913,1
79,1153,NaN,NaN,2
79,1185,51.33701324,7.151759148,1
79,1217,NaN,NaN,2
79,1249,49.02989197,1.503357649,1
79,1281,48.12293625,-1.525542259,1
79,1313,46.4416008,-3.984871387,1
79,1345,43.76835632,-6.697115421,1
79,1377,41.16332626,-9.584330559,1
79,1409,39.74190903,-11.20398521,1
79,1441,NaN,NaN,2
79,1473,34.01565552,-10.2034483,1
79,1505,31.94697952,-14.70537663,1
79,1537,29.27646828,-15.18528938,1
79,1569,NaN,NaN,2
79,1601,NaN,NaN,2
79,1633,26.62037659,-16.7748909,1
79,1665,23.25128555,-19.23232269,1
79,1697,22.11850357,-18.25361061,1
79,1729,20.25813103,-16.57017326,1
79,1761,19.97542,-16.94014168,1
79,1793,19.05366325,-15.90618324,1
79,1825,19.29620361,-18.30653763,1
79,1857,15.76668453,-18.10122681,1
79,1889,NaN,NaN,2
79,1921,NaN,NaN,2
79,1953,NaN,NaN,2
79,1985,NaN,NaN,2
79,2017,NaN,NaN,2
111,33,17.32700729,20.14825439,1
111,65,17.67799377,23.0128746,1
111,97,18.52011681,22.08565331,1
111,129,18.6950016,21.4549408,1
111,161,19.71297455,21.11829185,1
111,193,22.86549377,22.96118736,1
111,225,23.62414742,23.50666046,1
111,257,23.64744949,22.37213707,1
111,289,24.05331039,22.49553871,1
111,321,24.64799309,21.3838768,1
111,353,25.07032013,22.16816711,1
111,385,26.37312126,22.7250309,1
111,417,28.19110298,22.77908707,1
111,449,29.81321144,23.24026108,1
111,481,31.32372093,22.225214,1
111,513,NaN,NaN,2
111,545,36.4770813,23.49751282,1
111,577,38.83269882,22.34550667,1
111,609,40.66255569,21.32101059,1
111,641,42.10253143,20.66754532,1
111,673,42.58543015,19.82526207,1
111,705,40.72476196,18.8076973,1
111,737,40.15742493,17.80630302,1
111,769,40.39337921,15.57655525,1
111,801,42.18926239,14.73015404,1
111,833,43.89887238,16.49982071,1
111,865,NaN,NaN,2
111,897,48.1696434,17.99646378,1
111,929,49.32468414,17.24299812,1
111,961,49.2893219,16.43116379,1
111,993,NaN,NaN,2
111,1025,46.30521393,9.576150894,1
111,1057,47.74615097,5.522551537,1
111,1089,48.1822052,3.3331213,1
111,1121,NaN,NaN,2
111,1153,52.01097488,8.060303688,1
111,1185,NaN,NaN,2
111,1217,50.85785675,3.704482555,1
111,1249,51.11177444,0.5853139758,1
111,1281,50.05436707,-2.005993128,1
111,1313,46.28945541,-7.114335537,1
111,1345,43.85697174,-9.108530045,1
111,1377,41.32493591,-8.500151634,1
111,1409,39.89967728,-11.58231926,1
111,1441,38.69623947,-13.13129425,1
111,1473,NaN,NaN,2
111,1505,NaN,NaN,2
111,1537,30.2011795,-14.99612045,1
111,1569,26.46606636,-15.62841225,1
111,1601,26.56656265,-14.44492722,1
111,1633,NaN,NaN,2
111,1665,24.30139732,-19.98325539,1
111,1697,21.68132019,-18.86791611,1
111,1729,18.52428436,-18.18451118,1
111,1761,17.79803467,-16.64671707,1
111,1793,18.6242466,-15.8112278,1
111,1825,NaN,NaN,2
111,1857,NaN,NaN,2
111,1889,NaN,NaN,2
111,1921,NaN,NaN,2
111,1953,NaN,NaN,2
111,1985,NaN,NaN,2
111,2017,NaN,NaN,2
143,33,15.26982307,20.48478699,1
143,65,17.47496605,23.58111191,1
143,97,18.68941116,23.25071716,1
143,129,18.08437347,21.80971146,1
143,161,18.93947792,21.74971199,1
143,193,20.86097336,23.46523094,1
143,225,23.27481842,22.47678375,1
143,257,24.08163261,23.47679138,1
143,289,24.47147369,23.04016304,1
143,321,25.17090034,20.91829491,1
143,353,24.70321655,22.02232361,1
143,385,26.53978539,22.77027702,1
143,417,28.85149956,23.29761314,1
143,449,29.67566109,23.39652061,1
143,481,31.27676773,23.08779716,1
143,513,33.84500504,22.90913582,1
143,545,36.51064682,22.92293358,1
143,577,38.52264786,22.60347748,1
143,609,40.26161575,22.10901451,1
143,641,41.295578,21.69867706,1
143,673,41.8456955,20.47530365,1
143,705,42.42112732,19.58018875,1
143,737,42.46053696,17.83981705,1
143,769,41.53875732,15.15741348,1
143,801,41.63710785,16.00562668,1
143,833,45.00392151,19.51255798,1
143,865,46.11005783,18.18395615,1
143,897,46.91471863,17.98034859,1
143,929,48.38588333,19.02106476,1
143,961,48.81679153,18.14925194,1
143,993,NaN,NaN,2
143,1025,44.02120209,7.842068672,1
143,1057,47.84675598,7.955043793,1
143,1089,48.40824509,5.73152113,1
143,1121,NaN,NaN,2
143,1153,NaN,NaN,2
143,1185,53.15495682,4.869962692,1
143,1217,51.69374847,3.570463657,1
143,1249,51.55973434,0.07775914669,1
143,1281,49.64332962,-4.875139236,1
143,1313,47.84513474,-7.326436043,1
143,1345,45.26563263,-9.436655045,1
143,1377,42.2450676,-8.481909752,1
143,1409,40.08380127,-10.12296677,1
143,1441,39.32997894,-13.65275097,1
143,1473,33.92479324,-12.26045132,1
143,1505,NaN,NaN,2
143,1537,28.96351433,-15.04594326,1
143,1569,26.97108078,-14.78718758,1
143,1601,NaN,NaN,2
143,1633,NaN,NaN,2
143,1665,22.61964607,-19.95081902,1
143,1697,20.9660759,-19.13371086,1
143,1729,17.25018692,-18.71588326,1
143,1761,16.55535126,-17.74930954,1
143,1793,16.42752457,-18.03180122,1
143,1825,NaN,NaN,2
143,1857,10.26378345,-14.20146275,1
143,1889,NaN,NaN,2
143,1921,NaN,NaN,2
143,1953,NaN,NaN,2
143,1985,NaN,NaN,2
143,2017,NaN,NaN,2
175,33,13.36902618,20.41446877,1
175,65,17.75251961,20.98210335,1
175,97,17.22839165,20.87798882,1
175,129,NaN,NaN,2
175,161,18.41114235,21.08268356,1
175,193,20.01567459,21.68161964,1
175,225,22.09189224,21.85353279,1
175,257,23.53933525,22.28625107,1
175,289,24.23658752,21.57563972,1
175,321,24.64282227,21.2112999,1
175,353,25.24302864,22.7827282,1
175,385,26.86000252,23.28055382,1
175,417,28.30140877,23.89956284,1
175,449,30.10814285,23.48085022,1
175,481,32.28327942,23.21573257,1
175,513,34.45465469,23.24458122,1
175,545,36.44028854,23.40172386,1
175,577,38.25255203,23.51674843,1
175,609,39.45197296,23.26217651,1
175,641,41.03417969,23.17302322,1
175,673,41.56554031,21.56546211,1
175,705,42.4487114,20.37502098,1
175,737,43.1965332,18.82649994,1
175,769,43.28971863,16.74513245,1
175,801,NaN,NaN,2
175,833,44.66078186,21.42301559,1
175,865,NaN,NaN,2
175,897,46.34831619,18.11667633,1
175,929,47.84775543,21.05255127,1
175,961,47.86954498,19.56605911,1
175,993,47.78094101,17.99926376,1
175,1025,NaN,NaN,2
175,1057,NaN,NaN,2
175,1089,47.54253387,7.041160107,1
175,1121,NaN,NaN,2
175,1153,57.66723251,7.569009781,1
175,1185,56.69702148,6.837463379,1
175,1217,53.13818359,3.019301653,1
175,1249,52.80102539,-0.7991895676,1
175,1281,51.85344696,-5.306353092,1
175,1313,48.13104248,-6.980610371,1
175,1345,44.22367859,-7.972269058,1
175,1377,41.3958931,-8.950775146,1
175,1409,39.12177277,-10.53403473,1
175,1441,36.58419418,-12.06944084,1
175,1473,35.76312256,-12.52425861,1
175,1505,32.03420639,-13.87825871,1
175,1537,28.83053017,-15.11649895,1
175,1569,25.53238106,-17.30649948,1
175,1601,22.35987473,-19.34384346,1
175,1633,20.72039032,-18.53233147,1
175,1665,20.51862907,-18.08844757,1
175,1697,19.20055389,-20.93214607,1
175,1729,NaN,NaN,2
175,1761,16.17154503,-19.83367157,1
175,1793,NaN,NaN,2
175,1825,17.22905731,-19.76556206,1
175,1857,15.37657452,-18.46598434,1
175,1889,12.8468132,-17.79472733,1
175,1921,NaN,NaN,2
175,1953,NaN,NaN,2
175,1985,NaN,NaN,2
175,2017,NaN,NaN,2
207,33,14.58773422,20.92987251,1
207,65,17.63946724,20.62336159,1
207,97,17.88483238,20.53996849,1
207,129,NaN,NaN,2
207,161,21.98832893,24.92187881,1
207,193,19.17949295,20.39396858,1
207,225,21.44622803,21.35826302,1
207,257,23.51937675,21.97839165,1
207,289,24.40040398,22.23513031,1
207,321,24.28235626,22.42208672,1
207,353,25.23952484,23.95342064,1
207,385,NaN,NaN,2
207,417,NaN,NaN,2
207,449,NaN,NaN,2
207,481,33.31871033,21.97356606,1
207,513,NaN,NaN,2
207,545,36.79730225,24.71589851,1
207,577,38.22768402,24.8305912,1
207,609,39.29837799,25.02036476,1
207,641,40.43450928,24.57988739,1
207,673,41.37652969,23.04878998,1
207,705,41.78834915,20.74787521,1
207,737,43.56741714,19.45252991,1
207,769,45.66527176,18.0628643,1
207,801,46.6485939,21.72522354,1
207,833,45.92570496,22.19579697,1
207,865,43.62772751,23.09551239,1
207,897,45.44995117,21.10373688,1
207,929,46.32966614,21.34220123,1
207,961,47.69570923,19.57611465,1
207,993,NaN,NaN,2
207,1025,NaN,NaN,2
207,1057,NaN,NaN,2
207,1089,NaN,NaN,2
207,1121,NaN,NaN,2
207,1153,NaN,NaN,2
207,1185,NaN,NaN,2
207,1217,51.08873749,1.109239101,1
207,1249,52.545578,-2.032739639,1
207,1281,52.65148163,-5.108800411,1
207,1313,49.26847076,-6.111414433,1
207,1345,NaN,NaN,2
207,1377,43.6349411,-12.27622128,1
207,1409,38.51046753,-10.84750366,1
207,1441,36.03564072,-11.82141113,1
207,1473,34.960495,-12.66649055,1
207,1505,NaN,NaN,2
207,1537,27.69927788,-14.4349041,1
207,1569,25.03438568,-16.82595825,1
207,1601,19.60027122,-18.49524117,1
207,1633,NaN,NaN,2
207,1665,19.19528389,-19.21905518,1
207,1697,20.67487526,-21.05392647,1
207,1729,NaN,NaN,2
207,1761,16.75901222,-18.42210579,1
207,1793,NaN,NaN,2
207,1825,16.15047073,-21.84991455,1
207,1857,15.47833347,-20.61394691,1
207,1889,14.96953583,-21.37557411,1
207,1921,14.92542362,-21.96605492,1
207,1953,14.34672928,-22.05896759,1
207,1985,10.90552807,-15.27778339,1
207,2017,NaN,NaN,2
239,33,15.01830101,17.40190506,1
239,65,17.87195015,19.49651909,1
239,97,18.24638367,19.99971199,1
239,129,18.52109337,20.31772232,1
239,161,20.80609894,24.65409851,1
239,193,19.6865139,22.48697662,1
239,225,NaN,NaN,2
239,257,NaN,NaN,2
239,289,24.06572723,21.12931252,1
239,321,24.7110405,22.90013504,1
239,353,25.9494133,23.74686623,1
239,385,NaN,NaN,2
239,417,31.49943542,27.47661591,1
239,449,32.63762665,24.87902832,1
239,481,34.03460693,22.52462769,1
239,513,35.61741257,26.05604362,1
239,545,36.74031067,27.15312958,1
239,577,37.62184143,27.12989044,1
239,609,NaN,NaN,2
239,641,NaN,NaN,2
239,673,42.69002151,25.42821884,1
239,705,46.8705864,24.74222946,1
239,737,46.62721634,20.59608269,1
239,769,45.048172,19.70488739,1
239,801,45.70288849,19.76510811,1
239,833,47.03941345,18.47519112,1
239,865,45.72326279,19.88119316,1
239,897,NaN,NaN,2
239,929,45.25226212,16.05974007,1
239,961,NaN,NaN,2
239,993,NaN,NaN,2
239,1025,NaN,NaN,2
239,1057,NaN,NaN,2
239,1089,NaN,NaN,2
239,1121,NaN,NaN,2
239,1153,NaN,NaN,2
239,1185,52.21511078,2.190327168,1
239,1217,53.97414398,-1.85343051,1
239,1249,50.91838074,-2.520913363,1
239,1281,NaN,NaN,2
239,1313,49.64660263,-6.342057228,1
239,1345,46.08086777,-8.097039223,1
239,1377,43.35229492,-9.817867279,1
239,1409,38.58771896,-11.83970261,1
239,1441,35.44471741,-11.23129177,1
239,1473,33.95442963,-11.72909355,1
239,1505,NaN,NaN,2
239,1537,26.10414124,-9.238821983,1
239,1569,NaN,NaN,2
239,1601,NaN,NaN,2
239,1633,18.48133659,-16.63042831,1
239,1665,18.52161217,-19.31157875,1
239,1697,19.77241135,-20.42391396,1
239,1729,NaN,NaN,2
239,1761,NaN,NaN,2
239,1793,NaN,NaN,2
239,1825,16.47611046,-21.42802048,1
239,1857,15.20860291,-22.05503273,1
239,1889,13.23733521,-23.21202087,1
239,1921,14.27777481,-23.58219719,1
239,1953,13.23790073,-25.19859886,1
239,1985,9.6398983,-20.86258316,1
239,2017,NaN,NaN,2
271,33,15.34624863,17.49337006,1
271,65,17.37420654,18.94229126,1
271,97,17.9274826,19.70969582,1
271,129,18.52809906,19.85386276,1
271,161,18.83116531,21.31757736,1
271,193,19.83172798,22.87371826,1
271,225,NaN,NaN,2
271,257,22.67012978,24.07526779,1
271,289,23.88110733,21.92727852,1
271,321,26.21953011,22.6976757,1
271,353,27.38407326,24.53931808,1
271,385,NaN,NaN,2
271,417,30.57503319,25.23716545,1
271,449,33.80609131,26.41192245,1
271,481,35.31376648,26.4300518,1
271,513,37.17288971,26.0349102,1
271,545,NaN,NaN,2
271,577,37.96104813,28.91547775,1
271,609,40.00719452,28.38908577,1
271,641,41.88779449,27.66688919,1
271,673,NaN,NaN,2
271,705,47.83564377,24.48174667,1
271,737,48.58231354,22.91798019,1
271,769,46.39731598,20.10975838,1
271,801,46.41913605,19.66597939,1
271,833,45.48843002,18.2690258,1
271,865,NaN,NaN,2
271,897,NaN,NaN,2
271,929,NaN,NaN,2
271,961,NaN,NaN,2
271,993,NaN,NaN,2
271,1025,44.66452026,19.11663818,1
271,1057,43.99457932,18.91739273,1
271,1089,NaN,NaN,2
271,1121,NaN,NaN,2
271,1153,43.20787811,8.081508636,1
271,1185,53.52087402,1.577424049,1
271,1217,54.81197739,-0.7731372118,1
271,1249,48.91407394,-2.611648083,1
271,1281,NaN,NaN,2
271,1313,45.00040054,-8.127176285,1
271,1345,42.80598831,-8.307907104,1
271,1377,NaN,NaN,2
271,1409,37.47164154,-12.27083111,1
271,1441,35.12867737,-10.56174469,1
271,1473,32.08787537,-10.11483479,1
271,1505,NaN,NaN,2
271,1537,23.3859005,-9.771154404,1
271,1569,22.27602386,-15.14479733,1
271,1601,20.34631729,-15.46072197,1
271,1633,18.9079113,-16.86323929,1
271,1665,18.08073616,-17.73642731,1
271,1697,15.774086,-17.83447266,1
271,1729,14.80051422,-21.08159256,1
271,1761,13.76251888,-21.62431908,1
271,1793,13.20070553,-22.21625519,1
271,1825,13.59790134,-21.02991867,1
271,1857,12.11478806,-21.63194275,1
271,1889,11.58769512,-23.50376129,1
271,1921,11.0453968,-23.8928318,1
271,1953,9.8637743,-24.34433556,1
271,1985,9.408741951,-22.70796967,1
271,2017,NaN,NaN,2
303,33,13.8887167,17.01287842,1
303,65,17.04184341,19.62961197,1
303,97,17.81948471,22.69553185,1
303,129,18.55100632,21.12836456,1
303,161,18.0731144,20.83568382,1
303,193,17.21795464,21.17988396,1
303,225,20.48768044,23.30132103,1
303,257,22.29851913,23.20135307,1
303,289,24.06443214,24.3810482,1
303,321,26.71895409,25.05358887,1
303,353,27.52666283,25.53311729,1
303,385,NaN,NaN,2
303,417,30.15644836,27.39093208,1
303,449,32.53929901,27.27780724,1
303,481,35.52620316,26.68086243,1
303,513,NaN,NaN,2
303,545,NaN,NaN,2
303,577,NaN,NaN,2
303,609,38.88988113,30.76254463,1
303,641,39.82714462,30.78543472,1
303,673,NaN,NaN,2
303,705,NaN,NaN,2
303,737,NaN,NaN,2
303,769,NaN,NaN,2
303,801,NaN,NaN,2
303,833,NaN,NaN,2
303,865,NaN,NaN,2
303,897,NaN,NaN,2
303,929,NaN,NaN,2
303,961,NaN,NaN,2
303,993,NaN,NaN,2
303,1025,NaN,NaN,2
303,1057,NaN,NaN,2
303,1089,NaN,NaN,2
303,1121,NaN,NaN,2
303,1153,43.49002457,3.39914465,1
303,1185,NaN,NaN,2
303,1217,NaN,NaN,2
303,1249,NaN,NaN,2
303,1281,NaN,NaN,2
303,1313,NaN,NaN,2
303,1345,43.23744202,-11.89139462,1
303,1377,41.95574951,-13.12584305,1
303,1409,NaN,NaN,2
303,1441,33.89489746,-9.792835236,1
303,1473,30.32784843,-10.51528645,1
303,1505,NaN,NaN,2
303,1537,20.7979126,-10.14377117,1
303,1569,20.12656975,-14.31350517,1
303,1601,19.1411972,-16.9155426,1
303,1633,17.63712502,-16.6066494,1
303,1665,16.6928978,-16.83142281,1
303,1697,13.85223579,-17.08639145,1
303,1729,13.38673306,-19.88042259,1
303,1761,11.60363388,-20.67752457,1
303,1793,11.15306187,-22.17527199,1
303,1825,10.86052799,-19.79769325,1
303,1857,10.66902065,-21.82993507,1
303,1889,10.47595215,-22.25179482,1
303,1921,8.810603142,-22.89134216,1
303,1953,8.655501366,-22.41843033,1
303,1985,8.629598618,-20.77115631,1
303,2017,11.02818775,-19.51186752,1
335,33,12.24246502,18.15434647,1
335,65,16.20737839,20.74892807,1
335,97,17.37124062,21.41228867,1
335,129,16.03746796,23.08163261,1
335,161,17.86118698,21.92417336,1
335,193,18.77290154,21.57619286,1
335,225,20.19672585,22.89455032,1
335,257,22.36342049,25.05950737,1
335,289,24.6180687,25.70870399,1
335,321,23.01626587,24.16716385,1
335,353,24.51273918,25.55467606,1
335,385,26.68296051,28.07486343,1
335,417,28.5373745,28.88052177,1
335,449,30.77814102,28.7360611,1
335,481,32.71031189,28.65432167,1
335,513,32.73855972,29.40107155,1
335,545,NaN,NaN,2
335,577,36.80948639,30.49516106,1
335,609,38.13565063,32.06175613,1
335,641,39.78830719,34.66772461,1
335,673,42.79105759,37.16139221,1
335,705,38.93186188,36.19010544,1
335,737,NaN,NaN,2
335,769,NaN,NaN,2
335,801,37.93514633,19.19046402,1
335,833,NaN,NaN,2
335,865,NaN,NaN,2
335,897,41.91225433,5.026403427,1
335,929,NaN,NaN,2
335,961,NaN,NaN,2
335,993,NaN,NaN,2
335,1025,NaN,NaN,2
335,1057,NaN,NaN,2
335,1089,NaN,NaN,2
335,1121,NaN,NaN,2
335,1153,NaN,NaN,2
335,1185,NaN,NaN,2
335,1217,NaN,NaN,2
335,1249,NaN,NaN,2
335,1281,NaN,NaN,2
335,1313,NaN,NaN,2
335,1345,NaN,NaN,2
335,1377,NaN,NaN,2
335,1409,NaN,NaN,2
335,1441,NaN,NaN,2
335,1473,27.5563755,-12.12153816,1
335,1505,22.93869591,-12.78759193,1
335,1537,NaN,NaN,2
335,1569,16.44814682,-13.15490723,1
335,1601,16.86572647,-17.03611374,1
335,1633,15.72440147,-16.03524399,1
335,1665,NaN,NaN,2
335,1697,11.78563881,-18.83454704,1
335,1729,11.3067894,-19.04540825,1
335,1761,NaN,NaN,2
335,1793,8.905535698,-17.23989105,1
335,1825,8.97075367,-18.56756401,1
335,1857,8.96456337,-21.4006958,1
335,1889,9.141860962,-21.40429688,1
335,1921,10.14999866,-21.75615883,1
335,1953,9.515996933,-21.68636322,1
335,1985,8.309703827,-20.61549759,1
335,2017,9.980688095,-21.56617355,1
367,33,14.89029598,20.27881622,1
367,65,17.94586945,20.13097572,1
367,97,18.31627655,19.19947243,1
367,129,16.29972649,19.99639893,1
367,161,NaN,NaN,2
367,193,18.6030674,22.10661888,1
367,225,20.0832119,23.19164467,1
367,257,22.66018105,24.92871094,1
367,289,22.99294472,24.52522087,1
367,321,22.8874073,24.50077248,1
367,353,23.10440063,25.84716225,1
367,385,25.67673492,28.00273323,1
367,417,27.34195137,29.83590889,1
367,449,28.78208351,29.04948044,1
367,481,30.73050499,29.32666397,1
367,513,31.05103493,27.83989906,1
367,545,30.89103699,26.69549942,1
367,577,35.86791611,31.55318832,1
367,609,37.40594101,33.23838425,1
367,641,39.51013947,37.39855576,1
367,673,NaN,NaN,2
367,705,NaN,NaN,2
367,737,NaN,NaN,2
367,769,NaN,NaN,2
367,801,NaN,NaN,2
367,833,NaN,NaN,2
367,865,NaN,NaN,2
367,897,NaN,NaN,2
367,929,NaN,NaN,2
367,961,NaN,NaN,2
367,993,NaN,NaN,2
367,1025,NaN,NaN,2
367,1057,NaN,NaN,2
367,1089,NaN,NaN,2
367,1121,NaN,NaN,2
367,1153,NaN,NaN,2
367,1185,NaN,NaN,2
367,1217,41.92272949,-9.920443535,1
367,1249,NaN,NaN,2
367,1281,NaN,NaN,2
367,1313,NaN,NaN,2
367,1345,38.42232895,-10.9907465,1
367,1377,NaN,NaN,2
367,1409,NaN,NaN,2
367,1441,NaN,NaN,2
367,1473,26.45594978,-13.01021194,1
367,1505,22.12590981,-14.23331928,1
367,1537,NaN,NaN,2
367,1569,17.20904922,-13.15775967,1
367,1601,16.54571915,-15.5803175,1
367,1633,18.43158722,-14.75316525,1
367,1665,13.48754025,-13.88513756,1
367,1697,11.38088226,-14.45363712,1
367,1729,10.08379841,-15.38206577,1
367,1761,9.201042175,-16.06823349,1
367,1793,NaN,NaN,2
367,1825,7.277777672,-17.37340546,1
367,1857,6.725188732,-19.13987732,1
367,1889,8.241600037,-20.96854973,1
367,1921,9.374019623,-21.39448166,1
367,1953,9.895307541,-21.41343498,1
367,1985,8.648029327,-21.60949516,1
367,2017,8.502504349,-22.60274506,1
399,33,15.15656757,18.50579834,1
399,65,18.46441269,20.13295937,1
399,97,17.55410004,19.21150589,1
399,129,16.80441093,20.94971466,1
399,161,16.64302444,21.61515236,1
399,193,16.99769974,21.99741364,1
399,225,18.24741936,23.87888718,1
399,257,19.90587807,23.70097542,1
399,289,20.60440826,24.47175407,1
399,321,21.50561714,25.62670708,1
399,353,23.20781517,25.64390373,1
399,385,25.67885017,26.83571434,1
399,417,26.9403553,29.06626701,1
399,449,28.48483849,28.80005455,1
399,481,30.75590515,30.49949265,1
399,513,33.46680832,30.03540993,1
399,545,NaN,NaN,2
399,577,35.29118729,32.65444183,1
399,609,37.3085556,35.20282364,1
399,641,38.89928818,40.19877625,1
399,673,NaN,NaN,2
399,705,NaN,NaN,2
399,737,NaN,NaN,2
399,769,NaN,NaN,2
399,801,NaN,NaN,2
399,833,NaN,NaN,2
399,865,NaN,NaN,2
399,897,45.97268677,17.34891701,1
399,929,44.45589447,17.41758728,1
399,961,NaN,NaN,2
399,993,NaN,NaN,2
399,1025,NaN,NaN,2
399,1057,NaN,NaN,2
399,1089,NaN,NaN,2
399,1121,NaN,NaN,2
399,1153,NaN,NaN,2
399,1185,42.74708557,4.675299644,1
399,1217,NaN,NaN,2
399,1249,NaN,NaN,2
399,1281,NaN,NaN,2
399,1313,NaN,NaN,2
399,1345,NaN,NaN,2
399,1377,NaN,NaN,2
399,1409,31.39451981,-18.12957573,1
399,1441,27.81673813,-13.9748745,1
399,1473,26.91501045,-12.57644749,1
399,1505,23.18375015,-12.37450409,1
399,1537,18.79648781,-12.43972969,1
399,1569,16.59756851,-15.09747028,1
399,1601,15.24170876,-15.92071724,1
399,1633,NaN,NaN,2
399,1665,12.34212494,-12.40712357,1
399,1697,10.95439339,-12.25495911,1
399,1729,9.775129318,-13.85600281,1
399,1761,9.107340813,-15.65557861,1
399,1793,7.837187767,-16.76860809,1
399,1825,6.91540575,-17.33147049,1
399,1857,6.290121555,-18.64190292,1
399,1889,6.103382111,-19.51620293,1
399,1921,6.659387589,-21.85572052,1
399,1953,6.613807201,-21.9916954,1
399,1985,8.228796005,-22.91667938,1
