PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 47, filenames: A:[47]AVI_Pos011_TimeSrs0011_TgUtrmcherry_K4K8MO.avi & B:[48]AVI_Pos011_TimeSrs0011_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-4.120524883,-0.03377938271,1
47,65,-7.62087822,-1.092135549,1
47,97,-7.918498993,-0.1241179705,1
47,129,-7.059433937,0.4211726785,1
47,161,-6.197103024,-0.1125859022,1
47,193,-4.215752125,-0.4159852862,1
47,225,-3.869932175,-0.03709048033,1
47,257,-3.486608982,0.8919497728,1
47,289,-1.135756254,0.8796031475,1
47,321,0.2800118923,0.6896085739,1
47,353,0.3739411831,0.923640728,1
47,385,-0.3797709942,0.9035708904,1
47,417,-1.664206028,0.8537249565,1
47,449,-3.277018547,-0.5280640125,1
47,481,-2.842313766,-2.751951456,1
47,513,-1.024476767,-3.353831291,1
47,545,NaN,NaN,2
47,577,-0.7245621681,1.453006029,1
47,609,0.2766901255,3.29890728,1
47,641,-0.4070215225,1.819558144,1
47,673,-0.9205918908,0.7805038691,1
47,705,-1.226666212,0.4109576941,1
47,737,0.6250642538,2.732246399,1
47,769,1.279997826,3.563240767,1
47,801,-0.2321909815,1.257751226,1
47,833,-0.1754085422,1.230119467,1
47,865,0.1359282136,1.381760716,1
47,897,-0.5210053921,0.8864213228,1
47,929,-1.488701344,0.9470432997,1
47,961,NaN,NaN,2
47,993,NaN,NaN,2
47,1025,0.1411089301,1.265513182,1
47,1057,0.4765457213,-0.2411452979,1
47,1089,-0.9047572613,-1.308415532,1
47,1121,-2.71330905,-0.4000728428,1
47,1153,-2.965619326,0.5422091484,1
47,1185,-1.37688756,1.77857995,1
47,1217,-2.023382425,2.341347933,1
47,1249,-3.177798271,1.128141999,1
47,1281,-3.644435883,-0.0605968833,1
47,1313,-2.152698278,0.08124929667,1
47,1345,-0.5544884205,0.120801121,1
47,1377,-0.8559598923,-0.1887772679,1
47,1409,-0.7160600424,-0.4600679874,1
47,1441,-0.4646247029,-0.7618539333,1
47,1473,-0.1618093848,-0.3055452108,1
47,1505,0.8830025792,-1.120273471,1
47,1537,0.3542551994,-1.364814043,1
47,1569,-0.8134351969,-1.14580369,1
47,1601,-1.213014483,-0.3326185346,1
47,1633,-1.026772499,0.1272655725,1
47,1665,-0.304233551,-0.5754390955,1
47,1697,-1.041446686,-0.947176218,1
47,1729,-0.7472994328,-0.4168457985,1
47,1761,-0.7026994228,0.7593781352,1
47,1793,NaN,NaN,2
47,1825,0.1695011854,0.4313331842,1
47,1857,-0.9193631411,-0.003215670586,1
47,1889,-0.2376573086,0.4783552885,1
47,1921,0.2142385244,1.383576393,1
47,1953,0.3025063276,-0.2022737265,1
47,1985,0.07664203644,-0.0118598938,1
47,2017,1.526521444,-3.807392597,1
79,33,-1.939987898,0.7316981554,1
79,65,-4.793344975,-0.1847725809,1
79,97,-5.079566479,-0.2531378567,1
79,129,-4.387001038,-0.4057858586,1
79,161,-3.360651493,0.405333519,1
79,193,-3.633199453,1.002748966,1
79,225,-4.480397701,0.3169304132,1
79,257,-1.90264678,0.6806880236,1
79,289,-0.6187884808,0.6144311428,1
79,321,-0.3450628519,0.4657294154,1
79,353,-1.010378361,0.7030990124,1
79,385,-1.561784029,1.025560141,1
79,417,-1.728734374,0.8344091177,1
79,449,-2.440696716,0.6629822254,1
79,481,-2.083939552,-0.3755934238,1
79,513,-2.960534096,-0.7249646187,1
79,545,-4.992912292,1.205520868,1
79,577,-5.027033329,1.269950271,1
79,609,-1.617436647,1.415122032,1
79,641,-0.9339483976,1.516292691,1
79,673,-0.9408845901,1.114009857,1
79,705,-1.133539915,1.168901682,1
79,737,-0.6827090979,1.107317805,1
79,769,0.07818430662,0.7932244539,1
79,801,-0.1126318127,-0.3072280288,1
79,833,0.2253914773,-0.3280849457,1
79,865,0.2155177593,0.7330046892,1
79,897,-0.9169560075,0.7027124166,1
79,929,-1.491411448,0.4767253995,1
79,961,-1.104666948,1.170507669,1
79,993,-0.8514154553,1.445943713,1
79,1025,-0.432203114,0.9813750386,1
79,1057,-0.3202810287,-0.09040996432,1
79,1089,-0.6869825721,-0.9787921906,1
79,1121,-1.092043281,-0.3169493079,1
79,1153,-1.541986465,0.3005807996,1
79,1185,-1.123333216,0.8820533156,1
79,1217,-1.81113112,1.230822563,1
79,1249,-4.593755722,3.780983925,1
79,1281,-2.84081459,1.624896049,1
79,1313,-1.217707276,0.2546909451,1
79,1345,0.1887512803,0.3129260838,1
79,1377,-0.5697838664,-0.4087990522,1
79,1409,-0.9846875072,-0.8807016611,1
79,1441,-0.2851658165,-0.6799863577,1
79,1473,-0.2810546756,-0.7848133445,1
79,1505,-0.8260493875,-0.6576443315,1
79,1537,-0.9487268329,-0.3881222308,1
79,1569,-0.9908281565,-0.3619382381,1
79,1601,-0.7660684586,-0.01060843468,1
79,1633,-0.4935709238,0.4243834317,1
79,1665,-0.8101727366,0.35729599,1
79,1697,-0.7121908069,0.6175656319,1
79,1729,-0.6116338372,1.384401679,1
79,1761,-0.5653592944,1.461949706,1
79,1793,NaN,NaN,2
79,1825,-3.509359598,3.726681232,1
79,1857,-2.363787889,2.263366699,1
79,1889,-0.8927462697,0.5692672729,1
79,1921,-0.2419252396,0.3170179129,1
79,1953,-0.3589974642,-0.4373030365,1
79,1985,NaN,NaN,2
79,2017,-0.160777688,-1.587083578,1
111,33,NaN,NaN,2
111,65,-3.531369448,-0.08692067116,1
111,97,-3.951976776,-1.144652843,1
111,129,-2.784149647,-0.6288635731,1
111,161,-0.5596101284,0.3355356753,1
111,193,-1.222912788,0.6579313278,1
111,225,-1.524710178,0.3478982747,1
111,257,-0.7791386843,0.9062959552,1
111,289,-0.5266497135,0.6295288205,1
111,321,-0.9203824401,0.5724256635,1
111,353,-1.42808044,0.7744308114,1
111,385,-1.700720072,0.9844896793,1
111,417,-1.762765288,1.159926414,1
111,449,-2.351797581,0.9409958124,1
111,481,-5.133078098,3.949067116,1
111,513,-1.719388962,1.346395254,1
111,545,-3.556958675,2.364831448,1
111,577,-4.093296528,1.468567133,1
111,609,-2.217602253,1.297711611,1
111,641,-1.502349854,0.9664751291,1
111,673,-1.62370038,1.612931609,1
111,705,-2.296337366,2.107239723,1
111,737,-2.479877949,2.27874279,1
111,769,-0.04044520855,1.587992668,1
111,801,0.1690143347,0.4561116695,1
111,833,0.3376993239,-0.2129214406,1
111,865,0.2545999289,0.4961214662,1
111,897,-1.346677899,1.218886495,1
111,929,-4.051399231,0.8722217083,1
111,961,-1.076860905,0.9844404459,1
111,993,-0.9675222635,0.7842829823,1
111,1025,-0.8453389406,0.550568223,1
111,1057,-0.4550058842,0.1116603613,1
111,1089,-0.2659355998,-0.01397056878,1
111,1121,-0.8027111292,0.05516752601,1
111,1153,-0.6503449678,-0.1781877279,1
111,1185,-0.8783676624,0.2782590687,1
111,1217,-1.104902267,0.8394390345,1
111,1249,-2.406830788,1.396480322,1
111,1281,-3.375837803,1.975729823,1
111,1313,-1.316884041,0.7492592931,1
111,1345,-0.08901751041,0.6267051697,1
111,1377,0.1446487308,0.05501833558,1
111,1409,-0.1508587301,-0.06836773455,1
111,1441,-0.2690358162,-0.4642040133,1
111,1473,-0.3838899732,-1.695474267,1
111,1505,-1.034127116,-1.432494164,1
111,1537,-1.931571841,-0.5694774389,1
111,1569,-0.827686131,0.2405073643,1
111,1601,-0.5395387411,0.4777118862,1
111,1633,-0.509862721,0.2346425653,1
111,1665,-0.3092615604,0.6905645728,1
111,1697,0.2783105373,1.157359362,1
111,1729,-0.7295764685,2.025397301,1
111,1761,-0.5318305492,1.185114264,1
111,1793,-0.09277924895,1.603752613,1
111,1825,-0.5420909524,1.042133451,1
111,1857,-1.107872725,1.31840992,1
111,1889,-1.242748857,0.8744232655,1
111,1921,-1.867987156,0.5036241412,1
111,1953,-2.003342867,0.4251499772,1
111,1985,-0.2041969299,-0.3194356263,1
111,2017,-0.1044640541,-1.287804842,1
143,33,-2.440930605,1.092787266,1
143,65,-2.055204391,-2.195344448,1
143,97,-1.978317738,-1.057013273,1
143,129,-1.541954041,-0.6927313209,1
143,161,-0.8163485527,0.03766408563,1
143,193,-0.4311929941,0.6494736671,1
143,225,-0.1558907032,1.527414322,1
143,257,NaN,NaN,2
143,289,0.1694921851,1.268986821,1
