 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,6986.700,122.502,114.467,116.308,394.768,142.718,62.331,13.778,0.563,100,2.290,0.437,0.848
2,6191.974,122.936,115.193,116.103,353.812,130.424,60.448,15.499,0.622,100,2.158,0.463,0.875
3,5052.394,123.724,114.655,116.545,326.483,119.338,53.905,15.096,0.596,100,2.214,0.452,0.862
4,3818.379,125.067,113.328,116.830,295.625,106.146,45.802,14.990,0.549,100,2.318,0.431,0.840
5,2786.032,127.172,111.335,117.724,261.035,90.337,39.267,13.691,0.514,100,2.301,0.435,0.800
6,2206.980,129.252,110.750,118.310,239.638,79.194,35.482,12.696,0.483,100,2.232,0.448,0.776
7,1783.950,131.551,109.149,118.362,223.318,71.044,31.972,12.917,0.450,100,2.222,0.450,0.761
8,1510.865,133.671,107.909,118.915,215.656,63.024,30.523,13.475,0.408,100,2.065,0.484,0.729
9,1186.668,137.322,107.189,118.690,196.374,55.549,27.200,14.941,0.387,100,2.042,0.490,0.713
10,1032.101,140.060,106.928,118.196,176.851,49.481,26.558,13.900,0.415,100,1.863,0.537,0.724
11,861.392,143.466,106.800,118.221,164.052,44.251,24.785,11.973,0.402,100,1.785,0.560,0.711
12,805.506,144.472,106.634,118.215,157.336,41.507,24.709,8.399,0.409,100,1.680,0.595,0.705
13,686.026,147.272,106.276,118.432,144.755,38.423,22.733,8.071,0.411,100,1.690,0.592,0.705
14,642.962,147.217,107.075,117.368,140.303,35.593,23.000,18.889,0.410,100,1.547,0.646,0.727
15,618.808,145.269,107.613,117.669,132.337,32.456,24.275,18.423,0.444,100,1.337,0.748,0.741
