PIVlab, ASCII chart output - 26-Apr-2024
FRAME: 2, filenames: A:[2]AVI_Pos014_TimeSrs0014_TgUtrmcherry_K4K8MO.avi & B:[3]AVI_Pos014_TimeSrs0014_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.7281339765,0.866607666,1
47,65,0.2834704518,-0.4034462273,1
47,97,5.739770412,-5.021086216,1
47,129,9.047125816,-0.5071882606,1
47,161,8.171905518,-0.2886724472,1
47,193,9.336135864,-2.472239256,1
47,225,0.9078798294,0.1088158786,1
47,257,1.777778745,-0.635951221,1
47,289,7.255935192,-3.956951141,1
47,321,0.5477381945,-0.6810825467,1
47,353,-0.02828231454,-0.6433918476,1
47,385,0.01669037342,-0.6589070559,1
47,417,-0.1029725373,-0.470610857,1
47,449,0.1487826109,-0.5681791306,1
47,481,2.195603848,-1.122571945,1
47,513,8.743366241,-3.822411299,1
47,545,2.369573593,-0.008300304413,1
47,577,3.786581039,-1.133516312,1
47,609,0.6370220184,0.1325242519,1
47,641,-0.5299005508,2.36001873,1
47,673,1.592973471,0.08387972414,1
47,705,-0.3240281343,-0.7454121113,1
47,737,-20.78068161,-16.77331161,1
47,769,-38.00080872,0.3738906384,1
47,801,-18.21742249,-15.86180687,1
47,833,-0.107316494,1.262384653,1
47,865,-0.7143955231,0.6267547607,1
47,897,5.445100784,-0.1015411615,1
47,929,3.832260609,0.2764703035,1
47,961,13.69419479,0.04794073105,1
47,993,12.91474915,1.365760803,1
47,1025,5.509206772,-17.45503616,1
47,1057,-0.4186263084,0.134288311,1
47,1089,5.315266132,2.714402199,1
47,1121,-25.91405487,-10.97830582,1
47,1153,-3.108221054,-0.086810112,1
47,1185,5.966010094,-2.142887354,1
47,1217,4.2730546,-0.762506783,1
47,1249,5.731006622,0.2958946228,1
47,1281,15.43726158,-0.5447548628,1
47,1313,15.82338333,5.090564728,1
47,1345,9.942052841,5.841887474,1
47,1377,4.208248138,-1.035840034,1
47,1409,1.344210267,-0.6798366308,1
47,1441,4.435527802,0.4120090902,1
47,1473,5.62580061,2.192299366,1
47,1505,0.6621038914,-0.1972849369,1
47,1537,-0.3353740871,-0.5825172663,1
47,1569,-0.6183009148,-0.2772966623,1
47,1601,-0.4748477936,0.1971001625,1
47,1633,-0.7498973608,0.1144052744,1
47,1665,-0.7203822136,-0.150718838,1
47,1697,-0.2808991075,-0.3159948289,1
47,1729,0.1725957394,-0.6070870161,1
47,1761,0.8658694029,-0.2260754257,1
47,1793,0.8730986118,-0.00896628201,1
47,1825,0.2769557238,0.1552731395,1
47,1857,-0.4398702979,0.3090375662,1
47,1889,-0.5848392248,0.3656318188,1
47,1921,-0.1924250722,0.3492338657,1
47,1953,-0.1113501787,0.1234233081,1
47,1985,0.02991078794,-0.1128363088,1
47,2017,0.4649791121,-0.5959599018,1
79,33,0.6345062852,0.7276660204,1
79,65,0.04887500405,-0.8235780001,1
79,97,8.733755112,-8.543949127,1
79,129,0.565094173,-0.5156248808,1
79,161,1.262223601,0.09847360849,1
79,193,1.241683125,-1.175181508,1
79,225,5.014533043,-0.3617823422,1
79,257,4.220366478,-1.09432745,1
79,289,0.3330218196,-0.3573089838,1
79,321,0.1746169329,-0.1598292589,1
79,353,0.3035366237,-0.3873357177,1
79,385,0.0472958982,-0.1164194345,1
79,417,-0.04172936082,-0.1634489298,1
79,449,0.3649059832,-0.4272346497,1
79,481,1.864585757,-0.5442610979,1
79,513,5.932225227,-2.301052094,1
79,545,0.2717013359,0.270409584,1
79,577,1.172704697,0.289478302,1
79,609,0.4109363556,-0.7857984304,1
79,641,0.1484378576,0.05766161531,1
79,673,0.8785085678,0.3541872203,1
79,705,0.787424624,-0.04100748152,1
79,737,6.732917786,-0.05293095112,1
79,769,7.301539898,-0.3856976032,1
79,801,-16.16771698,6.865159512,1
79,833,4.191417694,-1.704584122,1
79,865,5.064436436,-1.091160059,1
79,897,5.784489632,-0.9974631071,1
79,929,9.307029724,-1.982992887,1
79,961,13.2167244,-2.316434383,1
79,993,10.92424297,-2.223515511,1
79,1025,0.05627250671,-8.010663986,1
79,1057,0.4791679382,-0.749437809,1
79,1089,-7.855262756,9.245996475,1
79,1121,13.91756058,14.13043499,1
79,1153,3.943820477,-13.9018116,1
79,1185,3.472167969,0.7868664265,1
79,1217,-0.1580066681,0.6719080806,1
79,1249,5.466515541,-7.696809292,1
79,1281,8.997439384,-0.8021361828,1
79,1313,25.33232498,6.058356762,1
79,1345,32.95096207,2.628114462,1
79,1377,6.547264576,-1.280608416,1
79,1409,0.01337116957,-0.7876865864,1
79,1441,0.2631514072,13.56919765,1
79,1473,4.323835373,4.768360138,1
79,1505,0.3479686379,0.1873835921,1
79,1537,0.3618861735,-0.6475142241,1
79,1569,0.6379846334,-1.414433837,1
79,1601,-0.04139044881,-0.08710843325,1
79,1633,-0.02217024565,-0.08863925934,1
79,1665,-0.03068485856,-0.4473773837,1
79,1697,-0.1642522514,-0.7159628272,1
79,1729,-0.108432591,-0.9486628175,1
79,1761,0.2864683568,-0.4542869031,1
79,1793,0.3262528181,-0.3060863018,1
79,1825,0.2879047692,-0.1810545921,1
79,1857,-0.07394457608,-0.1056160703,1
79,1889,-0.1357837468,0.07020378113,1
79,1921,0.2480957806,0.2416330874,1
79,1953,-0.03258650005,0.2923058867,1
79,1985,-0.3106493056,-0.04782288149,1
79,2017,-0.2616922557,-0.3048595786,1
111,33,0.1641325057,0.5119812489,1
111,65,0.4132550061,-2.184784651,1
111,97,0.2703881562,-1.043247938,1
111,129,0.4264817238,-0.112056911,1
111,161,0.8994394541,-0.196734488,1
111,193,1.122585177,-1.357632756,1
111,225,2.069014311,-0.2564053535,1
111,257,1.954721808,-0.3807339668,1
111,289,0.2747507691,-0.308283627,1
111,321,0.3088652492,-0.1183063537,1
111,353,0.7245238423,-0.3481558263,1
111,385,0.5606236458,-0.3349803686,1
111,417,0.4137494862,-0.2605659962,1
111,449,6.340815544,-1.506285548,1
111,481,0.8129764795,-0.5137825012,1
111,513,4.636475086,-2.347706556,1
111,545,6.972202301,-3.132157803,1
111,577,1.564135551,0.5013473034,1
111,609,1.539524078,-1.153894424,1
111,641,0.5079500079,-0.6192222834,1
111,673,0.2923125327,0.03206856549,1
111,705,0.6622521281,0.01233490556,1
111,737,2.085133076,-0.508616209,1
111,769,5.089018345,-2.086414576,1
111,801,7.05617857,-2.076055527,1
111,833,6.776690483,-1.425011635,1
111,865,7.611291885,-1.741533041,1
111,897,8.527338028,-2.016300678,1
111,929,9.94836998,-2.671393394,1
111,961,-0.0896062851,-0.248824358,1
111,993,14.84759331,-1.547451258,1
111,1025,14.00087738,0.8060538769,1
111,1057,29.41542435,1.010452151,1
111,1089,15.917202,-5.996081352,1
111,1121,6.775087833,-1.814925194,1
111,1153,-8.574114799,-11.83233929,1
111,1185,-0.7219247818,-14.80112934,1
111,1217,-0.1751322746,0.04676574469,1
111,1249,11.98121357,11.72231483,1
111,1281,-7.606035233,-7.946274281,1
111,1313,8.912174225,13.3537941,1
111,1345,11.74485779,7.17838335,1
111,1377,7.186175346,-0.04705101252,1
111,1409,7.584982872,-0.9644361138,1
111,1441,-0.5948497057,-0.2980412245,1
111,1473,0.353987813,0.1336483955,1
111,1505,0.4303104877,0.4090981185,1
111,1537,0.5531089306,-0.4221187234,1
111,1569,0.6808199883,-1.156719804,1
111,1601,0.1504656821,-0.4567774832,1
111,1633,0.1702052653,0.02898487449,1
111,1665,0.1286630034,-0.3988550901,1
111,1697,-0.1387860924,-0.7827371359,1
111,1729,-0.2462817281,-0.6787782907,1
111,1761,0.1116323769,-0.4891889393,1
111,1793,0.03207653761,-0.2982223928,1
111,1825,-0.04223224521,-0.286849767,1
111,1857,-0.0348206833,-0.1005022228,1
111,1889,0.2701081336,-0.1966048479,1
111,1921,0.2108828872,-0.08120432496,1
111,1953,-0.25867033,0.03124251217,1
111,1985,-0.1604905128,-0.1735174358,1
111,2017,-0.08690932393,-0.1044409499,1
143,33,-0.123657763,0.3388907909,1
143,65,3.369765282,-5.312399387,1
143,97,0.6330065727,-0.3723298609,1
143,129,0.421267271,-0.1311152875,1
143,161,0.2155514956,0.1752679646,1
143,193,0.5932988524,-0.6922847033,1
143,225,0.8692854047,-0.2830238342,1
143,257,0.3928053081,0.1220856011,1
143,289,0.3324309587,-0.2251242101,1
143,321,0.2133610249,-0.3572448194,1
143,353,0.05274325609,-0.5519043803,1
143,385,0.2440361381,-0.1743674427,1
143,417,0.4208463728,0.1658144593,1
143,449,0.4307171106,-0.3229440451,1
143,481,0.8817915916,-0.554264605,1
143,513,6.24054575,-3.074190855,1
143,545,6.978898525,-3.393743515,1
143,577,2.825477362,-0.7012959719,1
143,609,7.643973351,1.519789696,1
143,641,1.583608866,-0.5098397732,1
143,673,0.2900575995,-0.4069871008,1
143,705,-0.2724881768,-0.3238222599,1
143,737,3.089342594,-0.8038011193,1
143,769,8.925028801,-0.8283774853,1
143,801,9.793674469,-1.733690143,1
143,833,7.464737892,-1.43483758,1
143,865,7.169234276,-1.404341817,1
143,897,7.425992012,-1.795902014,1
143,929,8.245997429,-2.934732437,1
143,961,7.264909744,-20.89218903,1
143,993,15.57785606,-1.130729437,1
143,1025,11.93029976,-1.151738048,1
143,1057,11.083992,-1.293181777,1
143,1089,10.11016464,-1.184303045,1
