 ,Area,X,Y,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,626.046,31.616,180.448,32.353,222,1791,56.470,25.607
2,944.588,144.799,93.295,51.304,1155,1056,58.995,30.467
3,689.405,172.537,90.721,39.907,1449,984,45.990,26.183
4,1176.087,176.218,61.675,53.673,1393,649,20.556,32.433
5,463.502,160.271,116.658,29.616,1354,1143,24.409,20.619
6,1048.138,194.869,105.818,57.017,1492,974,6.545,29.172
7,974.303,150.293,157.151,50.506,1314,1198,94.304,28.807
8,398.219,132.477,152.240,34.680,1246,1250,91.969,18.757
9,1239.059,129.867,67.738,55.413,1171,955,80.777,38.247
10,625.565,169.726,147.918,49.541,1368,1211,143.356,19.799
11,662.166,180.537,174.123,40.736,1511,1448,116.361,26.672
12,802.855,163.457,191.303,40.514,1345,1664,134.892,28.205
13,629.776,136.801,195.261,37.725,1256,1991,76.722,24.387
14,271.865,131.453,173.626,25.392,1154,1503,140.539,16.947
15,310.495,123.498,133.476,26.809,1065,1116,102.127,17.830
16,544.269,114.467,164.336,38.024,1047,1692,79.330,27.120
17,424.989,109.344,138.753,34.389,989,1418,76.708,20.883
18,298.013,102.474,177.832,23.603,901,1533,129.974,17.029
19,329.581,95.240,153.392,25.826,805,1310,115.060,20.712
20,367.590,136.933,117.994,25.986,1154,1120,24.108,20.122
21,459.865,90.314,101.213,35.440,837,787,96.669,18.786
22,693.745,114.073,93.255,50.243,982,686,111.366,22.209
23,589.492,75.092,117.822,37.120,530,1052,163.733,22.194
24,176.891,93.641,136.377,17.093,804,1309,42.689,14.541
25,483.773,72.941,136.898,35.522,559,1360,32.042,22.739
26,272.311,114.737,190.828,23.916,1015,1860,57.389,15.036
27,734.980,80.107,172.717,37.355,640,1437,104.439,30.343
28,227.991,79.796,150.658,25.239,641,1436,48.305,16.271
29,509.804,51.600,133.728,31.193,403,1124,122.090,22.278
30,611.277,56.542,165.461,40.844,436,1684,54.498,21.904
31,1488.670,49.144,100.149,57.891,219,961,177.534,41.575
32,414.865,30.738,124.871,29.563,243,1046,118.443,20.488
33,302.178,26.274,141.187,24.296,140,1339,16.577,18.009
34,259.477,10.967,136.658,22.412,46,1352,57.232,16.528
35,846.717,92.643,201.710,39.639,850,1672,95.960,30.652
36,1046.894,204.206,71.675,48.067,1744,847,56.954,27.721
37,452.228,40.713,153.045,38.144,194,1383,1.790,24.405
38,1308.553,189.582,134.560,58.853,1424,1176,171.214,41.291
39,1662.535,202.600,195.616,58.125,1618,1938,42.130,46.264
40,635.736,118.822,210.745,39.520,897,2036,5.820,28.377
41,767.592,67.017,200.230,49.409,590,2043,88.367,25.998
42,772.507,15.198,163.909,40.008,47,1353,150.659,35.661
43,467.197,103.277,114.265,37.044,922,861,90.670,21.017
44,346.697,48.269,191.430,33.686,266,1811,28.625,17.082
45,695.212,208.914,156.797,38.086,1740,1488,29.846,28.337
