 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,3258.132,118.214,131.191,127.086,397.426,125.725,32.996,166.959,0.259,100,3.810,0.262,0.524
2,2627.124,118.313,127.654,126.011,363.017,121.428,27.547,167.546,0.251,100,4.408,0.227,0.509
3,2080.063,118.480,126.566,125.418,345.386,113.790,23.275,167.734,0.219,100,4.889,0.205,0.463
4,1720.274,118.660,127.464,125.669,318.091,105.047,20.851,167.375,0.214,100,5.038,0.198,0.470
5,1550.176,118.759,126.094,125.578,298.848,100.028,19.732,167.206,0.218,100,5.069,0.197,0.472
6,1379.431,118.833,125.860,126.092,282.899,93.521,18.780,166.633,0.217,100,4.980,0.201,0.477
7,1268.633,118.903,125.526,125.830,270.075,90.177,17.912,166.440,0.219,100,5.034,0.199,0.480
8,1197.707,118.999,125.119,125.765,261.552,86.321,17.666,166.068,0.220,100,4.886,0.205,0.483
9,1136.542,119.180,125.802,125.795,253.752,84.405,17.145,166.251,0.222,100,4.923,0.203,0.476
10,1136.636,119.153,125.173,125.577,251.303,83.242,17.386,165.942,0.226,100,4.788,0.209,0.484
11,1063.775,119.294,124.682,125.255,231.627,80.901,16.742,165.301,0.249,100,4.832,0.207,0.532
12,1049.146,119.331,123.507,124.896,226.034,81.019,16.488,164.879,0.258,100,4.914,0.204,0.554
13,912.621,119.553,123.472,124.823,208.756,78.789,14.748,165.258,0.263,100,5.342,0.187,0.573
14,856.325,119.562,121.750,124.019,203.230,78.872,13.824,165.666,0.261,100,5.705,0.175,0.574
15,826.903,119.436,121.086,123.740,199.278,77.486,13.587,165.226,0.262,100,5.703,0.175,0.577
