 ,Area,X,Y,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,682.753,98.832,65.531,31.277,774,642,6.362,27.902
2,654.716,119.165,83.642,38.508,1061,611,98.085,26.393
3,278.833,103.105,92.607,23.819,884,951,73.625,17.890
4,386.441,133.298,99.886,27.922,1175,1043,65.722,17.831
5,281.801,68.112,101.787,25.648,574,852,119.055,15.951
6,847.843,50.031,111.428,43.679,286,1049,177.868,28.146
7,464.429,87.474,132.284,31.535,699,1286,25.861,20.465
8,477.333,107.158,138.787,33.341,883,1381,39.067,20.216
9,253.694,121.716,144.918,29.417,1129,1183,93.800,13.757
10,455.924,82.658,152.426,27.220,702,1292,113.199,23.995
11,734.205,83.562,183.332,34.781,607,1739,13.690,27.267
12,196.564,47.039,180.302,20.969,363,1727,53.189,14.189
13,703.552,134.626,147.269,42.883,1125,1172,112.419,27.027
14,891.048,155.222,168.003,42.076,1376,1344,112.075,30.247
15,1179.172,167.661,146.023,73.461,1210,1141,136.135,33.805
16,1539.465,180.615,122.251,83.843,1210,1125,7.198,31.022
17,959.639,156.130,82.712,58.264,1260,1012,60.242,25.934
18,278.610,142.921,113.129,28.875,1204,1118,39.063,13.554
19,631.994,170.793,101.502,45.493,1402,1079,37.552,21.219
20,462.000,181.060,77.737,37.163,1543,837,51.627,19.984
21,271.841,181.712,58.689,29.016,1538,552,10.974,12.153
22,712.374,176.965,42.352,40.183,1492,560,53.439,26.926
23,1628.538,142.217,54.758,60.751,1230,798,62.384,38.097
24,540.175,85.991,93.722,35.681,709,999,50.172,22.913
25,1202.587,56.965,144.486,59.433,441,1568,63.482,28.582
26,539.178,38.161,134.183,40.613,257,1392,40.999,22.938
27,587.451,31.273,168.672,34.781,276,1409,104.426,28.208
28,736.082,20.187,191.739,37.448,48,1865,25.527,26.938
29,632.979,64.623,172.228,39.344,489,1740,64.916,24.444
30,712.480,105.705,163.784,37.938,799,1524,11.695,30.231
31,987.758,132.700,186.944,47.879,1128,1528,119.697,30.222
32,521.594,109.356,188.169,40.747,852,1813,45.646,26.588
33,647.584,101.111,209.972,40.304,759,2034,25.808,24.498
34,930.863,68.288,206.218,44.397,485,2040,31.635,32.742
35,803.617,38.706,206.106,40.261,218,2020,47.944,33.089
36,807.641,15.603,134.118,43.426,6,1351,45.505,32.435
37,1082.591,15.134,103.577,49.931,0,1169,36.621,40.075
38,549.079,158.222,198.459,31.102,1377,1943,57.804,24.002
39,782.467,179.553,191.089,42.940,1586,1559,92.747,28.667
40,609.611,195.457,166.756,34.494,1767,1365,117.692,24.786
41,564.153,209.214,157.642,46.122,1760,1294,124.959,21.399
42,747.884,204.618,98.125,49.029,1665,1005,32.918,26.959
43,966.689,206.036,71.012,47.952,1732,820,46.098,32.696
44,477.039,208.406,45.800,37.988,1799,522,45.462,24.302
45,884.972,205.246,24.110,40.826,1774,351,44.033,28.969
