 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,4272.825,126.148,107,266,118.388,115.481,328.973,121.289,44.854,169.277,0.496,100,2.704,0.370,0.799
2,3031.221,127.096,107,266,120.205,115.698,294.812,103.821,37.174,168.235,0.438,100,2.793,0.358,0.764
3,2434.678,127.974,107,266,118.980,115.977,262.230,96.554,32.106,170.217,0.445,100,3.007,0.333,0.776
4,1920.029,129.145,107,266,116.515,115.336,227.654,86.655,28.211,172.903,0.466,100,3.072,0.326,0.798
5,1632.140,129.756,107,266,116.166,115.507,218.871,80.948,25.672,172.733,0.428,100,3.153,0.317,0.787
6,1354.925,129.863,107,232,115.669,115.311,202.141,73.069,23.610,173.098,0.417,100,3.095,0.323,0.739
7,1224.184,129.571,109,207,114.610,115.411,192.596,69.183,22.530,173.954,0.415,100,3.071,0.326,0.737
8,1156.461,129.780,109,207,113.856,115.317,183.841,64.794,22.725,173.741,0.430,100,2.851,0.351,0.738
9,1194.962,130.036,109,207,112.884,115.346,186.476,66.661,22.824,174.815,0.432,100,2.921,0.342,0.752
10,1132.870,129.974,109,207,111.643,115.381,178.824,64.739,22.280,175.058,0.445,100,2.906,0.344,0.753
11,1093.665,130.157,109,207,111.201,115.279,174.147,62.292,22.354,174.070,0.453,100,2.787,0.359,0.756
12,1097.619,130.111,109,207,111.289,115.199,173.527,62.352,22.414,173.952,0.458,100,2.782,0.359,0.763
13,1037.521,129.518,109,207,110.355,114.639,168.551,61.514,21.475,175.456,0.459,100,2.864,0.349,0.767
14,1032.664,128.965,109,207,109.313,114.612,161.542,62.247,21.123,173.877,0.497,100,2.947,0.339,0.794
15,1016.089,128.859,109,207,108.457,114.268,158.586,62.052,20.849,173.964,0.508,100,2.976,0.336,0.795
