, ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity,Time,Samplename,filename,Skew,Min,Max
0,1,5619.21,117.354,113.706,103.865,398.599,149.381,47.895,31.249,0.444,100,3.119,0.321,0.77,0.333333333,Control,01022024_Pos014_Control,,,
1,2,4263.792,116.919,121.067,102.461,332.513,126.806,42.812,29.44,0.485,100,2.962,0.338,0.821,0.666666667,Control,01022024_Pos014_Control,,,
2,3,3630.391,116.916,123.616,105.656,279.601,118.962,38.856,31.241,0.584,100,3.062,0.327,0.936,1,Control,01022024_Pos014_Control,,,
3,4,2588.084,116.789,122.323,107.915,260.784,104.19,31.627,30.495,0.478,100,3.294,0.304,0.859,1.333333333,Control,01022024_Pos014_Control,,,
4,5,2318.014,116.767,122.639,106.414,250.934,100.755,29.293,31.754,0.463,100,3.44,0.291,0.87,1.666666667,Control,01022024_Pos014_Control,,,
5,6,2014.264,116.8,119.516,107.35,225.891,93.383,27.464,32.804,0.496,100,3.4,0.294,0.874,2,Control,01022024_Pos014_Control,,,
6,7,1778.296,116.766,119.041,106.617,213.744,89.045,25.427,31.402,0.489,100,3.502,0.286,0.885,2.333333333,Control,01022024_Pos014_Control,,,
7,8,1696.332,116.736,118.588,106.583,207.035,86.45,24.984,30.983,0.497,100,3.46,0.289,0.891,2.666666667,Control,01022024_Pos014_Control,,,
8,9,1550.176,116.522,119.47,105.131,201.726,84.394,23.387,29.695,0.479,100,3.609,0.277,0.881,3,Control,01022024_Pos014_Control,,,
9,10,1263.987,116.12,121.713,102.244,171.674,73.299,21.956,25.08,0.539,100,3.338,0.3,0.951,3.333333333,Control,01022024_Pos014_Control,,,
10,11,1288.587,116.141,122.752,100.793,164.19,70.004,23.437,27.909,0.601,100,2.987,0.335,0.952,3.666666667,Control,01022024_Pos014_Control,,,
11,12,1225.345,116.071,122.194,100.719,159.729,67.712,23.041,28.621,0.604,100,2.939,0.34,0.951,4,Control,01022024_Pos014_Control,,,
12,13,1128.635,115.991,121.088,100.559,155.023,66.555,21.591,29.858,0.59,100,3.082,0.324,0.937,4.333333333,Control,01022024_Pos014_Control,,,
13,14,885.171,115.881,121.607,100.531,140.961,62.132,18.139,25.607,0.56,100,3.425,0.292,0.902,4.666666667,Control,01022024_Pos014_Control,,,
