 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,529.962,287.891,347.485,28.125,91.013,30.343,22.238,10.268,31.755,273,24,173.418,23.053
2,596.207,287.891,304.188,38.474,95.866,31.175,24.350,115.834,33.139,244,20,113.749,25.479
3,587.374,287.891,383.215,39.068,98.120,30.286,24.694,60.875,33.733,308,42,52.306,26.085
4,578.542,287.891,239.823,39.846,96.699,32.836,22.433,28.110,34.997,186,41,33.690,23.788
5,518.185,287.891,326.077,46.988,97.288,33.296,19.816,91.586,34.167,267,24,96.116,20.591
6,379.806,287.891,264.177,45.283,77.286,25.968,18.623,53.914,26.248,209,44,33.690,18.449
7,858.244,287.891,204.209,50.989,117.828,38.494,28.388,12.837,41.837,152,50,29.539,27.906
8,469.605,287.891,283.547,50.607,87.997,26.161,22.855,38.709,28.325,222,48,9.866,23.788
9,712.504,287.891,356.482,52.200,107.827,34.794,26.073,6.645,36.981,280,51,41.009,27.906
10,722.809,287.891,414.720,63.494,107.288,33.466,27.500,136.863,36.901,328,45,152.592,28.809
11,600.623,287.891,238.367,64.995,93.267,29.766,25.692,28.404,31.848,187,63,49.635,25.479
12,538.795,287.891,387.612,65.253,94.567,29.474,23.275,170.935,31.848,306,54,162.255,24.266
13,549.099,287.891,305.456,76.801,100.719,36.394,19.210,63.673,36.419,244,76,60.018,21.546
14,432.802,287.891,262.788,73.240,80.423,25.379,21.713,50.449,26.940,209,69,54.162,23.053
15,422.497,287.891,187.879,74.153,77.997,23.831,22.573,76.253,24.747,150,71,78.690,21.840
16,474.021,287.891,213.542,75.787,87.581,28.409,21.245,67.963,31.100,173,75,69.444,23.081
17,282.646,287.891,287.921,70.410,66.991,21.426,16.796,35.854,23.307,230,63,38.660,17.895
18,697.783,287.891,454.668,76.730,106.161,36.137,24.585,152.957,38.368,359,59,161.565,26.596
19,419.553,287.891,326.697,81.226,81.845,28.898,18.486,80.142,29.321,264,77,65.556,19.413
20,491.687,287.891,351.060,77.485,84.982,27.819,22.504,35.207,30.333,281,74,36.870,23.053
21,721.337,287.891,436.058,91.070,114.030,40.170,22.863,126.065,40.768,344,67,143.471,23.413
22,677.174,287.891,370.407,95.340,109.837,40.462,21.309,86.956,40.496,303,62,98.616,21.840
23,752.251,287.891,395.402,94.490,113.096,38.509,24.872,85.134,39.128,317,92,60.255,24.266
24,569.709,287.891,233.443,94.031,95.572,27.914,25.986,36.262,31.546,179,79,22.620,27.832
25,453.412,287.891,416.397,98.987,88.708,33.528,17.219,96.946,33.117,340,95,81.573,17.686
26,344.475,287.891,280.217,94.223,72.849,22.218,19.741,52.157,23.930,225,87,59.534,20.626
27,354.780,287.891,168.451,95.446,74.149,23.827,18.958,116.510,25.335,133,70,106.699,19.143
28,447.523,287.891,192.844,95.317,82.017,27.036,21.076,9.952,28.325,148,74,170.134,22.365
29,381.278,287.891,257.552,99.109,76.697,25.202,19.262,77.406,26.248,205,90,56.310,19.413
30,588.847,287.891,468.416,102.252,93.856,29.641,25.294,97.103,30.933,386,97,78.690,25.479
31,730.170,287.891,492.833,104.437,105.989,37.600,24.725,94.593,38.368,400,73,108.435,24.266
32,338.587,287.891,154.328,107.272,75.154,28.116,15.333,109.985,28.558,123,77,102.265,15.736
