 ,Area,Mean,X,Y,Major,Minor,Angle
1,225.234,16.471,243.800,4.905,26.086,10.994,2.301
2,538.795,15.807,278.739,8.082,38.777,17.691,1.435
3,285.591,18.406,314.666,6.073,29.266,12.425,6.163
4,201.680,11.940,353.724,4.468,25.637,10.016,173.774
5,503.464,14.023,378.712,11.814,31.350,20.448,172.138
6,515.241,19.355,337.258,15.059,33.267,19.720,173.148
7,488.743,14.326,220.285,15.119,31.570,19.711,13.282
8,777.277,19.918,251.748,22.812,40.071,24.698,6.280
9,814.080,10.554,418.856,23.289,47.873,21.651,157.851
10,855.300,18.342,303.255,25.746,39.898,27.295,155.087
11,468.133,15.585,190.634,28.547,37.969,15.698,26.512
12,493.159,17.117,358.909,27.901,29.108,21.572,24.015
13,747.835,15.292,391.521,34.500,36.258,26.261,158.135
14,315.033,24.385,329.997,31.563,22.008,18.226,167.862
15,554.988,16.941,217.296,35.783,33.868,20.864,20.263
16,905.352,18.547,282.503,42.297,38.974,29.577,148.974
17,716.921,19.082,161.832,55.260,40.478,22.551,72.194
18,1348.459,16.333,246.804,54.060,43.857,39.148,31.758
19,625.649,9.199,423.549,46.798,36.342,21.919,175.651
20,736.058,18.871,186.864,51.971,39.635,23.645,42.749
21,630.066,18.256,366.972,48.478,37.384,21.459,165.471
22,434.274,21.944,340.662,53.277,26.478,20.883,143.456
23,719.865,20.321,311.526,57.516,37.778,24.262,38.917
24,705.144,21.915,214.524,61.520,31.286,28.697,45.317
25,1015.760,12.145,399.330,64.821,42.667,30.312,179.110
26,403.360,17.291,139.716,68.716,29.180,17.600,46.065
27,509.352,8.637,434.887,70.249,26.893,24.115,52.501
28,643.315,23.947,363.444,72.270,32.589,25.134,163.216
29,852.355,22.387,277.239,75.677,38.198,28.411,60.871
30,612.400,21.518,188.191,76.584,32.293,24.146,20.989
31,705.144,26.799,332.397,78.010,31.524,28.480,1.673
32,759.612,7.721,457.911,86.241,42.145,22.948,105.659
33,883.270,27.644,247.602,89.378,41.114,27.354,51.824
34,513.769,25.391,159.505,87.575,30.922,21.155,65.132
35,1012.816,22.892,217.986,95.014,46.852,27.524,69.436
36,552.044,30.300,301.313,87.337,28.581,24.593,29.664
37,635.954,10.599,415.199,89.465,29.454,27.491,126.514
38,479.910,18.563,136.490,92.565,35.962,16.991,55.338
