 ,Area,Mean,X,Y,Major,Minor,Angle
1,172.238,15.883,260.877,4.112,23.204,9.451,176.463
2,658.036,13.060,283.136,16.106,35.864,23.362,98.563
3,786.110,11.620,309.053,14.782,31.948,31.329,91.246
4,920.073,11.210,337.460,17.222,41.514,28.219,67.488
5,231.122,10.688,376.338,4.602,30.797,9.555,172.132
6,875.909,10.046,427.057,16.219,43.628,25.563,147.979
7,343.003,14.389,238.681,8.449,26.849,16.266,164.331
8,359.196,11.957,222.269,17.668,25.229,18.127,96.723
9,671.285,13.791,362.665,20.507,32.229,26.520,43.859
10,766.973,13.267,262.607,26.724,40.997,23.820,122.379
11,853.828,10.471,398.750,24.990,39.207,27.728,122.454
12,284.118,11.605,183.508,26.338,36.478,9.917,38.089
13,815.552,12.248,205.349,35.074,41.788,24.849,83.647
14,980.430,14.250,239.716,39.132,39.054,31.964,150.604
15,827.329,11.132,457.514,39.588,37.396,28.168,132.069
16,456.356,14.679,380.012,36.368,26.581,21.860,150.870
17,344.475,14.014,185.294,41.579,23.373,18.765,59.591
18,996.623,16.471,312.809,45.146,41.656,30.462,165.766
19,903.879,11.099,427.331,47.359,39.935,28.818,144.727
20,1084.950,15.917,357.648,50.897,49.034,28.172,160.937
21,264.981,18.503,285.761,44.812,20.645,16.343,78.862
22,353.308,15.980,164.065,49.837,24.028,18.721,37.667
23,662.452,14.449,215.961,61.286,33.639,25.074,21.156
24,216.401,23.585,267.221,54.091,18.289,15.066,157.233
25,580.014,16.824,396.798,59.575,29.099,25.378,16.716
26,531.434,12.285,475.632,64.270,30.585,22.123,84.371
27,1012.816,13.307,184.647,72.038,40.300,31.999,97.161
28,675.701,13.178,452.771,70.283,33.586,25.615,121.259
29,192.847,10.865,494.108,65.403,26.808,9.159,113.434
30,662.452,17.745,248.127,66.937,35.041,24.071,4.254
31,478.438,15.616,421.173,70.598,31.203,19.523,128.307
32,694.839,12.694,154.869,71.588,30.026,29.464,22.083
33,812.608,16.607,298.210,72.678,40.429,25.591,127.484
34,1245.410,17.662,333.244,75.895,42.622,37.204,26.136
35,911.240,16.742,273.048,81.528,34.550,33.581,147.043
36,925.961,17.110,384.917,82.579,42.812,27.538,130.153
37,899.463,18.024,360.487,93.658,35.856,31.940,116.731
38,1121.753,12.762,443.095,99.455,46.498,30.717,119.251
39,1173.277,19.180,226.844,89.405,46.285,32.276,159.631
40,865.604,10.244,487.612,94.607,43.474,25.351,99.084
41,353.308,23.064,466.492,93.966,25.124,17.905,94.745
42,774.333,13.862,142.529,100.144,35.780,27.555,49.774
43,315.033,17.253,506.363,97.518,26.446,15.167,99.044
44,625.649,17.274,170.855,100.926,31.111,25.605,25.807
45,618.289,18.064,201.184,103.042,28.736,27.396,175.231
46,1257.187,20.421,313.696,110.020,45.392,35.264,111.603
47,808.192,19.890,258.007,107.992,32.268,31.890,55.110
48,952.459,17.386,408.466,115.616,43.745,27.722,116.592
49,644.787,19.775,287.560,114.101,34.551,23.761,115.364
50,1030.481,22.610,345.406,122.321,39.136,33.525,103.460
51,363.613,11.977,113.980,114.717,28.034,16.514,51.183
52,1227.745,20.131,383.728,127.610,49.284,31.718,130.749
53,344.475,21.198,474.092,117.250,24.465,17.928,152.073
54,619.761,17.641,535.010,130.350,48.719,16.197,123.440
55,1104.087,19.164,231.404,126.305,42.813,32.835,162.594
56,830.274,16.524,431.755,133.645,41.082,25.733,82.689
57,836.162,17.941,161.199,126.528,39.047,27.265,33.362
58,849.411,15.561,502.338,133.585,49.494,21.851,106.241
59,1055.507,13.277,526.037,148.227,57.792,23.254,113.356
60,846.467,20.795,195.618,130.302,38.055,28.321,146.385
61,677.174,15.151,130.169,128.896,31.310,27.538,19.657
62,1133.530,13.194,459.346,142.638,49.430,29.198,101.546
63,683.062,23.164,289.008,142.260,35.984,24.169,22.262
64,918.601,19.903,486.402,150.765,44.680,26.177,106.716
65,892.103,23.528,255.734,149.231,38.110,29.805,50.270
66,678.646,17.435,111.973,148.799,31.752,27.213,100.089
67,953.931,19.416,178.266,152.341,39.361,30.857,166.561
68,1012.816,25.101,315.649,150.879,46.558,27.698,43.287
69,1101.143,23.870,371.082,155.798,46.588,30.094,142.892
70,761.084,16.894,142.245,154.640,35.929,26.971,13.182
71,1170.333,19.316,220.029,160.267,41.699,35.735,159.661
72,1037.842,17.818,406.977,163.047,42.113,31.378,64.038
73,906.824,24.442,333.997,165.658,49.466,23.341,52.292
74,282.646,15.859,92.066,159.670,22.722,15.838,59.626
75,956.876,12.566,552.951,176.389,49.467,24.629,91.117
76,1208.608,17.257,440.433,172.759,43.586,35.306,116.039
77,815.552,22.360,277.339,169.765,38.497,26.973,18.908
78,607.984,19.973,353.521,178.587,31.571,24.520,32.198
79,993.679,14.555,526.582,189.554,46.313,27.318,102.203
80,610.928,17.435,104.311,176.770,32.559,23.891,32.078
81,808.192,20.486,164.984,180.662,35.470,29.011,89.940
82,743.419,19.861,134.140,179.422,34.210,27.669,176.732
83,945.099,21.933,192.432,184.066,41.451,29.030,53.294
84,1023.121,17.855,472.903,186.878,40.731,31.982,91.661
85,1073.173,15.800,501.929,190.320,49.718,27.483,86.320
86,761.084,25.603,245.028,183.246,35.421,27.358,37.993
87,301.784,16.655,79.744,182.443,24.506,15.680,57.007
88,847.939,25.182,298.752,187.087,37.614,28.703,33.007
89,519.657,11.847,573.900,195.881,41.776,15.838,111.352
90,1263.076,20.310,379.979,195.941,44.097,36.469,42.428
91,761.084,21.327,417.335,195.123,31.847,30.428,161.171
92,868.549,25.163,208.769,201.623,52.302,21.144,45.404
93,633.010,15.995,85.981,203.861,34.782,23.172,60.804
94,878.854,18.505,113.891,203.540,38.512,29.056,39.834
95,1187.998,23.940,267.337,205.382,46.260,32.698,3.777
96,753.724,23.985,322.470,202.260,33.553,28.601,32.913
97,990.734,18.961,144.644,210.884,42.789,29.481,60.632
98,468.133,20.961,347.781,204.271,25.726,23.169,160.945
99,347.419,13.807,65.364,208.391,29.784,14.852,69.958
100,1112.920,18.676,447.154,212.883,40.217,35.234,141.275
101,359.196,21.348,545.183,211.653,25.370,18.027,102.090
