PIVlab, ASCII chart output - 25-Jul-2025
FRAME: 12, filenames: A:[12]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi & B:[13]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,21,-1.429198742,-3.028680563,1
21,37,-2.564804554,-2.452828169,1
21,53,-3.572807312,-2.316154957,1
21,69,-3.332098246,-1.667833805,1
21,85,-3.053480625,-1.654108047,1
21,101,-2.976530075,-1.766475558,1
21,117,-2.666284561,-1.714888334,1
21,133,-2.734360695,-1.810054541,1
21,149,-2.429749012,-2.075243711,1
21,165,-2.03744173,-2.069768429,1
21,181,-2.135187864,-2.192113876,1
21,197,-2.124273539,-2.579829693,1
21,213,-1.860367417,-3.196781635,1
21,229,-2.105000496,-3.990880013,1
21,245,-1.2647506,-4.290818214,1
21,261,-0.8490136862,-4.21293211,1
21,277,-1.653351188,-3.485748291,1
21,293,-1.641312003,-2.97711587,1
21,309,-0.5584820509,-2.794631004,1
21,325,0.1313267946,-2.795340538,1
21,341,-0.7160019875,-2.235057354,1
21,357,-2.116185188,-2.095007896,1
21,373,-3.511936188,-3.004328728,1
21,389,-3.167325974,-3.758812904,1
21,405,-3.07798481,-3.908513784,1
21,421,-3.072265387,-3.569893599,1
21,437,-3.094048977,-2.922542572,1
21,453,-3.2278018,-2.473158836,1
21,469,-3.387465954,-2.251226425,1
21,485,-2.991551638,-1.997787476,1
21,501,-2.990899563,-1.574316859,1
21,517,-2.880616665,-0.9625816345,1
21,533,-2.588788509,-0.5533300638,1
21,549,-1.954456806,-1.704397917,1
21,565,-1.119321227,-2.564898491,1
21,581,-1.908893943,-3.304552078,1
21,597,-2.663816929,-3.041636944,1
21,613,-3.585724354,-1.652010083,1
21,629,-4.603829384,-3.382335186,1
21,645,-4.800633907,-3.294195414,1
21,661,-3.076559067,-3.015838146,1
21,677,-1.771442413,-2.723809242,1
21,693,-1.295637727,-1.048947096,1
21,709,-2.27375555,-0.8797152042,1
21,725,-2.500366211,-1.004637957,1
21,741,-1.459457874,-1.672190905,1
21,757,-0.9502938986,-1.526344657,1
21,773,-1.514558434,-0.3428417444,1
21,789,-2.160362482,-0.1762152314,1
21,805,-2.514523745,-0.8464502096,1
21,821,-2.835268021,-1.505619764,1
21,837,-2.508169889,-2.155501127,1
21,853,-2.011301279,-2.746266842,1
21,869,-4.483959198,-2.313391447,1
21,885,-3.920540571,-1.433095217,1
21,901,-1.313328028,-1.34640801,1
21,917,-1.672982216,-0.228820622,1
21,933,-1.209429264,0.4040707946,1
21,949,-0.9622529149,0.05344855785,1
21,965,-0.5760114193,-0.4607731104,1
21,981,-0.2717854977,-1.052759171,1
21,997,-0.5496287346,-1.671168804,1
21,1013,-1.012055635,-1.513709903,1
21,1029,-1.10688138,-1.250569701,1
21,1045,-0.8237783909,-1.371924162,1
21,1061,-0.08568149805,-0.9416925907,1
21,1077,0.2614939809,-1.222438693,1
21,1093,0.4785601497,-1.660641551,1
21,1109,0.9895163774,-2.572179317,1
21,1125,1.005041599,-3.01766777,1
21,1141,0.353367269,-2.625137329,1
21,1157,0.7042239904,-1.56618619,1
21,1173,0.9776855707,-1.437958121,1
21,1189,0.6905119419,-2.402201653,1
21,1205,1.239237547,-2.880472422,1
21,1221,0.08850726485,-3.367637634,1
21,1237,0.1341446191,-3.524116039,1
21,1253,1.153026104,-3.007237434,1
21,1269,2.093654156,-2.291775703,1
21,1285,2.239024401,-1.855780959,1
21,1301,1.40658927,-2.185157061,1
21,1317,0.5411076546,-2.546550035,1
21,1333,0.5980956554,-2.835086346,1
21,1349,0.6534981728,-2.977870941,1
21,1365,0.8119303584,-2.298428297,1
21,1381,0.51648283,-0.8967491388,1
21,1397,0.4776442647,-1.680569172,1
21,1413,0.4307735562,-2.411839724,1
21,1429,0.08046774566,-3.769242525,1
21,1445,0.2184568048,-2.787271023,1
21,1461,0.09809745848,-0.6982808113,1
21,1477,-0.4076212943,-0.1306590438,1
21,1493,-0.2336219251,-0.3333284855,1
21,1509,-0.1443977952,-0.5227992535,1
21,1525,0.2351261079,-2.432363033,1
37,21,-2.20276022,-2.907276869,1
37,37,-1.701541185,-1.642070293,1
37,53,-1.707053661,-1.310873389,1
37,69,-1.990300179,-1.46539104,1
37,85,-1.710243821,-1.777628422,1
37,101,-1.326756597,-1.784747005,1
37,117,-1.094139695,-1.590735555,1
37,133,-1.307658076,-1.340432048,1
37,149,-1.585210204,-1.285133958,1
37,165,-1.840277433,-1.57656765,1
37,181,-2.248863935,-2.24302125,1
37,197,-2.429673195,-2.635555744,1
37,213,-1.920434237,-2.646326065,1
37,229,-1.919717669,-2.801457644,1
37,245,-0.8978226185,-2.940464497,1
37,261,-0.5387656689,-2.669371605,1
37,277,-1.328117609,-2.673265934,1
37,293,-1.860827088,-2.580324888,1
37,309,-1.677838206,-2.396829605,1
37,325,-1.490563393,-2.208912611,1
37,341,-1.38318181,-1.854823112,1
37,357,-1.834850788,-1.992553711,1
37,373,-2.644133568,-2.753783941,1
37,389,-2.646043301,-3.624812841,1
37,405,-2.448843479,-3.900605202,1
37,421,-2.288491249,-3.119964361,1
37,437,-2.056682825,-2.580978632,1
37,453,-2.038857222,-2.142034054,1
37,469,-2.083876133,-1.552764416,1
37,485,-2.002599239,-1.243939281,1
37,501,-2.398894787,-1.176043749,1
37,517,-2.63551569,-1.255131245,1
37,533,-2.433350563,-1.391487241,1
37,549,-2.15060544,-2.0073421,1
37,565,-1.965579987,-2.243638277,1
37,581,-1.161242008,-4.055001736,1
37,597,-1.690894008,-4.512542725,1
37,613,-2.09972024,-3.618419886,1
37,629,-5.172638416,-3.912801266,1
37,645,-5.860282421,-3.439741373,1
37,661,-3.748031139,-2.785155296,1
37,677,-1.165433884,-2.811839104,1
37,693,-1.222759008,-1.575191855,1
37,709,-1.831796408,-1.048856497,1
37,725,-2.615423203,-0.7468879223,1
37,741,-2.330593586,-1.692696691,1
37,757,-1.749286532,-1.743590236,1
37,773,-1.577472091,-1.240440845,1
37,789,-1.830547452,-1.0504601,1
37,805,-2.24463129,-1.355765104,1
37,821,-3.171419382,-1.589707971,1
37,837,-3.58323288,-1.803555846,1
37,853,-2.077846766,-3.596124649,1
37,869,-1.149422288,-1.955500364,1
37,885,-0.9517096281,-1.45024085,1
37,901,-0.7840694785,-1.177491903,1
37,917,-0.7119787335,-0.7103921175,1
37,933,-0.9219122529,-0.2847744226,1
37,949,-1.631811619,-0.9841902256,1
37,965,-1.857325554,-1.171051264,1
37,981,-1.393447399,-1.657681704,1
37,997,-1.921473622,-2.028260231,1
37,1013,-1.553158998,-1.861730099,1
37,1029,-0.8858596087,-1.34748733,1
37,1045,-0.6650406718,-1.285194874,1
37,1061,-0.289581418,-0.909421742,1
37,1077,0.2238435447,-0.9893214703,1
37,1093,0.3762054741,-1.579285741,1
37,1109,0.6856564283,-2.029954672,1
37,1125,0.8549388647,-2.314004421,1
37,1141,0.4443320036,-4.001579285,1
37,1157,1.036719084,-4.258088112,1
37,1173,1.171824932,-1.710576773,1
37,1189,0.7247164249,-1.696496964,1
37,1205,0.9733972549,-1.553743839,1
37,1221,0.6188086271,-1.390925884,1
37,1237,0.4202513099,-2.25114584,1
37,1253,0.6078478098,-2.499119043,1
37,1269,1.07688272,-2.156279564,1
37,1285,1.291516185,-1.807670355,1
37,1301,1.140108585,-2.099554062,1
37,1317,0.6925207376,-2.516363144,1
37,1333,0.690862,-2.631090879,1
37,1349,0.7929155827,-2.618595839,1
37,1365,0.6826318502,-2.898760557,1
37,1381,0.3553315401,-2.337239981,1
37,1397,0.6850972176,-2.739295721,1
37,1413,0.6400458813,-2.760882378,1
37,1429,0.04548999667,-2.04881072,1
37,1445,0.04822088405,-1.480655074,1
37,1461,-0.225493744,-0.886860013,1
37,1477,-0.1496979892,-0.6874185205,1
37,1493,0.1608296782,-1.142741323,1
37,1509,0.06666783988,-0.7556552887,1
