PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 39, filenames: A:[39]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[40]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,NaN,NaN,2
21,36,NaN,NaN,2
21,52,-0.03379177675,-0.2188150287,1
21,68,-0.7651473284,0.2642742097,1
21,84,-0.4235187769,0.1993093044,1
21,100,-0.5626243353,0.1721786261,1
21,116,NaN,NaN,2
21,132,NaN,NaN,2
21,148,-0.3922957778,0.6517769098,1
21,164,-0.06670659781,0.4018986225,1
21,180,-0.6618248224,0.2935885191,1
21,196,NaN,NaN,2
21,212,-3.883293629,-2.369671583,1
21,228,-3.923769951,-2.892007351,1
21,244,-2.229130268,-3.206064701,1
21,260,-1.203483343,-3.509399891,1
21,276,1.278469682,-2.889744759,1
21,292,2.437243223,-2.154631615,1
21,308,NaN,NaN,2
21,324,3.492924213,-2.971752644,1
21,340,4.478843212,-2.239068508,1
21,356,NaN,NaN,2
21,372,NaN,NaN,2
21,388,1.412320852,-1.671013713,1
21,404,0.7171989679,-2.402872801,1
21,420,NaN,NaN,2
21,436,NaN,NaN,2
21,452,0.3261855841,-3.581335068,1
21,468,1.782630563,1.368074417,1
21,484,NaN,NaN,2
21,500,NaN,NaN,2
21,516,0.7986224294,0.3567216396,1
21,532,1.830963612,-2.181566238,1
21,548,1.708857536,-3.643491745,1
21,564,NaN,NaN,2
21,580,0.09725651145,-0.7536211014,1
21,596,0.1910550594,-2.935293198,1
21,612,-0.1324603558,-2.66476965,1
21,628,NaN,NaN,2
21,644,NaN,NaN,2
21,660,0.3346820772,-0.4942246377,1
21,676,0.07186675072,-0.5661197901,1
21,692,NaN,NaN,2
21,708,0.9567701221,-0.5283545256,1
21,724,0.7470479012,-0.4522943497,1
21,740,-0.2337328196,-1.182913423,1
21,756,-0.7828392982,-1.887181878,1
21,772,NaN,NaN,2
21,788,-1.406040192,-4.809200287,1
21,804,0.4691784382,2.633187294,1
21,820,-0.5685534477,2.198965073,1
21,836,-0.9652290344,1.323385,1
21,852,-1.95358777,1.782903194,1
21,868,-0.09972214699,0.4248540401,1
21,884,0.8969851732,2.222063541,1
21,900,0.3498476148,1.250264406,1
21,916,1.078287244,0.6730279326,1
21,932,1.359195471,-0.1670983136,1
21,948,1.267117739,0.08614981174,1
21,964,1.040739059,0.5849900246,1
21,980,0.8782527447,0.9963626862,1
21,996,2.674349308,-0.4056607783,1
21,1012,1.489402533,-1.399999499,1
21,1028,NaN,NaN,2
21,1044,-0.2242187262,-0.7264522314,1
21,1060,0.006056368351,0.1236176491,1
21,1076,1.260929585,0.3197475672,1
21,1092,1.51975894,2.554358482,1
21,1108,NaN,NaN,2
21,1124,-3.063304901,1.090232849,1
37,20,NaN,NaN,2
37,36,NaN,NaN,2
37,52,0.0422241725,-0.4700656831,1
37,68,NaN,NaN,2
37,84,-0.3770270348,0.2867254615,1
37,100,-0.3512659669,0.03434349597,1
37,116,-0.3609855175,-0.0886515379,1
37,132,-0.1110194325,-0.01266592741,1
37,148,0.1686996669,0.1835095286,1
37,164,0.3913648725,-0.1186190844,1
37,180,NaN,NaN,2
37,196,NaN,NaN,2
37,212,-2.275840282,-3.156736851,1
37,228,-2.054457903,-3.579006195,1
37,244,-1.318132639,-3.125417471,1
37,260,-0.2364491969,-2.584797382,1
37,276,0.3911788166,-1.826349854,1
37,292,0.6196418405,-0.964278698,1
37,308,1.108863592,-1.763436317,1
37,324,2.280480146,-4.377353668,1
37,340,2.600555897,-4.074118614,1
37,356,2.210929394,-2.463909388,1
37,372,1.349749804,-1.977808714,1
37,388,0.5862631798,-1.882894993,1
37,404,0.5707207322,-1.405081153,1
37,420,0.2485005856,-1.860785007,1
37,436,NaN,NaN,2
37,452,NaN,NaN,2
37,468,0.2787230313,-3.82704711,1
37,484,-0.3538768291,-2.409793139,1
37,500,NaN,NaN,2
37,516,NaN,NaN,2
37,532,1.165373802,-2.336776257,1
37,548,0.2512183785,-2.581541061,1
37,564,-0.2863481045,-2.4960742,1
37,580,-0.5241621137,-2.87875104,1
37,596,-0.5163580775,-3.258380413,1
37,612,-0.07953470945,-4.619351864,1
