PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 12, filenames: A:[12]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi & B:[13]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,NaN,NaN,2
24,37,0.05714672804,3.904737473,1
24,53,-0.1700491309,4.270948887,1
24,69,NaN,NaN,2
24,85,1.506862879,3.305513382,1
24,101,2.22353673,2.708401203,1
24,117,2.129715919,3.504964828,1
24,133,1.788427114,3.723551035,1
24,149,-0.03791439533,2.082615376,1
24,165,NaN,NaN,2
24,181,NaN,NaN,2
24,197,3.629387379,2.119765759,1
24,213,6.054046631,3.816720009,1
24,229,NaN,NaN,2
24,245,NaN,NaN,2
24,261,5.22888279,1.712756991,1
24,277,NaN,NaN,2
24,293,8.689854622,1.6357795,1
24,309,NaN,NaN,2
24,325,8.597551346,3.05866313,1
24,341,7.96830368,2.290185452,1
24,357,6.999641418,0.4501986504,1
24,373,6.992024422,0.7087699175,1
24,389,NaN,NaN,2
24,405,8.693395615,3.626314163,1
24,421,NaN,NaN,2
24,437,9.017072678,6.553380489,1
24,453,9.196259499,6.284302235,1
24,469,7.866033554,5.245103836,1
24,485,7.640111923,4.835974693,1
24,501,7.05877018,5.630545616,1
24,517,NaN,NaN,2
24,533,NaN,NaN,2
24,549,8.819244385,2.849983931,1
24,565,8.400672913,0.02426314354,1
24,581,8.668604851,0.3620248437,1
24,597,8.727612495,-0.5559972525,1
24,613,8.774297714,-2.436734438,1
24,629,NaN,NaN,2
24,645,7.951469421,-3.227558613,1
24,661,7.883252144,-4.500837326,1
24,677,NaN,NaN,2
24,693,6.668567657,-3.337091446,1
24,709,5.547109127,-0.389857769,1
24,725,NaN,NaN,2
24,741,3.547031164,-0.7944191694,1
24,757,3.261586189,-1.622468114,1
24,773,3.294916868,-2.180202484,1
24,789,3.512885094,-2.046942234,1
24,805,3.193731785,-2.160048485,1
24,821,NaN,NaN,2
24,837,2.695636511,-2.498089314,1
24,853,2.643555403,-2.851248741,1
24,869,1.680254698,-2.526792526,1
24,885,NaN,NaN,2
24,901,NaN,NaN,2
24,917,NaN,NaN,2
24,933,0.1745436192,-2.279364586,1
24,949,-0.3683581948,-2.394493103,1
24,965,NaN,NaN,2
24,981,-0.2774195671,-2.439704895,1
24,997,NaN,NaN,2
24,1013,NaN,NaN,2
24,1029,NaN,NaN,2
24,1045,1.548621893,-1.545633435,1
24,1061,NaN,NaN,2
24,1077,0.9621367455,0.4786007404,1
24,1093,-0.7170597315,0.4885902405,1
24,1109,-0.6184203029,-0.2517861128,1
24,1125,NaN,NaN,2
24,1141,-1.488632083,-2.499858856,1
24,1157,-1.722708702,-1.577917695,1
24,1173,-1.201088428,-1.104169488,1
24,1189,NaN,NaN,2
24,1205,NaN,NaN,2
24,1221,-2.306539297,-0.2618573904,1
24,1237,-3.032966137,0.2129181623,1
24,1253,-3.266548395,0.4921419621,1
24,1269,-3.598787308,0.9192551374,1
24,1285,NaN,NaN,2
40,21,-1.20453608,2.89125967,1
40,37,-0.9843780994,3.39343214,1
40,53,-1.214536667,3.181194305,1
40,69,-0.4375662804,2.920174599,1
40,85,1.405250549,3.287568569,1
40,101,1.324824333,3.106493235,1
40,117,1.386939287,3.554585695,1
40,133,NaN,NaN,2
40,149,2.486090899,3.956236124,1
40,165,2.63402915,3.271626711,1
40,181,NaN,NaN,2
40,197,4.226417542,3.459886312,1
40,213,6.157001495,2.555586576,1
40,229,5.86774826,2.621078014,1
40,245,5.730062962,2.342149258,1
40,261,6.847017765,1.761296034,1
40,277,7.213905334,2.181237698,1
40,293,7.824081421,2.62830925,1
40,309,7.896095753,1.238841057,1
40,325,7.618566036,1.049590349,1
40,341,7.716808796,0.6574326754,1
40,357,8.377436638,0.873803854,1
40,373,8.141141891,1.293329477,1
40,389,8.562625885,2.088085175,1
40,405,9.621681213,1.62239027,1
40,421,10.10049438,0.3416595459,1
40,437,9.897957802,2.148472309,1
40,453,9.120973587,3.162518978,1
40,469,8.641310692,2.691758156,1
40,485,8.482204437,2.398211956,1
40,501,NaN,NaN,2
40,517,NaN,NaN,2
40,533,NaN,NaN,2
40,549,NaN,NaN,2
40,565,8.908140182,2.165888309,1
40,581,9.028049469,-0.2653129101,1
40,597,8.91702652,-1.265095711,1
40,613,8.85476017,-1.981839299,1
40,629,8.777825356,-2.870397329,1
40,645,8.478972435,-2.980216026,1
40,661,8.099727631,-3.934962034,1
40,677,7.396000385,-4.872922421,1
40,693,6.499520779,-3.027832508,1
40,709,5.695034981,-0.9039956331,1
40,725,NaN,NaN,2
40,741,3.696757078,-1.422732949,1
40,757,3.222869396,-2.125414371,1
40,773,3.580214024,-0.9978362322,1
40,789,3.855942249,-0.8531966209,1
40,805,3.265212774,-1.419846416,1
40,821,3.373670578,-1.446822524,1
40,837,3.281813383,-1.395886183,1
40,853,2.7653234,-1.749127984,1
40,869,2.026501894,-2.263583422,1
40,885,0.5984437466,-4.354729176,1
40,901,NaN,NaN,2
40,917,0.3115610778,-2.237101316,1
40,933,-0.1321100444,-2.188256979,1
40,949,0.05943460763,-2.201240063,1
40,965,0.2266940475,-2.582546473,1
40,981,0.1873904169,-2.410227299,1
40,997,0.3683329821,-2.610342503,1
40,1013,NaN,NaN,2
40,1029,0.1666182429,-1.481668591,1
40,1045,1.14948082,-2.547266722,1
40,1061,0.7051525116,-1.827692747,1
40,1077,0.2833535373,-0.835511148,1
40,1093,0.6231929064,-0.5935371518,1
40,1109,0.4424670637,-1.105483174,1
40,1125,NaN,NaN,2
40,1141,-0.414652586,-1.65888083,1
40,1157,-1.516840577,-1.834064007,1
40,1173,-1.394080877,-2.047982216,1
40,1189,-1.264427304,-1.384594202,1
40,1205,NaN,NaN,2
40,1221,-2.089335442,-0.689843297,1
40,1237,-2.806602716,-0.000113517046,1
40,1253,-3.168215036,0.3171210289,1
40,1269,-3.310582161,0.3044130802,1
40,1285,-3.4554739,-0.06594216824,1
56,21,1.092707276,4.46312809,1
