id,eta,Stage,PipDimension
0,1054.417685,early,120
1,2275.882966,early,120
2,5192.193608,early,120
3,4700.887806,early,120
4,4284.859652,early,120
5,5151.183891,early,120
6,2411.311268,early,120
7,3913.715864,early,120
8,5057.131971,early,120
9,5225.213529,early,120
10,5060.123313,early,120
11,1726.961714,early,120
12,8204.714493,late,120
13,8440.216712,late,120
14,9117.234575,late,120
15,10672.2612,late,120
16,7528.879046,late,120
17,10054.41768,late,120
18,7769.417283,late,120
19,3938.837423,early,80
20,3335.408417,early,80
21,4482.833833,early,80
22,1469.894868,early,80
23,3521.490151,early,80
24,6109.776838,late,80
25,4123.951076,late,80
26,8213.115935,late,80
27,7957.223979,late,80
28,7470.118513,late,80
29,2936.081,early,60
30,3559.848,early,60
31,3603.803,early,60
32,3828.54,early,60
33,3166.91,early,60
34,4593.517,early,60
35,5531.118,early,60
36,5183.749,late,60
37,5770.723,late,60
38,4966.846,late,60
39,6032.775,late,60
40,5668.985,late,60
41,12183.6,late,60
42,7632.292,late,60
43,6220.649,late,60
44,3206.505,early,60
45,3385.629,early,60
46,3190.777,early,60
47,4483.105,early,60
48,4910.157,early,60
49,3080.594,early,60
50,1461.793,early,60
51,3639.835,early,60
52,538.9752,early,60
53,4532.241,early,60
54,8489.978,late,60
55,7339.184,late,60
56,4514.333,early,60
57,8953.361,late,60
58,16042.18,late,60
59,3383.1,early,60
60,6556.877,late,60
61,3779.651,early,60
62,2778.318,early,60
