PIVlab, ASCII chart output - 03-May-2024
FRAME: 3, filenames: A:[3]MAX_Pos001_TimeSrs002_TgKrt18GFP_K4K8MOYSLinj.avi & B:[4]MAX_Pos001_TimeSrs002_TgKrt18GFP_K4K8MOYSLinj.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
10,10,0.2125582248,-0.4624563754,1
10,18,-0.08776067197,-0.553907752,1
10,26,-0.0540240556,-0.9476461411,1
10,34,0.4640827775,-0.8738238811,1
10,42,0.3924298286,-0.4263679385,1
10,50,0.1473209262,-0.06954780221,1
10,58,0.1935905367,-0.4958255291,1
10,66,0.09409277141,-0.7014763951,1
10,74,0.1139169037,-0.5972936153,1
10,82,0.3501425982,0.0302798152,1
10,90,0.5203412771,0.4452813864,1
10,98,0.5088886619,0.3292330503,1
10,106,0.3452262878,-0.5286362171,1
10,114,0.1872727871,-0.5417283177,1
10,122,0.5240515471,-0.3566178679,1
10,130,0.7913506031,-0.5839322209,1
10,138,0.7380998135,-0.5751664042,1
10,146,0.5205790997,-0.4033104181,1
10,154,0.4399108887,-0.4514656663,1
10,162,0.5285995007,-0.1307456493,1
10,170,0.3530694842,0.1299402863,1
10,178,0.1841946393,0.02652876079,1
10,186,0.2561610937,0.04566216469,1
10,194,0.5975759029,-0.02330756187,1
10,202,NaN,NaN,2
10,210,1.097855687,-1.051733255,1
10,218,0.5717090368,-0.4239966273,1
10,226,0.2200247049,-0.1385422945,1
10,234,0.3443057537,-0.2567208409,1
10,242,0.3702813983,-0.4733335376,1
10,250,0.5372077227,-1.070094943,1
10,258,1.024578214,-1.164025664,1
10,266,0.9059087038,-1.194197893,1
10,274,0.903522253,-0.7178466916,1
10,282,0.8387206793,-0.3138646483,1
10,290,0.4228868186,-0.7213541865,1
10,298,0.3281325698,-0.7881205678,1
10,306,0.8419625759,-0.9648280144,1
10,314,0.8965780735,-0.9535468817,1
10,322,0.555719614,-0.9224613905,1
10,330,0.64020437,-1.08011508,1
10,338,0.6585887074,-0.8311052918,1
10,346,0.4831612408,-0.5599092245,1
10,354,0.4335610271,-0.5225024819,1
10,362,0.5736272335,-0.6813971996,1
10,370,0.822594285,-1.010679364,1
10,378,1.005770445,-1.120184422,1
10,386,0.9386498332,-1.313089132,1
10,394,0.5700337291,-1.337075353,1
10,402,0.2191947699,-1.320762515,1
10,410,0.1243482232,-1.347189665,1
10,418,0.4348831773,-1.482740521,1
10,426,0.8229153156,-1.538873792,1
10,434,0.8002041578,-1.211990356,1
10,442,0.6631307602,-1.232381821,1
10,450,0.8897739649,-1.466272712,1
10,458,0.9472177625,-1.607963443,1
10,466,0.8194990754,-1.997824311,1
10,474,0.7468052506,-1.893613577,1
10,482,0.7622067928,-1.625199437,1
10,490,0.923392415,-1.168493032,1
18,10,0.1205913574,-0.4275510609,1
18,18,-0.07040934265,-0.2534766793,1
18,26,-0.1390757114,-0.5362653136,1
18,34,-0.201166898,-0.931779623,1
18,42,-0.2775276303,-0.7319535613,1
18,50,-0.3320463896,-0.192913413,1
18,58,-0.3934745789,-0.5072823167,1
