PIVlab, ASCII chart output - 03-May-2024
FRAME: 5, filenames: A:[5]MAX_Pos001_TimeSrs003_TgKrt18GFP_K4K8MOYSLinj-1.avi & B:[6]MAX_Pos001_TimeSrs003_TgKrt18GFP_K4K8MOYSLinj-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
10,10,0.01462465525,0.7104628682,1
10,18,0.02218961716,0.9833728075,1
10,26,-0.08258359134,1.028461456,1
10,34,-0.6155773997,0.9204369783,1
10,42,-0.7117775083,1.022132874,1
10,50,-0.7870839238,1.029816747,1
10,58,-0.9604293108,0.8221901059,1
10,66,-1.124712467,1.008411407,1
10,74,-1.123008013,1.022597075,1
10,82,NaN,NaN,2
10,90,NaN,NaN,2
10,98,NaN,NaN,2
10,106,NaN,NaN,2
10,114,-1.147905111,0.10630849,1
10,122,-0.6553425789,-0.07186728716,1
10,130,-0.6524022818,0.2384744436,1
10,138,-0.7857977152,0.4652476907,1
10,146,-0.5841808319,0.4235036373,1
10,154,-0.7528696656,0.6152825952,1
10,162,-1.045390129,0.6201816797,1
10,170,-1.447364211,0.2449421585,1
10,178,NaN,NaN,2
10,186,-0.8093888164,0.3019167483,1
10,194,-0.253087759,0.3967420459,1
10,202,-0.2571627498,0.2319348007,1
10,210,-0.1893037558,0.1625817716,1
10,218,-0.09650632739,-0.02040195465,1
10,226,-0.5086588264,-0.05907048285,1
10,234,-0.550445199,-0.1206157804,1
10,242,-0.3552471399,-0.08652496338,1
10,250,-0.5803191066,-0.3775834739,1
10,258,-0.5765785575,-0.4243271351,1
10,266,-0.5205333233,-0.3588212729,1
10,274,-0.3616778255,-0.2208133936,1
10,282,-0.048958987,-0.4561593533,1
10,290,-0.2948126793,-0.55510813,1
10,298,-0.7017447352,-0.3634833992,1
10,306,-0.6597666144,-0.04257917404,1
10,314,-0.3561288416,0.1682789922,1
10,322,-0.4230908155,0.4056890011,1
10,330,-0.4652724862,0.1838967502,1
10,338,-0.1582871675,0.2029217482,1
10,346,0.1052489579,0.324433744,1
10,354,0.4718876481,0.1024083346,1
10,362,0.183480978,0.3732385337,1
10,370,-0.3927404284,0.5851752162,1
10,378,-0.1844907105,0.3074247837,1
10,386,0.08712252975,-0.1882040799,1
10,394,0.1674405932,0.05579173565,1
10,402,0.5605626702,0.2670218945,1
10,410,0.7770285606,0.299284935,1
10,418,0.3681120276,0.2624067664,1
10,426,0.03468289971,0.05561301112,1
10,434,-0.232227385,0.102557078,1
10,442,-0.6163367033,-0.07600049675,1
