PIVlab, ASCII chart output - 03-May-2024
FRAME: 5, filenames: A:[5]MAX_Pos002_TimeSrs003_TgKrt18GFP_K4K8MOYSLinj-1.avi & B:[6]MAX_Pos002_TimeSrs003_TgKrt18GFP_K4K8MOYSLinj-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
10,10,-1.414447546,1.736098051,1
10,18,-0.06519919634,0.8999113441,1
10,26,0.2843038738,0.634418726,1
10,34,0.2398136556,0.6586512327,1
10,42,-0.1351257861,0.8169922829,1
10,50,-0.4095275402,0.7696667314,1
10,58,-0.9586359262,0.8003376722,1
10,66,1.277278543,1.190152407,1
10,74,-0.6201608181,1.350064754,1
10,82,-0.8355395794,1.117712736,1
10,90,-0.5884957314,0.7618005276,1
10,98,-0.9274470806,0.6590456963,1
10,106,-0.8093395233,1.074492693,1
10,114,-0.5694624782,0.8563960791,1
10,122,-0.6099449396,1.088686824,1
10,130,-0.953961134,1.085514307,1
10,138,-1.319368839,0.9053599834,1
10,146,-1.174981117,0.6366015673,1
10,154,-1.220857859,1.146697998,1
10,162,-0.5930640101,0.8023151159,1
10,170,0.3812885284,0.3980819583,1
10,178,-0.002010524273,0.3701066077,1
10,186,-0.7670936584,0.2075384259,1
10,194,-0.9322391748,0.5195974112,1
10,202,-0.7574616671,0.8333861828,1
10,210,-0.3740010858,0.9354249239,1
10,218,-0.06078970432,1.198454261,1
10,226,0.06181038916,1.287665009,1
10,234,0.2582939267,1.155126691,1
10,242,0.09399265051,1.365597486,1
10,250,-0.3891332746,1.178204536,1
10,258,-0.4621011019,1.42414844,1
10,266,-0.2519618869,1.141431093,1
10,274,-0.1621622443,0.6360793114,1
10,282,-0.4726804793,0.4270340204,1
10,290,-0.7222044468,0.2356577516,1
10,298,-0.503914535,-0.2948346436,1
10,306,-0.262951076,-0.5278078318,1
10,314,-0.3420823812,-0.4802217484,1
10,322,-0.7561270595,-0.4196825624,1
10,330,-0.9263745546,-0.3379980028,1
10,338,-0.4406440258,-0.3872428536,1
10,346,-0.2713727653,-0.4221225381,1
10,354,0.1676213741,-0.7009081244,1
10,362,0.6347448826,-1.179933548,1
10,370,0.6549170613,-1.427984595,1
10,378,0.7312998772,-1.25211823,1
10,386,0.7931494117,-0.8737825155,1
10,394,0.7948058248,-0.8767387867,1
10,402,0.6599183083,-0.8397641778,1
10,410,0.2565731108,-0.9678942561,1
10,418,0.0999905467,-0.5518728495,1
10,426,0.2033554316,-0.6540235877,1
10,434,0.3595312834,-0.7828544378,1
10,442,0.4850127697,-0.6772338152,1
10,450,0.1207907796,0.2756191492,1
10,458,-0.561894536,-0.5188903213,1
10,466,-0.4295645058,-0.9162018299,1
10,474,-0.3784673214,-1.298547626,1
10,482,-0.4842751026,-0.9933396578,1
10,490,-1.395520926,-0.5037162304,1
18,10,-0.2494699955,1.025825977,1
18,18,0.1741746068,0.6816469431,1
18,26,0.4744400084,0.862021327,1
18,34,0.5510177612,1.556412935,1
18,42,0.3442772925,1.989537001,1
18,50,-0.06104545295,1.429124475,1
18,58,-0.6007860303,0.3092670441,1
18,66,-0.6267827749,0.7439677119,1
18,74,-0.8125747442,0.976890564,1
18,82,-0.6066584587,0.9788910151,1
18,90,-0.2645708025,1.695325136,1
18,98,-0.7332493067,2.286259651,1
18,106,NaN,NaN,2
18,114,-0.5207037926,1.89088738,1
18,122,-0.5879001021,1.889002562,1
18,130,-0.7187796831,1.262687325,1
18,138,-0.6168420911,0.8089530468,1
18,146,-0.4996365905,0.9352695942,1
18,154,-0.4323375225,1.268640757,1
18,162,0.6760013103,0.8574699163,1
18,170,0.3396182656,0.3609976172,1
18,178,0.1754062772,-0.008838027716,1
18,186,0.0802834332,-0.02249461412,1
18,194,-0.1248027384,0.3835054636,1
18,202,0.01425027847,0.767059207,1
18,210,-0.0705884099,1.21036768,1
18,218,-0.08742374182,1.81821847,1
18,226,0.02649246901,1.520756721,1
18,234,-0.3164288402,1.467757463,1
18,242,0.002008795738,1.918448091,1
18,250,-0.6113801599,1.438476563,1
18,258,-1.09265399,1.533259392,1
18,266,-0.4128146768,0.7361470461,1
18,274,-0.4542331696,0.01077574492,1
18,282,-0.4673395455,0.005489587784,1
18,290,-0.2928046584,0.3356294334,1
18,298,-0.2473309487,-0.06540673226,1
18,306,-0.09740305692,-0.1480884701,1
18,314,-0.1078502238,-0.2216337919,1
18,322,-0.1857269406,-0.5817911029,1
18,330,-0.01710668206,-0.7578753233,1
18,338,0.2165904343,-0.5790228844,1
18,346,0.1176904738,-0.2051397562,1
18,354,0.3239184022,-0.6259685755,1
18,362,0.6118892431,-1.115655422,1
18,370,0.6120849252,-0.7869513631,1
18,378,0.4412007928,-0.9632385373,1
18,386,0.3576372564,-1.027253985,1
18,394,0.3816636205,-0.8017622232,1
18,402,0.2536535561,-0.7636227608,1
18,410,-0.1882907152,-0.8239232898,1
18,418,-0.3831455112,-0.7136839032,1
