expid,Intensity,Sampleid,label
190423_09,741.00,Control pre,Control MO
190423_10,740.00,Control pre,Control MO
050624_01,1612.00,Control pre,Control MO
050624_05,1894.00,Control pre,Control MO
050624_06,1322.00,Control pre,Control MO
190423_09,1414.00,Control post,Control MO
190423_10,1721.00,Control post,Control MO
050624_01,3360.00,Control post,Control MO
050624_05,3218.00,Control post,Control MO
050624_06,2438.00,Control post,Control MO
190423_01,466.00,MO pre,Keratin MO
190423_02,291.00,MO pre,Keratin MO
190423_08,341.00,MO pre,Keratin MO
060624_00,844.88,MO pre,Keratin MO
060624_01,1001.59,MO pre,Keratin MO
060624_03,740.97,MO pre,Keratin MO
060624_04,1020.36,MO pre,Keratin MO
060624_05,474.37,MO pre,Keratin MO
060624_07,730.31,MO pre,Keratin MO
060624_09,928.93,MO pre,Keratin MO
190423_01,762.00,MO post,Keratin MO
190423_02,461.00,MO post,Keratin MO
190423_08,573.00,MO post,Keratin MO
060624_00,991.90,MO post,Keratin MO
060624_01,1598.75,MO post,Keratin MO
060624_03,1266.56,MO post,Keratin MO
060624_04,1365.41,MO post,Keratin MO
060624_05,501.40,MO post,Keratin MO
060624_07,1202.38,MO post,Keratin MO
060624_09,1582.41,MO post,Keratin MO
