,Unnamed: 0,Control MO,Keratin YSL MO
0,0,5.424684914,0.053589364
1,1,5.592904603,1.696717843
2,2,5.329023566,0.21235497
3,3,6.08496541,0.529093828
4,4,2.062725287,1.456822215
5,5,5.14206934,0.015408864
6,6,4.935253113,1.597485854
7,7,4.851255315,1.254967532
8,8,5.205650908,1.488440156
9,9,4.798256494,1.061727033
10,10,3.975737544,1.009685309
11,11,5.71960227,1.592763739
12,12,3.831765025,1.12238281
13,13,4.274870311,0.8958467
14,14,4.275121172,2.112833848
15,15,3.735907911,0.454898988
16,16,3.452744095,1.4306598
17,17,5.940883787,0.448778043
18,18,3.449367361,1.700554352
19,19,5.56514665,0.438658509
20,20,2.60568754,1.75948302
21,21,2.652017361,1.247144487
22,22,3.244681223,0.789859772
23,23,1.888945885,0.671925642
24,24,4.973208768,1.352347748
25,25,2.605667744,0.994739096
26,26,5.241938619,0.051433311
27,27,2.403665256,0.241004728
28,28,2.114544145,0.348284754
29,29,6.270667947,0.562533439
30,30,5.727551157,0.590482763
31,31,2.523852185,1.081120706
32,32,2.047499077,0.663739174
33,33,3.231978955,0.899554081
34,34,4.461472393,0.639097641
35,35,2.032026864,0.513462111
36,36,2.342024987,0.753343539
37,37,2.903693862,0.904195541
38,38,3.948497206,0.553393435
39,39,2.243253717,1.044120838
40,40,5.033822614,0.245280203
41,41,1.83378445,0.715521838
42,42,5.379413762,0.399239202
43,43,5.391147013,0.742581006
