PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 2, filenames: A:[2]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[3]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
20,19,-0.1404750347,3.33433938,1
20,35,1.59261322,3.476172209,1
20,51,2.09919095,3.380631447,1
20,67,2.043550253,2.998989105,1
20,83,1.746941328,2.57371664,1
20,99,1.30719173,2.194244385,1
20,115,1.498531342,1.730586767,1
20,131,1.796078682,1.362784863,1
20,147,1.155839205,0.0297985673,1
20,163,0.8134655952,0.3450220823,1
20,179,NaN,NaN,2
20,195,NaN,NaN,2
20,211,NaN,NaN,2
20,227,-0.1280043125,0.4010995328,1
20,243,-0.4319680929,0.05406576395,1
20,259,-0.4134982228,0.02118581533,1
20,275,NaN,NaN,2
20,291,NaN,NaN,2
20,307,NaN,NaN,2
20,323,NaN,NaN,2
20,339,NaN,NaN,2
20,355,-0.6750764847,0.4355279803,1
20,371,NaN,NaN,2
20,387,0.2158496976,0.367454648,1
20,403,0.5546640158,0.08564442396,1
36,19,0.4716974199,3.167378187,1
36,35,1.661176085,2.97795105,1
36,51,1.946942806,2.84772253,1
36,67,1.827033639,2.541673899,1
36,83,1.769301176,2.207512379,1
36,99,1.532684803,1.673462391,1
36,115,1.425449014,1.279047132,1
36,131,1.45241189,0.8213752508,1
36,147,1.128896832,0.7613817453,1
36,163,0.1416338682,0.7079302073,1
36,179,1.106384635,0.837500751,1
36,195,NaN,NaN,2
36,211,1.474930286,-0.1936650425,1
36,227,0.3400938213,0.006623782218,1
36,243,-0.06494915485,-0.008096680045,1
36,259,-0.224663794,-0.3292870522,1
36,275,-0.2407138348,-0.2413143218,1
36,291,NaN,NaN,2
36,307,NaN,NaN,2
36,323,-0.2029752731,-0.7821865082,1
36,339,-0.159080103,-0.3068672419,1
36,355,NaN,NaN,2
36,371,NaN,NaN,2
36,387,-0.2019783109,0.4072198272,1
36,403,-0.01071266085,0.7397902608,1
52,19,0.6942210197,2.922526121,1
52,35,1.374179125,2.707427979,1
52,51,1.789654732,2.643038034,1
52,67,1.757772565,2.437820673,1
52,83,1.482257366,2.095536709,1
52,99,1.431831837,1.566355824,1
52,115,1.377706409,1.169265866,1
52,131,1.346408844,0.7936036587,1
52,147,1.316682935,0.9304206371,1
52,163,0.4792171717,0.725669086,1
52,179,-0.1708486676,0.3637326658,1
52,195,NaN,NaN,2
52,211,NaN,NaN,2
52,227,NaN,NaN,2
52,243,NaN,NaN,2
52,259,NaN,NaN,2
52,275,NaN,NaN,2
52,291,-1.081079721,-0.3510870337,1
52,307,-0.5484154224,-1.088279247,1
52,323,-0.4719945192,-0.463124454,1
52,339,-0.2845751047,-0.4635645449,1
52,355,NaN,NaN,2
52,371,NaN,NaN,2
52,387,-0.01563225687,-0.3093888164,1
52,403,-0.1647349,0.2003452182,1
68,19,0.8721123338,2.71101284,1
68,35,1.32493031,2.583241463,1
68,51,1.565586805,2.692168713,1
68,67,1.474444866,2.692204475,1
68,83,1.100039005,2.455564976,1
68,99,1.253210902,1.850052714,1
68,115,1.602322698,1.221117854,1
68,131,1.421779633,1.061208129,1
68,147,1.083101869,1.023231626,1
68,163,0.3002300262,0.9019246697,1
68,179,-0.6824897528,0.3549988866,1
68,195,NaN,NaN,2
68,211,NaN,NaN,2
68,227,-0.342553854,-0.08476303518,1
68,243,NaN,NaN,2
68,259,NaN,NaN,2
68,275,NaN,NaN,2
68,291,-0.5807104111,-0.4199835658,1
68,307,-0.2474962175,-0.8606283665,1
68,323,-0.2137257308,0.009863764048,1
68,339,NaN,NaN,2
68,355,-0.1040656865,-0.1529912204,1
68,371,NaN,NaN,2
