PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 1, filenames: A:[1]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi & B:[2]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
20,19,0.9631252289,1.771693468,1
20,35,1.435226202,0.9776729345,1
20,51,2.138434887,0.1792627573,1
20,67,NaN,NaN,2
20,83,1.824952126,0.2634978294,1
20,99,1.80068469,0.09738761187,1
20,115,1.6979568,-0.890624404,1
20,131,1.297276139,-1.742846131,1
20,147,1.918255091,-2.04583025,1
20,163,1.99355793,-1.875357389,1
20,179,1.911105633,-1.901581764,1
20,195,1.620097637,-2.360370636,1
20,211,1.953955173,-2.742223024,1
20,227,1.948974967,-3.104843378,1
20,243,2.402046919,-2.448575497,1
20,259,2.567332745,-1.628538489,1
20,275,1.877925873,-1.95541048,1
20,291,0.7353303432,-2.330661535,1
20,307,0.3183627129,-1.577782989,1
20,323,0.6756062508,-1.783166766,1
20,339,1.887749195,-1.649757862,1
20,355,2.614875078,-1.216913939,1
20,371,2.088806152,-2.032202721,1
20,387,2.58089447,-1.557717085,1
20,403,NaN,NaN,2
36,19,0.1712447405,2.002218723,1
36,35,NaN,NaN,2
36,51,1.865581632,0.525633812,1
36,67,2.118761301,0.08416485786,1
36,83,1.838444948,0.06243388355,1
36,99,1.386757016,-0.02804917097,1
36,115,1.151611447,-0.995882988,1
36,131,1.300060153,-1.660367966,1
36,147,1.520992756,-1.779009223,1
36,163,1.73292625,-1.925971031,1
36,179,1.769112468,-2.33668375,1
36,195,1.743124485,-2.745776653,1
36,211,1.594602823,-2.841614485,1
36,227,1.669059157,-2.6838696,1
36,243,1.976305604,-2.264101028,1
36,259,2.228925228,-1.996910334,1
36,275,1.947654963,-1.829749584,1
36,291,1.681627631,-1.912081003,1
36,307,1.854904294,-1.760474086,1
36,323,2.126914501,-1.644871235,1
36,339,2.459007025,-2.007295132,1
36,355,2.271821022,-2.603954792,1
36,371,2.255185843,-2.843529701,1
36,387,2.866486073,-1.671091795,1
36,403,2.304151773,-1.872377157,1
52,19,0.2756433785,2.05818367,1
52,35,NaN,NaN,2
52,51,NaN,NaN,2
52,67,2.113268137,0.1578817517,1
52,83,1.442124963,-0.3355436325,1
52,99,1.152469873,-0.797124505,1
52,115,1.341467381,-1.261334658,1
52,131,1.54866612,-1.556340098,1
52,147,1.652005076,-1.660857081,1
52,163,1.73406148,-2.047208786,1
52,179,1.369993925,-2.54045248,1
52,195,1.262941837,-2.578770638,1
52,211,1.362474918,-2.862392187,1
52,227,1.410958886,-2.795379162,1
52,243,1.668396711,-2.494486332,1
52,259,1.989721537,-2.104175329,1
52,275,2.149722576,-1.943432331,1
52,291,2.557785511,-2.07696104,1
52,307,2.359044552,-2.205276728,1
52,323,2.647858143,-1.660200238,1
52,339,2.866794586,-1.883702755,1
52,355,2.401555538,-1.80696249,1
52,371,2.013875246,-1.718008876,1
52,387,NaN,NaN,2
52,403,1.320439577,-2.682560444,1
68,19,0.2629198432,2.621443748,1
68,35,NaN,NaN,2
68,51,NaN,NaN,2
68,67,2.587039471,0.0449414663,1
68,83,1.861540794,-0.1466593444,1
68,99,1.12429285,-0.8015387058,1
68,115,1.38818717,-1.226532698,1
68,131,1.802754641,-1.275132418,1
68,147,1.900316,-1.389021873,1
68,163,1.660855174,-1.930781245,1
68,179,1.236672878,-2.548453808,1
68,195,1.442283511,-2.245130539,1
68,211,1.39165628,-2.277032375,1
68,227,1.467290044,-2.638745785,1
68,243,2.182618141,-2.810282707,1
68,259,2.681834221,-2.185339689,1
68,275,2.421387672,-2.037286758,1
68,291,2.453518867,-1.977982521,1
68,307,1.87373209,-1.841948748,1
68,323,2.229385138,-1.827663064,1
68,339,2.499824286,-1.983409643,1
68,355,2.34931612,-1.682379603,1
68,371,NaN,NaN,2
68,387,1.986129522,-1.784886837,1
68,403,1.137492776,-2.293174744,1
84,19,0.2139264047,2.595973015,1
84,35,0.9821314216,1.170406461,1
84,51,NaN,NaN,2
84,67,NaN,NaN,2
84,83,1.316543937,-0.05587258935,1
84,99,1.191841364,-0.6173670292,1
84,115,1.375205398,-1.045302153,1
84,131,1.645752549,-0.8902009726,1
84,147,1.702642202,-1.307950854,1
84,163,1.485630512,-2.05753994,1
84,179,1.376437783,-2.582573891,1
84,195,2.016939163,-1.982233047,1
84,211,1.746893764,-2.001373768,1
84,227,1.986524343,-2.449934959,1
84,243,2.160077572,-2.530528784,1
84,259,2.400759935,-2.26538682,1
84,275,2.84016633,-2.297578335,1
84,291,2.309871912,-2.051224232,1
84,307,2.036596537,-1.811819196,1
84,323,2.021235228,-1.856128335,1
84,339,2.113799095,-2.298689604,1
84,355,2.617604733,-2.246517181,1
84,371,2.847481251,-1.621856689,1
84,387,2.288642645,-1.602105498,1
84,403,1.044958115,-1.506506562,1
100,19,-0.1417973042,2.266522884,1
100,35,0.3931829929,1.327517509,1
100,51,-0.1852047443,1.951027274,1
100,67,0.4730741382,0.1990021169,1
100,83,1.138407469,-0.04545065761,1
100,99,1.796425223,-0.556724906,1
100,115,1.729960799,-0.9627172947,1
100,131,1.744792938,-1.088527083,1
100,147,1.759825826,-1.553951859,1
100,163,1.579661131,-2.350738287,1
100,179,1.863192916,-1.808736682,1
100,195,1.863459587,-1.578250885,1
100,211,1.844836593,-2.100109339,1
100,227,2.469186544,-2.435677052,1
100,243,2.579551458,-2.374324799,1
100,259,2.526255846,-2.183914423,1
100,275,2.572758436,-2.3758955,1
100,291,1.892635822,-2.201101542,1
100,307,2.008531809,-2.14124155,1
100,323,1.837575197,-1.912493706,1
100,339,2.010976791,-2.324561119,1
100,355,2.871870279,-2.173507929,1
100,371,2.699744701,-1.905292392,1
100,387,2.363486528,-1.79706192,1
100,403,1.707306981,-1.528270721,1
116,19,0.02646000683,2.169619322,1
116,35,0.4996233582,1.704524159,1
116,51,-0.8178174496,1.540614843,1
116,67,NaN,NaN,2
116,83,1.452204823,0.03378075361,1
116,99,1.792150974,-0.7558122873,1
116,115,1.80299902,-1.232814431,1
116,131,1.865701437,-1.570889354,1
116,147,1.975307941,-1.684988379,1
116,163,2.02440238,-1.994313478,1
116,179,2.655992985,-1.654703498,1
116,195,2.462970018,-1.245985985,1
116,211,2.299795151,-2.060254574,1
116,227,2.527891159,-2.07289958,1
116,243,2.565595388,-2.112210751,1
116,259,2.663027763,-2.190472603,1
116,275,2.278171301,-2.195401907,1
116,291,2.118139505,-1.665843964,1
116,307,1.811713219,-2.250144243,1
116,323,1.721326709,-2.139200687,1
116,339,1.835219264,-2.146157742,1
116,355,2.28151226,-2.202195168,1
116,371,2.472619057,-2.169212818,1
116,387,2.550748825,-2.013337135,1
116,403,1.992705107,-1.323400378,1
132,19,-0.3350066543,1.976140022,1
132,35,-0.07651123405,1.608765244,1
132,51,NaN,NaN,2
132,67,NaN,NaN,2
132,83,0.7991065979,-0.2307241559,1
132,99,1.390274644,-0.4957946539,1
132,115,1.508594275,-0.9211309552,1
132,131,1.282981753,-1.702008247,1
132,147,1.62493217,-1.36687398,1
132,163,1.709433913,-1.706648946,1
132,179,1.811833858,-1.954146624,1
132,195,2.258510113,-1.91589272,1
132,211,2.849411488,-1.770100236,1
132,227,2.780478954,-1.461975813,1
132,243,2.517958879,-2.173704863,1
132,259,2.825626373,-2.151726723,1
132,275,2.807747841,-2.04168272,1
132,291,2.945534468,-1.577267647,1
132,307,2.740130186,-2.02494669,1
132,323,2.665188074,-2.306607246,1
