PIVlab, ASCII chart output - 02-Aug-2025
FRAME: 123, filenames: A:[123]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi & B:[124]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,10,-0.1864407212,0.2092079222,1
9,18,-0.2791830003,0.04259394482,1
9,26,-0.2470487207,-0.008765589446,1
9,34,-0.2866961658,0.05188262835,1
9,42,-0.1288614273,0.1653502584,1
9,50,-0.0632545799,0.2977338433,1
9,58,-0.07472725213,0.3556049764,1
9,66,-0.03349282593,0.1482525766,1
9,74,0.02473217249,0.03621181846,1
9,82,0.1326315999,0.1015914679,1
9,90,0.1961949319,0.1949429661,1
9,98,0.05136586726,0.08874368668,1
9,106,-0.07031865418,0.002689391375,1
9,114,-0.1589752436,-0.04539525509,1
9,122,-0.1434321404,-0.03069924563,1
9,130,-0.04715374112,-0.02305506542,1
9,138,-0.001558020711,0.04313254356,1
9,146,0.05255081505,0.08853539824,1
9,154,0.1295946538,0.08718198538,1
9,162,0.1857478023,0.1193566918,1
9,170,0.2356194556,-0.1116838753,1
17,10,-0.2427831888,0.02565951645,1
17,18,-0.1894101202,-0.08663494885,1
17,26,-0.1067173928,0.0292163305,1
17,34,-0.1372213364,0.06823006272,1
17,42,-0.05599137396,0.06054599583,1
17,50,0.03783217072,0.1460050642,1
17,58,-0.03575902432,0.2382919043,1
17,66,-0.05899534747,0.0958070904,1
17,74,-0.1171426028,0.05826996267,1
17,82,0.01979760081,0.06967350841,1
17,90,-0.04246294871,0.134239763,1
17,98,-0.09014602005,0.03005512804,1
17,106,-0.1055433899,-0.0681033358,1
17,114,-0.1912358701,-0.07371697575,1
17,122,-0.06323058903,-0.05221287161,1
17,130,0.05680048466,0.02560244687,1
17,138,0.03584458679,0.04002022743,1
17,146,-0.03953965753,0.1088499427,1
17,154,-0.03449840099,0.1322629899,1
17,162,-0.07877087593,0.1389470547,1
17,170,-0.0909890458,0.1091869622,1
25,10,-0.2306839228,-0.07345534861,1
25,18,-0.102698043,-0.04415246844,1
25,26,-0.03147022799,0.01670118421,1
25,34,-0.007974274457,0.07940188795,1
25,42,0.1039742157,0.0724272877,1
25,50,0.03987523913,0.1430003047,1
25,58,-0.1468950212,0.02813231945,1
25,66,-0.08628795296,-0.02380850911,1
25,74,0.001948073506,0.01385111362,1
25,82,0.01015552878,0.0003772340715,1
25,90,-0.1341546476,-0.01277844235,1
25,98,-0.09481577575,0.09747867286,1
25,106,-0.1050994843,-0.02105765045,1
25,114,-0.1799200922,-0.03846013919,1
25,122,-0.07958890498,0.01296189614,1
25,130,-0.08450593799,0.07330441475,1
25,138,-0.1037168354,0.09112413228,1
25,146,-0.1361865699,0.140369907,1
25,154,-0.2023271322,0.1441136301,1
25,162,-0.1925904453,0.1199229807,1
25,170,-0.1919550598,0.1505721211,1
33,10,-0.003179267049,-0.09479454905,1
33,18,0.05771809071,-0.1161927581,1
33,26,0.06671762466,0.002008953132,1
33,34,0.01548855007,0.06449063122,1
33,42,-0.07287157327,0.05052439123,1
33,50,-0.06822006404,0.06268571317,1
33,58,-0.1156591624,-0.0233739689,1
33,66,-0.256136775,0.05365727842,1
33,74,-0.2350036055,0.008646469563,1
33,82,-0.2111302018,0.08125251532,1
33,90,-0.1529448628,0.05670509487,1
33,98,-0.1437273324,0.0171636343,1
33,106,-0.1749945432,-0.01514274627,1
33,114,-0.06414689124,-0.006321727298,1
33,122,-0.01074154675,-0.02239017189,1
33,130,-0.04949730635,0.07116871327,1
33,138,-0.100975953,0.1885641217,1
33,146,-0.1928162426,0.07585258782,1
33,154,-0.215352416,-0.01067239419,1
33,162,-0.07329542935,0.0617980808,1
33,170,-0.1250495613,0.1320665777,1
41,10,-0.0336191617,-0.08836047351,1
41,18,-0.07417732477,-0.1437480301,1
41,26,0.04022192955,0.058937978,1
41,34,-0.04343201965,0.07640326023,1
41,42,-0.1817584932,-0.02662225999,1
41,50,-0.1153527796,-0.03376298025,1
41,58,-0.08671680838,-0.09681311995,1
41,66,-0.2249977291,0.09350787103,1
41,74,-0.2828273475,0.03131230921,1
41,82,-0.2602962852,0.09861650318,1
41,90,-0.1527414173,0.1171190888,1
41,98,-0.05771125108,0.01205781475,1
41,106,-0.09885615855,-0.0162898358,1
41,114,-0.04427908361,-0.09147262573,1
41,122,-0.1439542621,-0.07759719342,1
41,130,-0.2474676073,-0.00778086856,1
41,138,-0.06740014255,0.0827665925,1
41,146,0.0281572789,0.1251653433,1
41,154,-0.1174801439,-0.09371815622,1
41,162,-0.1140821204,-0.009760452434,1
