PIVlab, ASCII chart output - 11-Jul-2025
FRAME: 299, filenames: A:[299]FullStack_Pos0034_TgUtrmcherry_K4K8MO-1.avi & B:[300]FullStack_Pos0034_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,11,-0.3069972992,0.08672532439,1
9,19,-0.09698873758,-0.1991254985,1
9,27,-0.08353298903,-0.1322939098,1
9,35,-0.1761437654,-0.04803545401,1
9,43,-0.1136853695,0.2264020294,1
9,51,-0.1529396027,0.09964063764,1
9,59,-0.3103572726,0.06178984046,1
9,67,-0.164293021,0.07120409608,1
9,75,-0.06137521937,-0.03932794556,1
9,83,0.1371165514,-0.03747107089,1
9,91,0.289834857,-0.1416286826,1
9,99,0.1656291783,-0.2076804787,1
9,107,0.133123219,0.1735456586,1
9,115,0.2152945995,-0.04472661018,1
9,123,0.1728750169,-0.1478994489,1
9,131,-0.03823402524,-0.4162172079,1
9,139,-0.04107683897,-0.5098124743,1
9,147,0.005633920431,-0.07765930891,1
9,155,-0.1584792137,0.1407387108,1
9,163,-0.3692005873,-0.06173916906,1
9,171,-0.1617346406,0.01131154783,1
9,179,0.005261898041,0.1405360699,1
9,187,-0.2191485614,-0.07035537809,1
9,195,-0.263100028,-0.03864135593,1
9,203,-0.1748338938,0.05722218752,1
9,211,-0.1588132977,0.1399383098,1
9,219,-0.3516452909,-0.4654930234,1
17,11,-0.05548246205,0.05853774771,1
17,19,0.1133976281,0.03021244518,1
17,27,0.1344104707,-0.03906225413,1
17,35,0.04065084085,-0.1688386798,1
17,43,0.3141213357,-0.04580143094,1
17,51,0.2461106628,0.04631417245,1
17,59,0.08733180165,0.03615253419,1
17,67,-0.05315663293,0.01994433627,1
17,75,-0.03950551152,-0.08905103058,1
17,83,0.101978898,-0.08168531954,1
17,91,0.1417244524,-0.2130873352,1
17,99,0.07490319014,-0.1092953831,1
17,107,0.1019039005,0.0306263417,1
17,115,0.1026801169,0.008615439758,1
17,123,0.2438080162,-0.004122756422,1
17,131,-0.0006191208959,-0.216768384,1
17,139,-0.1057446003,-0.2090875208,1
17,147,-0.1036646664,-0.054820925,1
17,155,-0.1800743937,0.06987701356,1
17,163,-0.2960047126,-0.05836395174,1
17,171,-0.2762189209,-0.1193902642,1
17,179,-0.1629585326,-0.02274682,1
17,187,-0.1615833342,-0.06376156211,1
17,195,-0.1086556762,-0.1534034163,1
17,203,-0.05546368659,-0.1468175054,1
17,211,0.06490670145,-0.07207679749,1
17,219,-0.03296160698,-0.2081279755,1
25,11,-0.1352034807,-0.09818971157,1
25,19,0.2294809371,0.04107607156,1
25,27,0.2678247988,0.1181020662,1
25,35,0.1974020302,0.04129319638,1
25,43,0.1331454813,-0.08882513642,1
25,51,0.1171492711,-0.09717781842,1
25,59,0.1802457422,0.03294713795,1
25,67,0.03788927197,0.03369104117,1
25,75,-0.1247703135,-0.05177296698,1
25,83,-0.08985723555,0.0528646037,1
25,91,0.1029707789,-0.001861862838,1
25,99,0.2058522999,-0.08876986802,1
25,107,0.2796055973,-0.1500249356,1
25,115,0.3401382267,-0.09340386093,1
25,123,0.1413130313,0.1651653498,1
25,131,0.01016447693,0.08176287264,1
25,139,-0.1196361035,0.05492024869,1
25,147,-0.06427955627,-0.02280183882,1
25,155,-0.09649527073,-0.01972591877,1
25,163,-0.1794861257,-0.02874204144,1
