 ,Area,Mean,Min,Max,Angle,Slice,Length
1,8.155E-7,194.979,100,381,-91.264,1,0.002
2,8.155E-7,195.244,98,369,-91.264,2,0.002
3,8.155E-7,195.582,102,422,-91.264,3,0.002
4,8.155E-7,196.660,94,363,-91.264,4,0.002
5,8.155E-7,196.614,96,413,-91.264,5,0.002
6,8.155E-7,180.261,102,384,-91.264,6,0.002
7,8.155E-7,151.137,89,348,-91.264,7,0.002
8,8.155E-7,146.932,92,369,-91.264,8,0.002
9,8.155E-7,148.001,96,354,-91.264,9,0.002
10,8.155E-7,148.654,92,337,-91.264,10,0.002
11,8.155E-7,148.813,93,332,-91.264,11,0.002
12,8.155E-7,149.456,93,310,-91.264,12,0.002
13,8.155E-7,150.158,89,291,-91.264,13,0.002
14,8.155E-7,150.813,95,290,-91.264,14,0.002
15,8.155E-7,151.294,94,294,-91.264,15,0.002
16,8.155E-7,151.808,95,297,-91.264,16,0.002
17,8.155E-7,151.901,95,291,-91.264,17,0.002
18,8.155E-7,152.172,92,296,-91.264,18,0.002
19,8.155E-7,152.893,93,297,-91.264,19,0.002
20,8.155E-7,152.974,97,298,-91.264,20,0.002
21,8.155E-7,153.778,91,296,-91.264,21,0.002
22,8.155E-7,154.711,96,299,-91.264,22,0.002
23,8.155E-7,155.601,95,315,-91.264,23,0.002
24,8.155E-7,155.926,93,309,-91.264,24,0.002
25,8.155E-7,157.155,96,300,-91.264,25,0.002
26,8.155E-7,157.856,94,296,-91.264,26,0.002
27,8.155E-7,158.676,94,305,-91.264,27,0.002
28,8.155E-7,158.901,98,315,-91.264,28,0.002
29,8.155E-7,160.186,94,309,-91.264,29,0.002
30,8.155E-7,161.129,97,310,-91.264,30,0.002
31,8.155E-7,162.234,96,311,-91.264,31,0.002
32,8.155E-7,163.217,96,304,-91.264,32,0.002
33,8.155E-7,164.518,96,326,-91.264,33,0.002
34,8.155E-7,165.413,98,311,-91.264,34,0.002
35,8.155E-7,165.951,95,311,-91.264,35,0.002
36,8.155E-7,167.354,97,310,-91.264,36,0.002
37,8.155E-7,168.719,99,342,-91.264,37,0.002
38,8.155E-7,169.616,95,336,-91.264,38,0.002
39,8.155E-7,171.059,97,328,-91.264,39,0.002
40,8.155E-7,171.871,98,330,-91.264,40,0.002
41,8.155E-7,172.962,98,311,-91.264,41,0.002
42,8.155E-7,173.604,98,350,-91.264,42,0.002
43,8.155E-7,174.994,95,335,-91.264,43,0.002
44,8.155E-7,176.364,99,357,-91.264,44,0.002
45,8.155E-7,178.073,99,353,-91.264,45,0.002
46,8.155E-7,178.748,99,330,-91.264,46,0.002
47,8.155E-7,179.319,101,337,-91.264,47,0.002
48,8.155E-7,181.045,98,321,-91.264,48,0.002
49,8.155E-7,182.445,101,345,-91.264,49,0.002
50,8.155E-7,183.350,99,376,-91.264,50,0.002
51,8.155E-7,184.502,93,330,-91.264,51,0.002
52,8.155E-7,185.748,102,340,-91.264,52,0.002
53,8.155E-7,187.544,96,347,-91.264,53,0.002
54,8.155E-7,188.159,98,341,-91.264,54,0.002
55,8.155E-7,189.590,102,371,-91.264,55,0.002
56,8.155E-7,191.329,102,350,-91.264,56,0.002
57,8.155E-7,192.766,103,366,-91.264,57,0.002
58,8.155E-7,193.697,100,370,-91.264,58,0.002
59,8.155E-7,194.953,100,358,-91.264,59,0.002
60,8.155E-7,195.463,100,341,-91.264,60,0.002
61,8.155E-7,196.862,108,347,-91.264,61,0.002
62,8.155E-7,198.386,98,350,-91.264,62,0.002
63,8.155E-7,199.826,102,352,-91.264,63,0.002
64,8.155E-7,201.440,105,377,-91.264,64,0.002
65,8.155E-7,201.913,104,363,-91.264,65,0.002
66,8.155E-7,202.620,104,364,-91.264,66,0.002
67,8.155E-7,203.841,105,360,-91.264,67,0.002
68,8.155E-7,204.597,103,376,-91.264,68,0.002
69,8.155E-7,205.575,105,371,-91.264,69,0.002
70,8.155E-7,207.285,101,402,-91.264,70,0.002
71,8.155E-7,207.713,103,410,-91.264,71,0.002
72,8.155E-7,207.879,109,424,-91.264,72,0.002
73,8.155E-7,209.534,102,421,-91.264,73,0.002
74,8.155E-7,210.738,108,402,-91.264,74,0.002
75,8.155E-7,212.524,109,430,-91.264,75,0.002
76,8.155E-7,213.329,101,425,-91.264,76,0.002
77,8.155E-7,213.802,101,414,-91.264,77,0.002
78,8.155E-7,215.234,102,436,-91.264,78,0.002
79,8.155E-7,215.989,105,444,-91.264,79,0.002
80,8.155E-7,216.515,108,412,-91.264,80,0.002
81,8.155E-7,217.901,106,448,-91.264,81,0.002
82,8.155E-7,218.186,108,457,-91.264,82,0.002
83,8.155E-7,219.834,106,463,-91.264,83,0.002
84,8.155E-7,221.264,110,452,-91.264,84,0.002
85,8.155E-7,220.937,110,443,-91.264,85,0.002
86,8.155E-7,221.772,103,429,-91.264,86,0.002
87,8.155E-7,221.931,100,445,-91.264,87,0.002
88,8.155E-7,223.652,98,459,-91.264,88,0.002
89,8.155E-7,225.419,100,421,-91.264,89,0.002
90,8.155E-7,226.805,107,466,-91.264,90,0.002
91,8.155E-7,227.199,101,431,-91.264,91,0.002
92,8.155E-7,228.440,108,455,-91.264,92,0.002
93,8.155E-7,228.520,103,441,-91.264,93,0.002
94,8.155E-7,230.932,103,495,-91.264,94,0.002
95,8.155E-7,232.970,104,496,-91.264,95,0.002
96,8.155E-7,233.804,98,464,-91.264,96,0.002
97,8.155E-7,236.175,101,463,-91.264,97,0.002
98,8.155E-7,237.299,103,467,-91.264,98,0.002
99,8.155E-7,238.483,105,505,-91.264,99,0.002
100,8.155E-7,239.895,97,485,-91.264,100,0.002
101,8.155E-7,240.424,103,493,-91.264,101,0.002
102,8.155E-7,240.783,94,493,-91.264,102,0.002
103,8.155E-7,242.872,95,487,-91.264,103,0.002
104,8.155E-7,244.514,101,491,-91.264,104,0.002
105,8.155E-7,245.839,102,495,-91.264,105,0.002
106,8.155E-7,246.529,99,514,-91.264,106,0.002
107,8.155E-7,247.994,100,530,-91.264,107,0.002
108,8.155E-7,249.340,95,529,-91.264,108,0.002
109,8.155E-7,250.036,101,542,-91.264,109,0.002
110,8.155E-7,251.406,106,550,-91.264,110,0.002
111,8.155E-7,252.927,104,553,-91.264,111,0.002
112,8.155E-7,253.855,102,571,-91.264,112,0.002
113,8.155E-7,254.581,98,556,-91.264,113,0.002
114,8.155E-7,255.312,104,576,-91.264,114,0.002
115,8.155E-7,255.952,102,570,-91.264,115,0.002
116,8.155E-7,255.791,104,566,-91.264,116,0.002
117,8.155E-7,258.798,105,594,-91.264,117,0.002
118,8.155E-7,259.632,104,591,-91.264,118,0.002
119,8.155E-7,261.818,102,604,-91.264,119,0.002
120,8.155E-7,262.675,101,609,-91.264,120,0.002
121,8.155E-7,263.451,100,605,-91.264,121,0.002
122,8.155E-7,265.062,105,608,-91.264,122,0.002
123,8.155E-7,266.067,99,617,-91.264,123,0.002
124,8.155E-7,266.355,102,644,-91.264,124,0.002
125,8.155E-7,267.851,103,658,-91.264,125,0.002
126,8.155E-7,269.379,104,643,-91.264,126,0.002
127,8.155E-7,270.464,104,641,-91.264,127,0.002
128,8.155E-7,270.551,102,658,-91.264,128,0.002
129,8.155E-7,270.585,103,661,-91.264,129,0.002
130,8.155E-7,271.651,100,653,-91.264,130,0.002
131,8.155E-7,274.438,99,700,-91.264,131,0.002
132,8.155E-7,274.924,101,686,-91.264,132,0.002
133,8.155E-7,276.927,98,687,-91.264,133,0.002
134,8.155E-7,277.534,97,668,-91.264,134,0.002
135,8.155E-7,278.983,102,694,-91.264,135,0.002
136,8.155E-7,280.238,99,684,-91.264,136,0.002
137,8.155E-7,281.698,102,697,-91.264,137,0.002
138,8.155E-7,281.723,103,704,-91.264,138,0.002
139,8.155E-7,282.932,102,700,-91.264,139,0.002
140,8.155E-7,283.722,103,727,-91.264,140,0.002
141,8.155E-7,284.411,103,712,-91.264,141,0.002
142,8.155E-7,285.775,103,724,-91.264,142,0.002
143,8.155E-7,285.920,99,759,-91.264,143,0.002
144,8.155E-7,287.596,104,757,-91.264,144,0.002
145,8.155E-7,288.545,101,782,-91.264,145,0.002
146,8.155E-7,289.028,102,834,-91.264,146,0.002
147,8.155E-7,289.809,104,788,-91.264,147,0.002
148,8.155E-7,290.467,98,791,-91.264,148,0.002
149,8.155E-7,291.885,97,795,-91.264,149,0.002
150,8.155E-7,292.773,97,768,-91.264,150,0.002
