 ,Area,Mean,Min,Max,Angle,Slice,Length
1,4.326E-7,173.290,98,353,-88.862,1,0.002
2,4.326E-7,154.216,97,352,-88.862,2,0.002
3,4.326E-7,129.453,93,249,-88.862,3,0.002
4,4.326E-7,128.219,92,254,-88.862,4,0.002
5,4.326E-7,128.124,94,272,-88.862,5,0.002
6,4.326E-7,128.618,97,283,-88.862,6,0.002
7,4.326E-7,128.827,91,255,-88.862,7,0.002
8,4.326E-7,128.868,91,238,-88.862,8,0.002
9,4.326E-7,129.819,95,240,-88.862,9,0.002
10,4.326E-7,129.562,91,238,-88.862,10,0.002
11,4.326E-7,129.615,89,229,-88.862,11,0.002
12,4.326E-7,129.604,94,238,-88.862,12,0.002
13,4.326E-7,129.960,95,243,-88.862,13,0.002
14,4.326E-7,130.209,93,249,-88.862,14,0.002
15,4.326E-7,130.638,94,233,-88.862,15,0.002
16,4.326E-7,130.406,90,224,-88.862,16,0.002
17,4.326E-7,130.889,94,238,-88.862,17,0.002
18,4.326E-7,130.992,93,237,-88.862,18,0.002
19,4.326E-7,131.836,93,230,-88.862,19,0.002
20,4.326E-7,131.784,95,228,-88.862,20,0.002
21,4.326E-7,132.202,96,249,-88.862,21,0.002
22,4.326E-7,132.448,94,232,-88.862,22,0.002
23,4.326E-7,133.078,96,269,-88.862,23,0.002
24,4.326E-7,133.623,94,241,-88.862,24,0.002
25,4.326E-7,134.237,97,249,-88.862,25,0.002
26,4.326E-7,134.118,92,246,-88.862,26,0.002
27,4.326E-7,134.741,98,255,-88.862,27,0.002
28,4.326E-7,135.778,96,267,-88.862,28,0.002
29,4.326E-7,136.620,92,273,-88.862,29,0.002
30,4.326E-7,136.861,97,267,-88.862,30,0.002
31,4.326E-7,137.524,94,280,-88.862,31,0.002
32,4.326E-7,138.435,98,281,-88.862,32,0.002
33,4.326E-7,138.747,92,292,-88.862,33,0.002
34,4.326E-7,139.657,96,284,-88.862,34,0.002
35,4.326E-7,140.382,98,304,-88.862,35,0.002
36,4.326E-7,140.797,96,318,-88.862,36,0.002
37,4.326E-7,141.442,98,298,-88.862,37,0.002
38,4.326E-7,141.748,98,268,-88.862,38,0.002
39,4.326E-7,142.910,98,303,-88.862,39,0.002
40,4.326E-7,143.441,100,315,-88.862,40,0.002
41,4.326E-7,143.803,101,308,-88.862,41,0.002
42,4.326E-7,144.544,98,280,-88.862,42,0.002
43,4.326E-7,145.392,98,306,-88.862,43,0.002
44,4.326E-7,146.348,96,288,-88.862,44,0.002
45,4.326E-7,146.908,94,307,-88.862,45,0.002
46,4.326E-7,147.910,97,280,-88.862,46,0.002
47,4.326E-7,149.281,97,302,-88.862,47,0.002
48,4.326E-7,149.837,97,297,-88.862,48,0.002
49,4.326E-7,149.738,95,317,-88.862,49,0.002
