 ,Area,Mean,Min,Max,Angle,Slice,Length
1,7.912E-7,168.720,94,413,-88.764,1,0.004
2,7.912E-7,158.429,92,410,-88.764,2,0.004
3,7.912E-7,147.864,96,422,-88.764,3,0.004
4,7.912E-7,140.132,94,425,-88.764,4,0.004
5,7.912E-7,139.185,91,400,-88.764,5,0.004
6,7.912E-7,139.473,95,410,-88.764,6,0.004
7,7.912E-7,139.756,88,420,-88.764,7,0.004
8,7.912E-7,140.153,92,411,-88.764,8,0.004
9,7.912E-7,139.930,94,404,-88.764,9,0.004
10,7.912E-7,139.943,95,411,-88.764,10,0.004
11,7.912E-7,140.638,91,422,-88.764,11,0.004
12,7.912E-7,141.095,94,410,-88.764,12,0.004
13,7.912E-7,140.952,92,427,-88.764,13,0.004
14,7.912E-7,141.440,95,441,-88.764,14,0.004
15,7.912E-7,141.744,91,412,-88.764,15,0.004
16,7.912E-7,141.724,93,405,-88.764,16,0.004
17,7.912E-7,141.293,94,406,-88.764,17,0.004
18,7.912E-7,142.484,92,407,-88.764,18,0.004
19,7.912E-7,142.384,94,411,-88.764,19,0.004
20,7.912E-7,142.933,90,418,-88.764,20,0.004
21,7.912E-7,143.205,96,411,-88.764,21,0.004
22,7.912E-7,143.285,91,408,-88.764,22,0.004
23,7.912E-7,143.326,94,422,-88.764,23,0.004
24,7.912E-7,144.075,93,425,-88.764,24,0.004
25,7.912E-7,143.996,96,422,-88.764,25,0.004
26,7.912E-7,144.044,89,436,-88.764,26,0.004
27,7.912E-7,144.645,94,409,-88.764,27,0.004
28,7.912E-7,144.563,91,408,-88.764,28,0.004
29,7.912E-7,144.318,93,408,-88.764,29,0.004
30,7.912E-7,145.239,94,397,-88.764,30,0.004
31,7.912E-7,145.049,89,406,-88.764,31,0.004
32,7.912E-7,145.638,93,422,-88.764,32,0.004
33,7.912E-7,145.604,94,408,-88.764,33,0.004
34,7.912E-7,145.983,96,415,-88.764,34,0.004
35,7.912E-7,146.440,94,462,-88.764,35,0.004
36,7.912E-7,146.971,97,451,-88.764,36,0.004
37,7.912E-7,146.683,92,423,-88.764,37,0.004
38,7.912E-7,147.493,97,428,-88.764,38,0.004
39,7.912E-7,147.901,97,435,-88.764,39,0.004
40,7.912E-7,147.736,95,432,-88.764,40,0.004
41,7.912E-7,147.508,96,436,-88.764,41,0.004
42,7.912E-7,148.164,96,441,-88.764,42,0.004
43,7.912E-7,148.195,97,427,-88.764,43,0.004
44,7.912E-7,148.390,91,427,-88.764,44,0.004
45,7.912E-7,148.467,97,426,-88.764,45,0.004
46,7.912E-7,148.885,92,431,-88.764,46,0.004
47,7.912E-7,149.056,95,448,-88.764,47,0.004
48,7.912E-7,149.270,96,446,-88.764,48,0.004
49,7.912E-7,150.002,96,422,-88.764,49,0.004
50,7.912E-7,150.559,95,443,-88.764,50,0.004
51,7.912E-7,150.136,97,461,-88.764,51,0.004
52,7.912E-7,150.980,95,428,-88.764,52,0.004
53,7.912E-7,151.035,89,438,-88.764,53,0.004
54,7.912E-7,151.822,96,455,-88.764,54,0.004
55,7.912E-7,151.511,95,449,-88.764,55,0.004
56,7.912E-7,152.125,96,442,-88.764,56,0.004
57,7.912E-7,152.340,96,437,-88.764,57,0.004
58,7.912E-7,153.018,97,451,-88.764,58,0.004
