 ,Area,Mean,Min,Max,Angle,Slice,Length
1,8.554E-7,129.675,90,211,-90.731,1,0.004
2,8.554E-7,132.071,95,218,-90.731,2,0.004
3,8.554E-7,126.667,98,223,-90.731,3,0.004
4,8.554E-7,117.005,94,187,-90.731,4,0.004
5,8.554E-7,114.349,93,176,-90.731,5,0.004
6,8.554E-7,113.583,93,179,-90.731,6,0.004
7,8.554E-7,113.022,94,172,-90.731,7,0.004
8,8.554E-7,112.414,92,179,-90.731,8,0.004
9,8.554E-7,111.839,89,172,-90.731,9,0.004
10,8.554E-7,110.977,94,169,-90.731,10,0.004
11,8.554E-7,110.906,94,179,-90.731,11,0.004
12,8.554E-7,110.677,95,179,-90.731,12,0.004
13,8.554E-7,110.786,95,176,-90.731,13,0.004
14,8.554E-7,110.533,95,172,-90.731,14,0.004
15,8.554E-7,110.551,93,171,-90.731,15,0.004
16,8.554E-7,110.477,95,181,-90.731,16,0.004
17,8.554E-7,110.575,93,166,-90.731,17,0.004
18,8.554E-7,110.539,92,169,-90.731,18,0.004
19,8.554E-7,110.750,91,167,-90.731,19,0.004
20,8.554E-7,110.842,92,168,-90.731,20,0.004
21,8.554E-7,111.027,94,175,-90.731,21,0.004
22,8.554E-7,111.114,95,179,-90.731,22,0.004
23,8.554E-7,111.107,95,170,-90.731,23,0.004
24,8.554E-7,111.294,91,168,-90.731,24,0.004
25,8.554E-7,111.487,91,176,-90.731,25,0.004
26,8.554E-7,111.682,91,169,-90.731,26,0.004
27,8.554E-7,111.782,96,178,-90.731,27,0.004
28,8.554E-7,111.723,93,168,-90.731,28,0.004
29,8.554E-7,112.381,91,179,-90.731,29,0.004
30,8.554E-7,112.545,96,180,-90.731,30,0.004
31,8.554E-7,112.553,95,182,-90.731,31,0.004
32,8.554E-7,112.645,94,176,-90.731,32,0.004
33,8.554E-7,112.984,97,172,-90.731,33,0.004
34,8.554E-7,112.978,96,176,-90.731,34,0.004
35,8.554E-7,113.343,96,178,-90.731,35,0.004
36,8.554E-7,113.818,93,177,-90.731,36,0.004
37,8.554E-7,113.645,93,170,-90.731,37,0.004
38,8.554E-7,114.034,91,184,-90.731,38,0.004
39,8.554E-7,114.324,93,172,-90.731,39,0.004
40,8.554E-7,114.557,93,174,-90.731,40,0.004
41,8.554E-7,114.848,94,175,-90.731,41,0.004
42,8.554E-7,115.219,94,190,-90.731,42,0.004
43,8.554E-7,115.469,94,187,-90.731,43,0.004
