x - $T=2.1$h,y - $T=2.1$h,x - $T=3.2$h,y - $T=3.2$h,x - $T=4.2$h,y - $T=4.2$h,x - $T=5.2$h,y - $T=5.2$h,x - $T=6.3$h,y - $T=6.3$h,x - $T=7.3$h,y - $T=7.3$h,x - $T=8.3$h,y - $T=8.3$h
0.05,28.493675326904732,0.05,46.19333311057974,0.05,74.06919194376437,0.05,121.69919176711743,0.05,199.62418862463574,0.05,276.086139086844,0.05,342.65356260059343
0.15000000000000002,29.905850506724434,0.15000000000000002,48.6574401719308,0.15000000000000002,77.12079444171121,0.15000000000000002,125.8787930279083,0.15000000000000002,203.14912158002372,0.15000000000000002,277.9398689042913,0.15000000000000002,344.5681347965543
0.25,34.42666084397987,0.25,55.68257047816005,0.25,87.33973530611951,0.25,139.90597983293773,0.25,214.87918699564327,0.25,289.931388725634,0.25,356.3384365610826
0.35000000000000003,39.7235090884502,0.35000000000000003,64.18483189235954,0.35000000000000003,99.25158152765579,0.35000000000000003,151.38224636850347,0.35000000000000003,227.07833479827494,0.35000000000000003,298.43600610832186,0.35000000000000003,363.95852300701114
0.45,48.14495511242733,0.45,76.66823929428723,0.45,115.61965633781195,0.45,171.00018249192323,0.45,240.40236261375173,0.45,309.2734380599946,0.45,372.093701890922
0.55,57.050256705375965,0.55,89.44202012235426,0.55,133.99303282357496,0.55,190.36616088135807,0.55,259.1316764107614,0.55,324.0411425249264,0.55,386.3858449017256
0.65,69.14095998522319,0.65,107.04860718821094,0.65,154.65296271871733,0.65,209.38152140459815,0.65,272.33048249056776,0.65,335.29293062261985,0.65,394.84415685302844
0.75,82.93978912011326,0.75,126.39091806452386,0.75,176.44437994441432,0.75,229.73294094967247,0.75,289.14933844307035,0.75,348.53429528563424,0.75,406.8690893472862
0.8500000000000001,97.62229903966058,0.8500000000000001,146.72711264181444,0.8500000000000001,198.06419055201948,0.8500000000000001,250.10825250735277,0.8500000000000001,306.8806174654619,0.8500000000000001,363.89874215177645,0.8500000000000001,420.92572709409745
0.9500000000000001,111.90884289983164,0.9500000000000001,164.87866743805887,0.9500000000000001,215.87080121835783,0.9500000000000001,265.7290238962669,0.9500000000000001,319.4511654688815,0.9500000000000001,375.6630768387062,0.9500000000000001,433.2765709943224
