x - _child0,y - _child0,x - _child1,y - _child1,x - _child2,y - _child2,x - _child3,y - _child3,x - _child4,y - _child4,x - _child5,y - _child5,x - _child6,y - _child6,x - _child7,y - _child7,x - _child8,y - _child8,x - _child9,y - _child9,x - _child10,y - _child10,x - _child11,y - _child11,x - _child12,y - _child12,x - _child13,y - _child13,x - _child14,y - _child14,x - _child15,y - _child15,x - _child16,y - _child16,x - _child17,y - _child17
0.0,26.5734,0.0,15.7013,0.0,22.3445,0.0,15.701,0.0,15.0974,0.0,14.4935,0.0,18.1209,0.0,19.9148,0.0,15.7047,0.0,18.0916,0.0,16.9128,0.0,13.289,0.0,16.3088,0.0,13.8927,0.0,13.8927,0.0,13.2886,0.0,13.8927,0.0,25.9459
1.0,25.9694,1.0,15.7013,1.0,22.3445,1.0,15.097,1.0,14.4935,1.0,14.4935,1.0,18.1209,1.0,19.9148,1.0,15.7047,1.0,31.3588,1.0,16.9128,1.0,13.289,1.0,16.9128,1.0,17.5168,1.0,20.537,1.0,12.6846,1.0,13.8927,1.0,25.9459
2.0,26.5734,2.0,15.7013,2.0,22.3445,2.0,15.097,2.0,15.0974,2.0,13.8896,2.0,17.5168,2.0,19.9148,2.0,21.141,2.0,37.9924,2.0,16.9128,2.0,13.289,2.0,16.3088,2.0,23.5571,2.0,22.9531,2.0,13.2886,2.0,14.4967,2.0,25.9459
3.0,26.5734,3.0,15.7013,3.0,22.3445,3.0,14.494,3.0,15.0974,3.0,14.4935,3.0,18.1209,3.0,19.9148,3.0,27.1813,3.0,41.6108,3.0,17.5168,3.0,28.993,3.0,16.3088,3.0,26.5773,3.0,25.3692,3.0,14.4967,3.0,22.9531,3.0,24.1357
4.0,25.9694,4.0,16.3052,4.0,22.3445,4.0,14.494,4.0,14.4935,4.0,14.4935,4.0,21.745,4.0,27.1566,4.0,30.2014,4.0,44.023,4.0,18.1209,4.0,33.826,4.0,24.1611,4.0,28.9934,4.0,27.7853,4.0,21.141,4.0,24.7652,4.0,32.5832
5.0,26.5734,5.0,23.552,5.0,21.7406,5.0,14.494,5.0,15.0974,5.0,16.3052,5.0,30.8055,5.0,37.4157,5.0,32.0135,5.0,45.8321,5.0,27.1813,5.0,36.242,5.0,25.9732,5.0,30.8055,5.0,28.9934,5.0,24.1611,5.0,25.3692,5.0,35.6002
6.0,25.9694,6.0,30.7988,6.0,22.3445,6.0,13.89,6.0,18.7208,6.0,24.7598,6.0,35.6377,6.0,41.0366,6.0,33.8256,6.0,47.6413,6.0,30.8055,6.0,38.658,6.0,27.7853,6.0,32.6175,6.0,30.2014,6.0,25.9732,6.0,26.5773,6.0,36.807
7.0,25.9694,7.0,34.4221,7.0,21.7406,7.0,14.494,7.0,24.7598,7.0,28.3832,7.0,38.6578,7.0,44.054,7.0,36.2417,7.0,48.8474,7.0,33.8256,7.0,40.47,7.0,28.9934,7.0,33.8256,7.0,31.4095,7.0,27.7853,7.0,27.7853,7.0,38.6172
8.0,25.9694,8.0,36.8377,8.0,36.2343,8.0,22.344,8.0,28.9871,8.0,30.7988,8.0,41.0739,8.0,45.8644,8.0,38.0538,8.0,50.0535,8.0,35.0337,8.0,42.282,8.0,30.8055,8.0,35.0337,8.0,32.0135,8.0,28.9934,8.0,27.1813,8.0,39.8239
9.0,34.4246,9.0,38.6494,9.0,43.4812,9.0,33.214,9.0,32.0066,9.0,32.6105,9.0,43.4901,9.0,47.0714,9.0,39.2619,9.0,50.6566,9.0,36.8457,9.0,43.49,9.0,32.0135,9.0,35.6377,9.0,32.6175,9.0,29.5974,9.0,28.9934,9.0,41.0307
10.0,38.6522,10.0,41.065,10.0,48.3124,10.0,38.649,10.0,34.4221,10.0,34.4221,10.0,44.6981,10.0,48.8818,10.0,40.4699,10.0,51.8627,10.0,37.4498,10.0,45.302,10.0,32.6175,10.0,36.8457,10.0,33.2216,10.0,30.8055,10.0,26.5773,10.0,41.6341
11.0,43.4837,11.0,42.2728,11.0,50.1241,11.0,45.292,11.0,36.2338,11.0,36.2338,11.0,46.5102,11.0,51.2957,11.0,41.0739,11.0,52.4657,11.0,38.6578,11.0,46.51,11.0,33.8256,11.0,37.4498,11.0,33.8256,11.0,31.4095,11.0,27.1813,11.0,42.8409
12.0,46.5034,12.0,43.4806,12.0,53.1436,12.0,48.312,12.0,38.0455,12.0,37.4416,12.0,47.7183,12.0,52.5027,12.0,41.0739,12.0,53.6719,12.0,39.8659,12.0,47.718,12.0,33.8256,12.0,38.0538,12.0,34.4296,12.0,32.0135,12.0,30.2014,12.0,44.0477
13.0,49.5231,13.0,44.6884,13.0,55.5593,13.0,51.935,13.0,39.8572,13.0,38.0455,13.0,48.9263,13.0,53.7096,13.0,42.886,13.0,54.2749,13.0,40.4699,13.0,48.322,13.0,35.0337,13.0,39.2619,13.0,35.0337,13.0,33.2216,13.0,28.3893,13.0,44.6511
14.0,51.3349,14.0,45.2923,14.0,57.371,14.0,53.747,14.0,40.4611,14.0,39.2533,14.0,50.7384,14.0,54.9166,14.0,43.4901,14.0,55.481,14.0,41.678,14.0,48.926,14.0,35.6377,14.0,39.8659,14.0,35.6377,14.0,33.8256,14.0,28.9934,14.0,45.8579
15.0,53.1468,15.0,47.104,15.0,58.5788,15.0,54.351,15.0,40.4611,15.0,40.4611,15.0,51.9465,15.0,56.1236,15.0,44.0941,15.0,56.0841,15.0,42.282,15.0,50.134,15.0,36.2417,15.0,40.4699,15.0,35.6377,15.0,34.4296,15.0,28.9934,15.0,46.4613
16.0,54.3546,16.0,48.3118,16.0,60.3905,16.0,55.559,16.0,41.065,16.0,41.6689,16.0,52.5505,16.0,56.727,16.0,44.6981,16.0,56.6871,16.0,42.886,16.0,50.738,16.0,36.8457,16.0,41.0739,16.0,36.2417,16.0,34.4296,16.0,30.2014,16.0,47.6681
17.0,55.5625,17.0,48.9157,17.0,61.5983,17.0,56.766,17.0,41.6689,17.0,42.2728,17.0,53.7585,17.0,56.727,17.0,45.3021,17.0,57.8932,17.0,43.4901,17.0,51.342,17.0,37.4498,17.0,41.678,17.0,36.8457,17.0,35.0337,17.0,30.2014,17.0,48.2715
18.0,56.1665,18.0,50.1235,18.0,62.8061,18.0,57.37,18.0,42.2728,18.0,42.8767,18.0,54.9666,18.0,58.5375,18.0,45.9062,18.0,58.4963,18.0,44.0941,18.0,51.946,18.0,37.4498,18.0,42.282,18.0,36.8457,18.0,35.6377,18.0,30.2014,18.0,49.4782
19.0,57.3743,19.0,50.7274,19.0,64.0139,19.0,57.974,19.0,42.8767,19.0,43.4806,19.0,55.5706,19.0,58.5375,19.0,46.5102,19.0,59.0993,19.0,44.6981,19.0,52.55,19.0,38.0538,19.0,42.886,19.0,37.4498,19.0,36.2417,19.0,31.4095,19.0,50.0816
20.0,57.9783,20.0,51.3313,20.0,64.6178,20.0,59.182,20.0,43.4806,20.0,44.0845,20.0,56.7787,20.0,60.3479,20.0,47.1142,20.0,59.7024,20.0,45.3021,20.0,53.155,20.0,38.6578,20.0,43.4901,20.0,37.4498,20.0,36.8457,20.0,32.0135,20.0,50.685
21.0,58.5822,21.0,52.5391,21.0,100.2482,21.0,59.786,21.0,43.4806,21.0,44.6884,21.0,57.3827,21.0,60.9514,21.0,47.7183,21.0,60.3055,21.0,45.9062,21.0,53.155,21.0,38.6578,21.0,44.0941,21.0,38.0538,21.0,36.8457,21.0,32.0135,21.0,51.2884
22.0,59.1862,22.0,53.143,22.0,66.4295,22.0,60.39,22.0,44.0845,22.0,44.6884,22.0,58.5908,22.0,60.9514,22.0,48.9263,22.0,60.9085,22.0,46.5102,22.0,53.759,22.0,39.2619,22.0,44.0941,22.0,38.0538,22.0,37.4498,22.0,32.0135,22.0,51.8918
23.0,59.7901,23.0,53.7469,23.0,67.6374,23.0,60.39,23.0,44.6884,23.0,45.2923,23.0,59.1948,23.0,62.7618,23.0,49.5303,23.0,61.5116,23.0,47.1142,23.0,53.759,23.0,39.8659,23.0,44.6981,23.0,38.0538,23.0,38.0538,23.0,32.6175,23.0,52.4952
24.0,60.394,24.0,54.3507,24.0,68.2413,24.0,60.994,24.0,44.6884,24.0,45.8962,24.0,59.7988,24.0,63.9688,24.0,49.5303,24.0,62.1146,24.0,47.1142,24.0,53.759,24.0,39.8659,24.0,45.3021,24.0,38.6578,24.0,38.0538,24.0,33.2216,24.0,53.0986
25.0,60.394,25.0,54.9546,25.0,68.8452,25.0,61.598,25.0,45.8962,25.0,46.5001,25.0,60.4029,25.0,63.9688,25.0,50.1344,25.0,62.1146,25.0,47.7183,25.0,54.363,25.0,40.4699,25.0,45.3021,25.0,38.6578,25.0,38.6578,25.0,33.2216,25.0,53.702
26.0,60.998,26.0,54.9546,26.0,69.4491,26.0,61.598,26.0,45.8962,26.0,47.104,26.0,61.0069,26.0,64.5723,26.0,50.7384,26.0,62.7177,26.0,47.7183,26.0,54.967,26.0,40.4699,26.0,45.9062,26.0,39.2619,26.0,38.6578,26.0,33.8256,26.0,53.702
27.0,61.6019,27.0,56.1624,27.0,70.053,27.0,62.201,27.0,45.8962,27.0,47.104,27.0,61.6109,27.0,65.7792,27.0,50.7384,27.0,63.3207,27.0,48.3223,27.0,54.967,27.0,41.0739,27.0,46.5102,27.0,39.2619,27.0,39.2619,27.0,34.4296,27.0,54.3054
28.0,61.6019,28.0,56.1624,28.0,71.8647,28.0,62.201,28.0,46.5001,28.0,47.7079,28.0,62.2149,28.0,65.1757,28.0,51.3424,28.0,63.9238,28.0,48.3223,28.0,54.967,28.0,41.0739,28.0,46.5102,28.0,39.8659,28.0,39.8659,28.0,33.8256,28.0,54.9088
29.0,62.2059,29.0,56.7663,29.0,71.8647,29.0,62.805,29.0,45.8962,29.0,48.3118,29.0,62.819,29.0,65.7792,29.0,51.3424,29.0,64.5268,29.0,48.9263,29.0,55.571,29.0,41.0739,29.0,47.1142,29.0,39.8659,29.0,39.8659,29.0,34.4296,29.0,55.5122
