x - _child0,y - _child0,x - $\tau_r$=16±1.6s,y - $\tau_r$=16±1.6s,x - _child3,y - _child3,x - $\tau_r^{\prime}$=55±15.2s,y - $\tau_r^{\prime}$=55±15.2s,x - _child6,y - _child6,x - $\tau_{\mathrm{K}}$=93±19.5s,y - $\tau_{\mathrm{K}}$=93±19.5s
4.5,19.54,0,16.335263157894737,4.5,58.48063207348488,0,55.837070043897846,4.5,126.33643322578607,0,93.10665161670546
4.67,23.34,1,16.335263157894737,4.67,171.65494100042974,1,55.837070043897846,4.67,151.89473018283041,1,93.10665161670546
5.15,19.84,,,5.15,44.53529846043513,,,5.15,132.40969190864809,,
5.25,18.17,,,5.25,30.076420175219795,,,5.25,14.487252483077118,,
6.0,18.27,,,6.0,76.4949858046362,,,6.0,109.12886695767699,,
6.07,15.85,,,6.07,34.53426384221578,,,6.07,67.88131840323908,,
6.11,12.2,,,6.11,42.559244517867555,,,6.11,75.47289175681661,,
6.18,21.46,,,6.18,51.16781453909677,,,6.18,122.0345416587588,,
6.25,15.37,,,6.25,29.674897789478525,,,6.25,50.92680458024927,,
6.5,10.41,,,6.5,61.53605874472902,,,6.5,47.63712279369901,,
6.41,15.58,,,6.41,65.33978310261264,,,6.41,79.77478332384388,,
7.04,18.06,,,7.04,49.52430687143696,,,7.04,52.69817169608402,,
7.15,14.56,,,7.15,60.47246966854877,,,7.15,129.87916745745557,,
7.23,14.02,,,7.23,65.07409372295722,,,7.23,164.80040488391222,,
7.4,17.95,,,7.4,31.24744187238425,,,7.4,84.8358322262289,,
7.7,13.1,,,7.7,34.5216620358164,,,7.7,106.5983425064845,,
7.85,14.24,,,7.85,42.559244517867555,,,7.85,81.04004554944014,,
7.94,13.21,,,7.94,58.80694449594035,,,7.94,55.73480103751503,,
8.2,15.2,,,8.2,52.643827598901396,,,8.2,115.45517808565828,,
