x - _child0,y - _child0,x - $k$=5.4±0.54$\times$10$^{\mathdefault{-3}}$kg/s$^{\mathdefault{2}}$,y - $k$=5.4±0.54$\times$10$^{\mathdefault{-3}}$kg/s$^{\mathdefault{2}}$
4.5,5.000600889732088,0,5.441102015535641
4.67,4.1808639881860215,1,5.441102015535641
5.15,4.650775869414552,,
5.25,4.037296516365451,,
6.0,4.625294199662711,,
6.07,5.615145286302412,,
6.11,5.571245839677301,,
6.18,4.124688639527862,,
6.25,4.85619158415778,,
6.5,5.011914796510882,,
6.41,5.2066859308551505,,
7.04,7.122594355953516,,
7.15,5.401615917471564,,
7.23,6.57004498842082,,
7.4,6.835390204819643,,
7.7,7.470979552650804,,
7.85,6.2527838198012775,,
7.94,6.7797602526358824,,
8.2,4.067065663031459,,
