x - _child0,y - _child0,x - _child1,y - _child1,x - _child2,y - _child2,x - _child3,y - _child3,x - _child4,y - _child4,x - _child5,y - _child5,x - _child6,y - _child6,x - _child7,y - _child7,x - _child8,y - _child8,x - _child9,y - _child9,x - _child10,y - _child10,x - _child11,y - _child11,x - _child12,y - _child12,x - _child13,y - _child13,x - _child14,y - _child14,x - _child15,y - _child15,x - _child16,y - _child16,x - _child17,y - _child17
1.0,5.749,1.0,5.553,1.0,5.693,1.0,5.886,1.0,6.832,1.0,6.036,1.0,5.563,1.0,5.282,1.0,6.046,1.0,5.124,1.0,5.933,1.0,7.332,1.0,5.205,1.0,6.085,1.0,4.299,1.0,6.394,1.0,7.14,1.0,4.775
2.0,6.215,2.0,7.653,2.0,5.929,2.0,6.254,2.0,8.106,2.0,7.455,2.0,6.523,2.0,6.353,2.0,7.753,2.0,8.362,2.0,6.191,2.0,9.227,2.0,5.631,2.0,6.588,2.0,5.868,2.0,7.348,2.0,8.309,2.0,5.394
3.0,7.612,3.0,8.263,3.0,5.943,3.0,6.483,3.0,9.115,3.0,8.282,3.0,7.266,3.0,7.274,3.0,8.536,3.0,9.005,3.0,7.609,3.0,9.874,3.0,6.277,3.0,7.478,3.0,6.362,3.0,8.417,3.0,8.93,3.0,6.383
4.0,7.921,4.0,8.591,4.0,5.979,4.0,6.482,4.0,10.123,4.0,8.863,4.0,7.574,4.0,7.568,4.0,8.777,4.0,9.163,4.0,7.864,4.0,10.147,4.0,6.481,4.0,8.189,4.0,6.474,4.0,8.78,4.0,9.386,4.0,6.508
5.0,8.329,5.0,8.877,5.0,5.949,5.0,6.549,5.0,10.717,5.0,9.202,5.0,7.902,5.0,7.687,5.0,9.018,5.0,9.451,5.0,7.999,5.0,10.383,5.0,6.616,5.0,8.377,5.0,6.604,5.0,9.002,5.0,9.611,5.0,6.605
6.0,8.627,6.0,8.974,6.0,6.019,6.0,9.095,6.0,11.028,6.0,9.375,6.0,8.104,6.0,7.913,6.0,9.288,6.0,9.656,6.0,8.18,6.0,10.554,6.0,6.694,6.0,8.479,6.0,6.781,6.0,9.157,6.0,9.814,6.0,6.679
7.0,8.8,7.0,9.098,7.0,8.382,7.0,10.429,7.0,11.151,7.0,9.481,7.0,8.218,7.0,8.013,7.0,9.307,7.0,9.839,7.0,8.264,7.0,10.702,7.0,6.758,7.0,8.674,7.0,6.782,7.0,9.351,7.0,9.982,7.0,6.842
8.0,8.985,8.0,9.115,8.0,9.091,8.0,10.973,8.0,11.364,8.0,9.743,8.0,8.358,8.0,8.17,8.0,9.448,8.0,9.947,8.0,8.38,8.0,10.9,8.0,6.828,8.0,8.671,8.0,6.831,8.0,9.445,8.0,10.189,8.0,6.898
9.0,9.064,9.0,9.286,9.0,9.494,9.0,11.739,9.0,11.514,9.0,9.766,9.0,8.386,9.0,8.311,9.0,9.593,9.0,10.131,9.0,8.423,9.0,10.873,9.0,6.861,9.0,8.855,9.0,6.849,9.0,9.559,9.0,10.276,9.0,6.945
10.0,9.171,10.0,9.292,10.0,9.729,10.0,12.886,10.0,11.736,10.0,9.875,10.0,8.552,10.0,8.368,10.0,9.736,10.0,10.323,10.0,8.594,10.0,11.217,10.0,6.986,10.0,8.874,10.0,6.935,10.0,9.662,10.0,10.329,10.0,7.029
