x - Pipette experiment,y - Pipette experiment,x - Fit with $\tau_r$,y - Fit with $\tau_r$,x - Fit with $\tau_r^{\prime} > \tau_r$,y - Fit with $\tau_r^{\prime} > \tau_r$
0.0,19.9148,0.0,18.169530253756665,181.0,103.7984
1.0,19.9148,1.0,21.473745917820477,182.0,102.11274789841264
2.0,19.9148,2.0,24.582303457068864,183.0,100.48295332637396
3.0,19.9148,3.0,27.50752746556803,184.0,98.90716533041359
4.0,27.1566,4.0,30.26096620561141,185.0,97.3835942921896
5.0,37.4157,5.0,32.85344050921031,186.0,95.9105098960236
6.0,41.0366,6.0,35.29508959925743,187.0,94.48623916378568
7.0,44.054,7.0,37.5954140243946,188.0,93.10916455489753
8.0,45.8644,8.0,39.76331588939361,189.0,91.77772212929575
9.0,47.0714,9.0,41.80713655140714,190.0,90.49039977126927
10.0,48.8818,10.0,43.73469194171578,191.0,89.24573547215329
11.0,51.2957,11.0,45.55330566254207,192.0,88.04231566992999
12.0,52.5027,12.0,47.26983999908135,193.0,86.87877364384975
13.0,53.7096,13.0,48.89072497807058,194.0,85.75378796224992
14.0,54.9166,14.0,50.42198559594478,195.0,84.6660809818083
15.0,56.1236,15.0,51.869267331879584,196.0,83.61441739652702
16.0,56.727,16.0,53.23786005375558,197.0,82.59760283479858
17.0,56.727,17.0,54.532720418275154,198.0,81.61448250296122
18.0,58.5375,18.0,55.758492860085845,199.0,80.66393987380273
19.0,58.5375,19.0,56.91952925878922,200.0,79.74489541852338
20.0,60.3479,20.0,58.01990736711597,201.0,78.85630538071781
21.0,60.9514,21.0,59.06344807830194,202.0,77.9971605909837
22.0,60.9514,22.0,60.05373160578421,203.0,77.16648532081058
23.0,62.7618,23.0,60.99411264373087,204.0,76.36333617444757
24.0,63.9688,24.0,61.88773457260211,205.0,75.58680101749123
25.0,63.9688,25.0,62.737542769896535,206.0,74.83599794097688
26.0,64.5723,26.0,63.54629708244758,207.0,74.11007425979695
27.0,65.7792,27.0,64.31658351308435,208.0,73.40820554430857
28.0,65.1757,28.0,65.05082517114421,209.0,72.72959468403111
29.0,65.7792,29.0,65.75129253320792,210.0,72.07347098236978
