time (s),keratin (a.u.)
1.0,5.749
2.0,6.215
3.0,7.612
4.0,7.921
5.0,8.329
6.0,8.627
7.0,8.8
8.0,8.985
9.0,9.064
10.0,9.171
11.0,9.208
12.0,9.287
13.0,9.341
14.0,9.417
15.0,9.468
16.0,9.547
17.0,9.553
18.0,9.629
19.0,9.651
20.0,9.743
21.0,9.749
22.0,9.763
23.0,9.83
24.0,9.865
25.0,9.985
26.0,9.985
27.0,9.996
28.0,10.078
29.0,10.04
30.0,10.176
31.0,10.191
32.0,10.168
33.0,10.292
34.0,10.36
35.0,10.411
36.0,10.288
37.0,10.359
38.0,10.471
39.0,10.549
40.0,10.513
41.0,10.507
42.0,10.587
43.0,10.643
44.0,10.684
45.0,10.697
46.0,10.774
47.0,10.749
48.0,10.868
49.0,10.88
50.0,10.886
51.0,10.916
52.0,10.975
53.0,10.959
54.0,11.036
55.0,11.123
56.0,11.055
57.0,11.168
58.0,11.087
59.0,11.146
60.0,11.235
61.0,11.2
62.0,11.258
63.0,11.318
64.0,11.355
65.0,11.369
66.0,11.505
67.0,11.389
68.0,11.482
69.0,11.472
70.0,11.568
71.0,11.503
72.0,11.587
73.0,11.575
74.0,11.667
75.0,11.786
76.0,11.728
77.0,11.744
78.0,11.796
79.0,11.811
80.0,11.975
81.0,11.86
82.0,11.936
83.0,12.001
84.0,12.076
85.0,12.073
86.0,12.066
87.0,12.068
88.0,12.11
89.0,12.217
90.0,12.233
91.0,12.267
92.0,12.336
93.0,12.304
94.0,12.396
95.0,12.292
96.0,12.288
97.0,12.403
98.0,12.477
99.0,12.465
100.0,12.457
101.0,12.6
102.0,12.593
103.0,12.521
104.0,12.54
105.0,12.579
106.0,12.666
107.0,12.629
108.0,12.699
109.0,12.738
110.0,12.747
111.0,12.743
112.0,12.756
113.0,12.691
114.0,12.749
115.0,12.807
116.0,12.804
117.0,12.806
118.0,12.858
119.0,12.856
120.0,12.858
121.0,12.92
122.0,12.863
123.0,12.994
124.0,12.929
125.0,12.969
126.0,12.974
127.0,13.003
128.0,13.099
129.0,13.152
130.0,13.109
131.0,13.112
132.0,13.085
133.0,13.152
134.0,13.239
135.0,13.193
136.0,13.241
137.0,13.321
138.0,13.278
139.0,13.219
140.0,13.305
141.0,13.346
142.0,13.444
143.0,13.351
144.0,13.502
145.0,13.396
146.0,13.386
147.0,13.493
148.0,13.497
149.0,13.483
150.0,13.596
151.0,13.526
152.0,13.584
153.0,13.617
154.0,13.623
155.0,13.681
156.0,13.744
157.0,13.71
158.0,13.771
159.0,13.868
160.0,13.789
161.0,13.923
162.0,13.802
163.0,13.741
164.0,13.758
165.0,13.791
166.0,13.833
167.0,13.844
168.0,13.857
169.0,13.748
170.0,13.803
171.0,13.855
172.0,13.835
173.0,13.825
174.0,13.884
175.0,13.902
176.0,13.963
177.0,13.952
178.0,13.959
179.0,13.992
180.0,13.916
181.0,13.992
182.0,13.958
183.0,13.914
184.0,14.007
185.0,13.958
186.0,13.849
187.0,14.035
188.0,13.947
189.0,13.987
190.0,14.035
191.0,14.048
192.0,14.009
193.0,13.996
194.0,14.004
195.0,13.931
196.0,13.935
197.0,13.939
198.0,14.021
199.0,14.038
200.0,14.002
201.0,13.913
202.0,13.938
203.0,13.909
204.0,13.87
205.0,13.912
206.0,13.919
207.0,13.8
208.0,13.866
209.0,13.759
210.0,13.75
211.0,13.694
212.0,13.674
213.0,13.697
214.0,13.649
215.0,13.612
