time (s),height (micro m)
0.0,13.8927
1.0,17.5168
2.0,23.5571
3.0,26.5773
4.0,28.9934
5.0,30.8055
6.0,32.6175
7.0,33.8256
8.0,35.0337
9.0,35.6377
10.0,36.8457
11.0,37.4498
12.0,38.0538
13.0,39.2619
14.0,39.8659
15.0,40.4699
16.0,41.0739
17.0,41.678
18.0,42.282
19.0,42.886
20.0,43.4901
21.0,44.0941
22.0,44.0941
23.0,44.6981
24.0,45.3021
25.0,45.3021
26.0,45.9062
27.0,46.5102
28.0,46.5102
29.0,47.1142
30.0,47.7183
31.0,47.7183
32.0,48.3223
33.0,48.3223
34.0,48.3223
35.0,48.9263
36.0,49.5303
37.0,49.5303
38.0,50.1344
39.0,50.1344
40.0,50.7384
41.0,50.7384
42.0,51.3424
43.0,51.3424
44.0,51.9465
45.0,52.5505
46.0,52.5505
47.0,53.1545
48.0,53.1545
49.0,53.7585
50.0,53.7585
51.0,54.3626
52.0,54.3626
53.0,54.9666
54.0,54.9666
55.0,55.5706
56.0,56.1747
57.0,56.1747
58.0,56.1747
59.0,56.7787
60.0,57.3827
61.0,57.3827
62.0,57.3827
63.0,57.9867
64.0,57.9867
65.0,58.5908
66.0,58.5908
67.0,59.1948
68.0,59.7988
69.0,59.7988
70.0,59.7988
71.0,60.4029
72.0,60.4029
73.0,61.0069
74.0,61.0069
75.0,61.0069
76.0,61.6109
77.0,61.6109
78.0,61.6109
79.0,62.2149
80.0,62.2149
81.0,62.2149
82.0,62.819
83.0,62.819
84.0,63.423
85.0,63.423
86.0,63.423
87.0,64.027
88.0,64.027
89.0,64.6311
90.0,64.6311
91.0,64.6311
92.0,64.6311
93.0,64.6311
94.0,64.6311
95.0,65.2351
96.0,65.2351
97.0,65.8391
98.0,65.8391
99.0,65.8391
100.0,65.8391
101.0,65.8391
102.0,66.4431
103.0,66.4431
104.0,67.0472
105.0,67.0472
106.0,67.0472
107.0,67.0472
108.0,67.0472
109.0,67.6512
110.0,67.6512
111.0,67.6512
112.0,67.6512
113.0,68.2552
114.0,68.2552
115.0,68.2552
116.0,68.2552
117.0,68.2552
118.0,68.8593
119.0,68.8593
120.0,68.8593
121.0,69.4633
122.0,69.4633
123.0,69.4633
124.0,69.4633
125.0,70.0673
126.0,70.0673
127.0,70.0673
128.0,70.0673
129.0,70.6713
130.0,70.0673
131.0,70.6713
132.0,70.6713
133.0,70.6713
134.0,71.2754
135.0,71.2754
136.0,70.6713
137.0,71.8794
138.0,71.2754
139.0,71.2754
140.0,71.8794
141.0,71.8794
142.0,71.8794
143.0,71.2754
144.0,71.8794
145.0,72.4834
146.0,71.8794
147.0,71.8794
148.0,73.0875
149.0,73.0875
150.0,73.0875
151.0,73.0875
152.0,73.0875
153.0,73.0875
154.0,73.0875
155.0,73.0875
156.0,73.6915
157.0,73.6915
158.0,73.6915
159.0,73.6915
160.0,68.8593
161.0,64.027
162.0,61.0069
163.0,58.5908
164.0,56.7787
165.0,54.9666
166.0,53.1545
167.0,51.9465
168.0,50.7384
169.0,49.5303
170.0,48.9263
171.0,47.7183
172.0,47.1142
173.0,46.5102
174.0,45.9062
175.0,44.6981
176.0,44.0941
177.0,43.4901
178.0,42.886
179.0,42.886
180.0,42.282
181.0,41.678
182.0,41.0739
183.0,40.4699
184.0,40.4699
185.0,39.8659
186.0,39.8659
187.0,39.2619
188.0,39.2619
189.0,39.2619
190.0,38.6578
191.0,38.0538
192.0,38.0538
193.0,37.4498
194.0,38.0538
195.0,37.4498
196.0,36.8457
197.0,37.4498
198.0,36.8457
199.0,36.8457
200.0,36.2417
201.0,36.8457
202.0,35.6377
203.0,35.6377
204.0,35.6377
205.0,35.0337
206.0,35.0337
207.0,35.0337
208.0,34.4296
209.0,34.4296
210.0,34.4296
211.0,34.4296
212.0,33.8256
213.0,33.8256
214.0,33.2216
215.0,33.8256
216.0,33.2216
217.0,33.2216
218.0,33.2216
219.0,32.6175
220.0,32.6175
221.0,32.0135
222.0,32.0135
223.0,32.0135
224.0,32.0135
225.0,32.0135
226.0,31.4095
227.0,31.4095
228.0,31.4095
229.0,31.4095
230.0,30.8055
231.0,30.8055
232.0,30.8055
233.0,30.8055
234.0,30.8055
235.0,30.2014
236.0,30.8055
237.0,30.8055
238.0,30.2014
239.0,30.2014
240.0,30.2014
241.0,29.5974
242.0,29.5974
243.0,30.2014
244.0,29.5974
245.0,29.5974
246.0,29.5974
247.0,28.9934
248.0,29.5974
249.0,29.5974
250.0,29.5974
251.0,28.9934
252.0,29.5974
253.0,29.5974
254.0,28.9934
255.0,28.3893
256.0,28.9934
257.0,28.9934
258.0,28.3893
259.0,28.9934
260.0,28.3893
261.0,28.3893
262.0,28.3893
263.0,28.3893
264.0,28.9934
265.0,27.7853
266.0,27.7853
267.0,28.3893
268.0,27.7853
269.0,28.3893
270.0,27.7853
271.0,28.3893
272.0,28.3893
273.0,28.3893
274.0,27.7853
275.0,27.7853
276.0,28.3893
277.0,27.7853
278.0,27.7853
279.0,27.7853
280.0,27.7853
281.0,27.7853
282.0,27.7853
283.0,27.7853
284.0,27.7853
285.0,27.7853
286.0,27.7853
287.0,27.1813
288.0,26.5773
289.0,27.1813
290.0,27.1813
291.0,27.1813
292.0,27.1813
293.0,27.1813
294.0,27.1813
295.0,27.1813
296.0,27.1813
297.0,26.5773
298.0,26.5773
299.0,26.5773
300.0,26.5773
301.0,26.5773
302.0,26.5773
303.0,26.5773
304.0,26.5773
305.0,26.5773
306.0,25.9732
307.0,26.5773
308.0,25.9732
309.0,25.9732
310.0,25.9732
311.0,25.9732
312.0,25.9732
313.0,25.9732
314.0,25.9732
315.0,25.9732
316.0,25.9732
317.0,25.3692
318.0,25.9732
319.0,25.9732
320.0,25.3692
321.0,25.3692
322.0,25.3692
323.0,25.9732
324.0,24.7652
325.0,25.3692
326.0,25.9732
327.0,25.9732
328.0,25.3692
329.0,25.3692
330.0,25.3692
331.0,25.3692
332.0,24.7652
333.0,24.7652
334.0,25.3692
335.0,25.3692
336.0,24.7652
337.0,24.7652
338.0,24.7652
339.0,24.7652
340.0,24.7652
341.0,24.7652
342.0,24.7652
343.0,25.3692
344.0,24.7652
345.0,24.1611
346.0,24.7652
347.0,24.7652
348.0,24.7652
349.0,24.7652
350.0,24.7652
351.0,24.7652
352.0,24.7652
353.0,24.7652
354.0,24.7652
355.0,24.7652
356.0,25.3692
357.0,24.7652
358.0,24.7652
359.0,24.7652
360.0,24.7652
361.0,24.7652
362.0,24.7652
363.0,24.7652
364.0,24.7652
365.0,24.7652
366.0,24.7652
367.0,24.7652
368.0,24.7652
369.0,24.7652
370.0,24.7652
371.0,24.7652
372.0,24.7652
373.0,24.7652
374.0,24.7652
375.0,24.7652
376.0,24.7652
377.0,24.7652
378.0,24.7652
379.0,24.7652
380.0,24.1611
381.0,24.7652
382.0,24.1611
383.0,24.1611
384.0,24.1611
385.0,24.1611
386.0,24.1611
387.0,24.1611
388.0,24.1611
389.0,24.1611
390.0,24.1611
391.0,24.1611
392.0,24.1611
393.0,24.1611
394.0,24.1611
395.0,23.5571
396.0,24.1611
397.0,23.5571
398.0,23.5571
399.0,23.5571
